459_123443_000002_000000	CHAPTER V. Advice from a Caterpillar	CHAPTER five Advice from a Caterpillar
459_123443_000003_000000	The Caterpillar and Alice looked at each other for some time in silence: at last the Caterpillar took the hookah out of its mouth, and addressed her in a languid, sleepy voice.	The Caterpillar and Alice looked at each other for some time in silence: at last the Caterpillar took the hookah out of its mouth, and addressed her in a languid, sleepy voice.
459_123443_000004_000000	'Who are YOU?' said the Caterpillar.	'Who are YOU?' said the Caterpillar.
459_123443_000005_000000	This was not an encouraging opening for a conversation.	This was not an encouraging opening for a conversation.
459_123443_000005_000001	Alice replied, rather shyly, 'I--I hardly know, sir, just at present--at least I know who I WAS when I got up this morning, but I think I must have been changed several times since then.'	Alice replied, rather shyly, 'I-I hardly know, sir, just at present-at least I know who I WAS when I got up this morning, but I think I must have been changed several times since then.'
459_123443_000006_000000	'What do you mean by that?' said the Caterpillar sternly.	'What do you mean by that?' said the Caterpillar sternly.
459_123443_000006_000001	'Explain yourself!'	'Explain yourself!'
459_123443_000008_000000	'I don't see,' said the Caterpillar.	'I don't see,' said the Caterpillar.
459_123443_000009_000000	'I'm afraid I can't put it more clearly,' Alice replied very politely, 'for I can't understand it myself to begin with; and being so many different sizes in a day is very confusing.'	'I'm afraid I can't put it more clearly,' Alice replied very politely, 'for I can't understand it myself to begin with; and being so many different sizes in a day is very confusing.'
459_123443_000010_000000	'It isn't,' said the Caterpillar.	'It isn't,' said the Caterpillar.
459_123443_000011_000000	'Well, perhaps you haven't found it so yet,' said Alice; 'but when you have to turn into a chrysalis--you will some day, you know--and then after that into a butterfly, I should think you'll feel it a little queer, won't you?'	'Well, perhaps you haven't found it so yet,' said Alice; 'but when you have to turn into a chrysalis-you will some day, you know-and then after that into a butterfly, I should think you'll feel it a little queer, won't you?'
459_123443_000012_000000	'Not a bit,' said the Caterpillar.	'Not a bit,' said the Caterpillar.
459_123443_000014_000000	'You!' said the Caterpillar contemptuously.	'You!' said the Caterpillar contemptuously.
459_123443_000014_000001	'Who are YOU?'	'Who are YOU?'
459_123443_000015_000000	Which brought them back again to the beginning of the conversation. Alice felt a little irritated at the Caterpillar's making such VERY short remarks, and she drew herself up and said, very gravely, 'I think, you ought to tell me who YOU are, first.'	Which brought them back again to the beginning of the conversation. Alice felt a little irritated at the Caterpillar's making such VERY short remarks, and she drew herself up and said, very gravely, 'I think, you ought to tell me who YOU are, first.'
459_123443_000016_000000	'Why?' said the Caterpillar.	'Why?' said the Caterpillar.
459_123443_000017_000000	Here was another puzzling question; and as Alice could not think of any good reason, and as the Caterpillar seemed to be in a VERY unpleasant state of mind, she turned away.	Here was another puzzling question; and as Alice could not think of any good reason, and as the Caterpillar seemed to be in a VERY unpleasant state of mind, she turned away.
459_123443_000018_000000	'Come back!' the Caterpillar called after her.	'Come back!' the Caterpillar called after her.
459_123443_000018_000001	'I've something important to say!'	'I've something important to say!'
459_123443_000019_000000	This sounded promising, certainly: Alice turned and came back again.	This sounded promising, certainly: Alice turned and came back again.
459_123443_000020_000000	'Keep your temper,' said the Caterpillar.	'Keep your temper,' said the Caterpillar.
459_123443_000022_000000	'No,' said the Caterpillar.	'No,' said the Caterpillar.
459_123443_000023_000000	Alice thought she might as well wait, as she had nothing else to do, and perhaps after all it might tell her something worth hearing.	Alice thought she might as well wait, as she had nothing else to do, and perhaps after all it might tell her something worth hearing.
459_123443_000023_000001	For some minutes it puffed away without speaking, but at last it unfolded its arms, took the hookah out of its mouth again, and said, 'So you think you're changed, do you?'	For some minutes it puffed away without speaking, but at last it unfolded its arms, took the hookah out of its mouth again, and said, 'So you think you're changed, do you?'
459_123443_000024_000000	'I'm afraid I am, sir,' said Alice; 'I can't remember things as I used--and I don't keep the same size for ten minutes together!'	'I'm afraid I am, sir,' said Alice; 'I can't remember things as I used-and I don't keep the same size for ten minutes together!'
459_123443_000025_000000	'Can't remember WHAT things?' said the Caterpillar.	'Can't remember WHAT things?' said the Caterpillar.
459_123443_000026_000000	'Well, I've tried to say "HOW DOTH THE LITTLE BUSY BEE," but it all came different!' Alice replied in a very melancholy voice.	'Well, I've tried to say "HOW DOTH THE LITTLE BUSY BEE," but it all came different!' Alice replied in a very melancholy voice.
459_123443_000028_000000	Alice folded her hands, and began:--	Alice folded her hands, and began:--
459_123443_000029_000000	'You are old, Father William,' the young man said, 'And your hair has become very white; And yet you incessantly stand on your head-- Do you think, at your age, it is right?'	'You are old, Father William,' the young man said, 'And your hair has become very white; And yet you incessantly stand on your head- Do you think, at your age, it is right?'
