459_123443_000000_000000	The great question certainly was, what?	The great question certainly was, what?	false	0	3.06	20.204044
459_123443_000000_000001	Alice looked all round her at the flowers and the blades of grass, but she did not see anything that looked like the right thing to eat or drink under the circumstances. There was a large mushroom growing near her, about the same height as herself; and when she had looked under it, and on both sides of it, and behind it, it occurred to her that she might as well look and see what was on the top of it.	Alice looked all round her at the flowers and the blades of grass, but she did not see anything that looked like the right thing to eat or drink under the circumstances. There was a large mushroom growing near her, about the same height as herself; and when she had looked under it, and on both sides of it, and behind it, it occurred to her that she might as well look and see what was on the top of it.	false	3.06	17.07	23.396189
459_123443_000001_000000	She stretched herself up on tiptoe, and peeped over the edge of the mushroom, and her eyes immediately met those of a large caterpillar, that was sitting on the top with its arms folded, quietly smoking a long hookah, and taking not the smallest notice of her or of anything else.	She stretched herself up on tiptoe, and peeped over the edge of the mushroom, and her eyes immediately met those of a large caterpillar, that was sitting on the top with its arms folded, quietly smoking a long hookah, and taking not the smallest notice of her or of anything else.	false	17.07	22.71	17.150629
459_123443_000002_000000	CHAPTER V. Advice from a Caterpillar	CHAPTER five Advice from a Caterpillar	true	22.71	26.29	24.039066
459_123443_000003_000000	The Caterpillar and Alice looked at each other for some time in silence: at last the Caterpillar took the hookah out of its mouth, and addressed her in a languid, sleepy voice.	The Caterpillar and Alice looked at each other for some time in silence: at last the Caterpillar took the hookah out of its mouth, and addressed her in a languid, sleepy voice.	true	28.13	38.65	22.102032
459_123443_000004_000000	'Who are YOU?' said the Caterpillar.	'Who are YOU?' said the Caterpillar.	true	39.59	42.67	21.361317
459_123443_000005_000000	This was not an encouraging opening for a conversation.	This was not an encouraging opening for a conversation.	true	43.64	46.96	22.622786
459_123443_000005_000001	Alice replied, rather shyly, 'I--I hardly know, sir, just at present--at least I know who I WAS when I got up this morning, but I think I must have been changed several times since then.'	Alice replied, rather shyly, 'I-I hardly know, sir, just at present-at least I know who I WAS when I got up this morning, but I think I must have been changed several times since then.'	true	47.66	60.31	21.647858
459_123443_000006_000000	'What do you mean by that?' said the Caterpillar sternly.	'What do you mean by that?' said the Caterpillar sternly.	true	61.61	65.23	29.833023
459_123443_000006_000001	'Explain yourself!'	'Explain yourself!'	true	65.42	66.97	24.973198
459_123443_000007_000000	'I can't explain MYSELF, I'm afraid, sir' said Alice, 'because I'm not myself, you see.'	'I can't explain MYSELF, I'm afraid, sir' said Alice, 'because I'm not myself, you see.'	true	68.15	73.99	19.685307
459_123443_000008_000000	'I don't see,' said the Caterpillar.	'I don't see,' said the Caterpillar.	true	74.78	77.05	32.36219
459_123443_000009_000000	'I'm afraid I can't put it more clearly,' Alice replied very politely, 'for I can't understand it myself to begin with; and being so many different sizes in a day is very confusing.'	'I'm afraid I can't put it more clearly,' Alice replied very politely, 'for I can't understand it myself to begin with; and being so many different sizes in a day is very confusing.'	true	78.77	89.32	24.295675
459_123443_000010_000000	'It isn't,' said the Caterpillar.	'It isn't,' said the Caterpillar.	true	90.35	92.41	26.509373
459_123443_000011_000000	'Well, perhaps you haven't found it so yet,' said Alice; 'but when you have to turn into a chrysalis--you will some day, you know--and then after that into a butterfly, I should think you'll feel it a little queer, won't you?'	'Well, perhaps you haven't found it so yet,' said Alice; 'but when you have to turn into a chrysalis-you will some day, you know-and then after that into a butterfly, I should think you'll feel it a little queer, won't you?'	true	93.92	106.57	23.577831
459_123443_000012_000000	'Not a bit,' said the Caterpillar.	'Not a bit,' said the Caterpillar.	true	107.42	109.39	23.37792
459_123443_000013_000000	'Well, perhaps your feelings may be different,' said Alice; 'all I know is, it would feel very queer to ME.'	'Well, perhaps your feelings may be different,' said Alice; 'all I know is, it would feel very queer to m e.'	false	110.45	118.29	22.811735
459_123443_000014_000000	'You!' said the Caterpillar contemptuously.	'You!' said the Caterpillar contemptuously.	true	118.29	120.97	33.416443
459_123443_000014_000001	'Who are YOU?'	'Who are YOU?'	true	121.22	122.86	21.001078
459_123443_000015_000000	Which brought them back again to the beginning of the conversation. Alice felt a little irritated at the Caterpillar's making such VERY short remarks, and she drew herself up and said, very gravely, 'I think, you ought to tell me who YOU are, first.'	Which brought them back again to the beginning of the conversation. Alice felt a little irritated at the Caterpillar's making such VERY short remarks, and she drew herself up and said, very gravely, 'I think, you ought to tell me who YOU are, first.'	true	123.92	139.27	23.225931
459_123443_000016_000000	'Why?' said the Caterpillar.	'Why?' said the Caterpillar.	true	140.09	142.21	21.882723
459_123443_000017_000000	Here was another puzzling question; and as Alice could not think of any good reason, and as the Caterpillar seemed to be in a VERY unpleasant state of mind, she turned away.	Here was another puzzling question; and as Alice could not think of any good reason, and as the Caterpillar seemed to be in a VERY unpleasant state of mind, she turned away.	true	143.36	152.95	23.1977
459_123443_000018_000000	'Come back!' the Caterpillar called after her.	'Come back!' the Caterpillar called after her.	true	154.13	156.91	32.381493
459_123443_000018_000001	'I've something important to say!'	'I've something important to say!'	true	157.16	159.07	28.608706
459_123443_000019_000000	This sounded promising, certainly: Alice turned and came back again.	This sounded promising, certainly: Alice turned and came back again.	true	160.31	164.65	22.72317
459_123443_000020_000000	'Keep your temper,' said the Caterpillar.	'Keep your temper,' said the Caterpillar.	true	166.13	168.52	33.02637
459_123443_000021_000000	'Is that all?' said Alice, swallowing down her anger as well as she could.	'Is that all?' said Alice, swallowing down her anger as well as she could.	true	170.03	174.28	19.107199
459_123443_000022_000000	'No,' said the Caterpillar.	'No,' said the Caterpillar.	true	175.31	177.4	24.290749
459_123443_000023_000000	Alice thought she might as well wait, as she had nothing else to do, and perhaps after all it might tell her something worth hearing.	Alice thought she might as well wait, as she had nothing else to do, and perhaps after all it might tell her something worth hearing.	true	179.75	186.49	25.026278
459_123443_000023_000001	For some minutes it puffed away without speaking, but at last it unfolded its arms, took the hookah out of its mouth again, and said, 'So you think you're changed, do you?'	For some minutes it puffed away without speaking, but at last it unfolded its arms, took the hookah out of its mouth again, and said, 'So you think you're changed, do you?'	true	187.1	198.07	24.325756
