5157_47239_000000_000000	My dear Lord, your's, most sincerely,	My dear Lord, your's, most sincerely,	false	1.77	13.95	16
5157_47239_000001_000000	Wm.	w m.	false	13.95	33.27	17.312113
5157_47239_000001_000001	HAMILTON.	HAMILTON.	false	33.27	36.39	16
5157_47239_000002_000000	VII.	seven.	false	36.39	41.715	15.060198
5157_47239_000003_000000	Piccadilly, February 19th, 1801.	Piccadilly, february nineteenth eighteen o one.	false	41.715	45.04	12
5157_47239_000004_000000	MY DEAR LORD,	MY DEAR LORD,	true	46.01	47.35	24.593359
5157_47239_000005_000000	Whether Emma will be able to write to you to-day, or not, is a question; as she has got one of her terrible sick head-achs.	Whether Emma will be able to write to you to day, or not, is a question; as she has got one of her terrible sick head a c h s.	false	47.63	56.16	18
5157_47239_000005_000001	Among other things that vex her, is--that we have been drawn in to be under the absolute necessity of giving a dinner to ****** on Sunday next. He asked it himself; having expressed his strong desire of hearing Banti's and Emma's voices together.	Among other things that vex her, is-that we have been drawn in to be under the absolute necessity of giving a dinner to asterisk asterisk asterisk asterisk asterisk asterisk on Sunday next. He asked it himself; having expressed his strong desire of hearing Banti's and Emma's voices together.	false	56.16	75.73	17.419971
5157_47239_000006_000000	I am well aware of the danger that would attend ******* frequenting our house.	I am well aware of the danger that would attend asterisk asterisk asterisk asterisk asterisk asterisk asterisk frequenting our house.	false	76.91	82.18	16.445847
5157_47239_000006_000001	Not that I fear, that Emma could ever be induced to act contrary to the prudent conduct she has hitherto pursued; but the world is so ill-natured, that the worst construction is put upon the most innocent actions.	Not that I fear, that Emma could ever be induced to act contrary to the prudent conduct she has hitherto pursued; but the world is so ill natured, that the worst construction is put upon the most innocent actions.	true	82.46	97.78	17
5157_47239_000007_000000	As this dinner must be, or ****** would be offended, I shall keep it strictly to the musical part; invite only Banti, her husband, and Taylor; and, as I wish to shew a civility to Davison, I have sent him an invitation.	As this dinner must be, or asterisk asterisk asterisk asterisk asterisk asterisk would be offended, I shall keep it strictly to the musical part; invite only Banti, her husband, and Taylor; and, as I wish to shew a civility to Davison, I have sent him an invitation.	false	98.12	115	19.55773
5157_47239_000008_000000	In short, we will get rid of it as well as we can, and guard against its producing more meetings of the same sort.	In short, we will get rid of it as well as we can, and guard against its producing more meetings of the same sort.	false	115.97	123.46	15
5157_47239_000009_000000	Emma would really have gone any lengths, to have avoided Sunday's dinner.	Emma would really have gone any lengths, to have avoided Sunday's dinner.	true	124.82	128.83	14
