3869_700_000000_000000	"I am going away to Moscow to-morrow, if you care to know--early to-morrow morning.	"I am going away to Moscow to morrow, if you care to know-early to morrow morning.	false	0	1.56	24.944715
3869_700_000000_000001	That's all!" he suddenly said aloud angrily, and wondered himself afterwards what need there was to say this then to Smerdyakov.	That's all!" he suddenly said aloud angrily, and wondered himself afterwards what need there was to say this then to Smerdyakov.	false	1.56	4.23	23.188213
3869_700_000001_000000	"That's the best thing you can do," he responded, as though he had expected to hear it; "except that you can always be telegraphed for from Moscow, if anything should happen here."	"That's the best thing you can do," he responded, as though he had expected to hear it; "except that you can always be telegraphed for from Moscow, if anything should happen here."	false	4.23	4.32	57
3869_700_000002_000000	Ivan stopped again, and again turned quickly to Smerdyakov.	Ivan stopped again, and again turned quickly to Smerdyakov.	false	4.32	4.35	1
3869_700_000002_000001	But a change had passed over him, too.	But a change had passed over him, too.	false	4.35	6.18	22.019333
3869_700_000002_000002	All his familiarity and carelessness had completely disappeared.	All his familiarity and carelessness had completely disappeared.	false	6.18	6.78	13.582114
3869_700_000002_000003	His face expressed attention and expectation, intent but timid and cringing.	His face expressed attention and expectation, intent but timid and cringing.	false	6.78	7.29	22
3869_700_000003_000000	"Haven't you something more to say--something to add?" could be read in the intent gaze he fixed on Ivan.	"Haven't you something more to say-something to add?" could be read in the intent gaze he fixed on Ivan.	false	7.29	8.88	10
3869_700_000004_000000	"And couldn't I be sent for from Tchermashnya, too--in case anything happened?" Ivan shouted suddenly, for some unknown reason raising his voice.	"And couldn't I be sent for from Tchermashnya, too-in case anything happened?" Ivan shouted suddenly, for some unknown reason raising his voice.	false	8.88	9.99	39.20931
3869_700_000005_000000	"From Tchermashnya, too ... you could be sent for," Smerdyakov muttered, almost in a whisper, looking disconcerted, but gazing intently into Ivan's eyes.	"From Tchermashnya, too ... you could be sent for," Smerdyakov muttered, almost in a whisper, looking disconcerted, but gazing intently into Ivan's eyes.	false	9.99	10.41	9
3869_700_000006_000000	"Only Moscow is farther and Tchermashnya is nearer.	"Only Moscow is farther and Tchermashnya is nearer.	false	10.41	10.56	2
3869_700_000006_000001	Is it to save my spending money on the fare, or to save my going so far out of my way, that you insist on Tchermashnya?"	Is it to save my spending money on the fare, or to save my going so far out of my way, that you insist on Tchermashnya?"	false	10.56	11.73	14
3869_700_000007_000000	"Precisely so ..." muttered Smerdyakov, with a breaking voice.	"Precisely so ..." muttered Smerdyakov, with a breaking voice.	false	11.73	12.12	26.956514
3869_700_000007_000001	He looked at Ivan with a revolting smile, and again made ready to draw back.	He looked at Ivan with a revolting smile, and again made ready to draw back.	false	12.12	12.81	23.723583
3869_700_000007_000002	But to his astonishment Ivan broke into a laugh, and went through the gate still laughing.	But to his astonishment Ivan broke into a laugh, and went through the gate still laughing.	false	12.81	13.56	34.17438
3869_700_000007_000003	Any one who had seen his face at that moment would have known that he was not laughing from lightness of heart, and he could not have explained himself what he was feeling at that instant.	Any one who had seen his face at that moment would have known that he was not laughing from lightness of heart, and he could not have explained himself what he was feeling at that instant.	false	13.56	22.59	24.690634
3869_700_000007_000004	He moved and walked as though in a nervous frenzy.	He moved and walked as though in a nervous frenzy.	false	22.59	26.745	26.408957
3869_700_000008_000000	Chapter VII.	Chapter seven.	true	26.745	28.42	23.635931
3869_700_000008_000001	"It's Always Worth While Speaking To A Clever Man"	"It's Always Worth While Speaking To A Clever Man"	true	28.43	31.53	23.160353
3869_700_000009_000000	And in the same nervous frenzy, too, he spoke.	And in the same nervous frenzy, too, he spoke.	false	31.53	35.83	21.507141
3869_700_000009_000001	Meeting Fyodor Pavlovitch in the drawing-room directly he went in, he shouted to him, waving his hands, "I am going upstairs to my room, not in to you.	Meeting Fyodor Pavlovitch in the drawing room directly he went in, he shouted to him, waving his hands, "I am going upstairs to my room, not in to you.	true	36.02	46.36	24.912962
