3869_700_000008_000000	Chapter VII.	Chapter seven.
3869_700_000008_000001	"It's Always Worth While Speaking To A Clever Man"	"It's Always Worth While Speaking To A Clever Man"
3869_700_000009_000001	Meeting Fyodor Pavlovitch in the drawing-room directly he went in, he shouted to him, waving his hands, "I am going upstairs to my room, not in to you.	Meeting Fyodor Pavlovitch in the drawing room directly he went in, he shouted to him, waving his hands, "I am going upstairs to my room, not in to you.
3869_700_000009_000002	Good-by!" and passed by, trying not even to look at his father.	Good by!" and passed by, trying not even to look at his father.
3869_700_000009_000003	Very possibly the old man was too hateful to him at that moment; but such an unceremonious display of hostility was a surprise even to Fyodor Pavlovitch.	Very possibly the old man was too hateful to him at that moment; but such an unceremonious display of hostility was a surprise even to Fyodor Pavlovitch.
3869_700_000009_000004	And the old man evidently wanted to tell him something at once and had come to meet him in the drawing-room on purpose.	And the old man evidently wanted to tell him something at once and had come to meet him in the drawing room on purpose.
3869_700_000009_000005	Receiving this amiable greeting, he stood still in silence and with an ironical air watched his son going upstairs, till he passed out of sight.	Receiving this amiable greeting, he stood still in silence and with an ironical air watched his son going upstairs, till he passed out of sight.
3869_700_000011_000001	Who can tell?" the valet muttered evasively.	Who can tell?" the valet muttered evasively.
3869_700_000012_000000	"Confound him!	"Confound him!
3869_700_000012_000001	Let him be angry then.	Let him be angry then.
3869_700_000012_000002	Bring in the samovar, and get along with you.	Bring in the samovar, and get along with you.
3869_700_000012_000003	Look sharp!	Look sharp!
3869_700_000013_000001	Half an hour later the house was locked, and the crazy old man was wandering along through the rooms in excited expectation of hearing every minute the five knocks agreed upon.	Half an hour later the house was locked, and the crazy old man was wandering along through the rooms in excited expectation of hearing every minute the five knocks agreed upon.
3869_700_000013_000002	Now and then he peered out into the darkness, seeing nothing.	Now and then he peered out into the darkness, seeing nothing.
3869_700_000014_000001	He sat up late that night, till two o'clock.	He sat up late that night, till two o'clock.
3869_700_000014_000002	But we will not give an account of his thoughts, and this is not the place to look into that soul--its turn will come.	But we will not give an account of his thoughts, and this is not the place to look into that soul-its turn will come.
3869_700_000014_000003	And even if one tried, it would be very hard to give an account of them, for there were no thoughts in his brain, but something very vague, and, above all, intense excitement.	And even if one tried, it would be very hard to give an account of them, for there were no thoughts in his brain, but something very vague, and, above all, intense excitement.
3869_700_000014_000004	He felt himself that he had lost his bearings.	He felt himself that he had lost his bearings.
3869_700_000014_000005	He was fretted, too, by all sorts of strange and almost surprising desires; for instance, after midnight he suddenly had an intense irresistible inclination to go down, open the door, go to the lodge and beat Smerdyakov.	He was fretted, too, by all sorts of strange and almost surprising desires; for instance, after midnight he suddenly had an intense irresistible inclination to go down, open the door, go to the lodge and beat Smerdyakov.
3869_700_000014_000006	But if he had been asked why, he could not have given any exact reason, except perhaps that he loathed the valet as one who had insulted him more gravely than any one in the world.	But if he had been asked why, he could not have given any exact reason, except perhaps that he loathed the valet as one who had insulted him more gravely than any one in the world.
3869_700_000014_000007	On the other hand, he was more than once that night overcome by a sort of inexplicable humiliating terror, which he felt positively paralyzed his physical powers.	On the other hand, he was more than once that night overcome by a sort of inexplicable humiliating terror, which he felt positively paralyzed his physical powers.
3869_700_000014_000008	His head ached and he was giddy.	His head ached and he was giddy.
3869_700_000014_000009	A feeling of hatred was rankling in his heart, as though he meant to avenge himself on some one.	A feeling of hatred was rankling in his heart, as though he meant to avenge himself on some one.
3869_700_000014_000011	At moments he hated himself intensely.	At moments he hated himself intensely.
3869_700_000014_000012	Of Katerina Ivanovna he almost forgot to think, and wondered greatly at this afterwards, especially as he remembered perfectly that when he had protested so valiantly to Katerina Ivanovna that he would go away next day to Moscow, something had whispered in his heart, "That's nonsense, you are not going, and it won't be so easy to tear yourself away as you are boasting now."	Of Katerina Ivanovna he almost forgot to think, and wondered greatly at this afterwards, especially as he remembered perfectly that when he had protested so valiantly to Katerina Ivanovna that he would go away next day to Moscow, something had whispered in his heart, "That's nonsense, you are not going, and it won't be so easy to tear yourself away as you are boasting now."
