114_129324_000001_000000	CHAPTER XLI	CHAPTER forty one
114_129324_000002_000000	CONTAINING FRESH DISCOVERIES, AND SHOWING THAT SUPRISES, LIKE MISFORTUNES, SELDOM COME ALONE	CONTAINING FRESH DISCOVERIES, AND SHOWING THAT SUPRISES, LIKE MISFORTUNES, SELDOM COME ALONE
114_129324_000003_000000	Her situation was, indeed, one of no common trial and difficulty.	Her situation was, indeed, one of no common trial and difficulty.
114_129324_000003_000001	While she felt the most eager and burning desire to penetrate the mystery in which Oliver's history was enveloped, she could not but hold sacred the confidence which the miserable woman with whom she had just conversed, had reposed in her, as a young and guileless girl.	While she felt the most eager and burning desire to penetrate the mystery in which Oliver's history was enveloped, she could not but hold sacred the confidence which the miserable woman with whom she had just conversed, had reposed in her, as a young and guileless girl.
114_129324_000003_000002	Her words and manner had touched Rose Maylie's heart; and, mingled with her love for her young charge, and scarcely less intense in its truth and fervour, was her fond wish to win the outcast back to repentance and hope.	Her words and manner had touched Rose Maylie's heart; and, mingled with her love for her young charge, and scarcely less intense in its truth and fervour, was her fond wish to win the outcast back to repentance and hope.
114_129324_000004_000000	They purposed remaining in London only three days, prior to departing for some weeks to a distant part of the coast.	They purposed remaining in London only three days, prior to departing for some weeks to a distant part of the coast.
114_129324_000004_000001	It was now midnight of the first day.	It was now midnight of the first day.
114_129324_000004_000002	What course of action could she determine upon, which could be adopted in eight-and-forty hours?	What course of action could she determine upon, which could be adopted in eight and forty hours?
114_129324_000004_000003	Or how could she postpone the journey without exciting suspicion?	Or how could she postpone the journey without exciting suspicion?
114_129324_000005_000000	Mr. Losberne was with them, and would be for the next two days; but Rose was too well acquainted with the excellent gentleman's impetuosity, and foresaw too clearly the wrath with which, in the first explosion of his indignation, he would regard the instrument of Oliver's recapture, to trust him with the secret, when her representations in the girl's behalf could be seconded by no experienced person.	mr Losberne was with them, and would be for the next two days; but Rose was too well acquainted with the excellent gentleman's impetuosity, and foresaw too clearly the wrath with which, in the first explosion of his indignation, he would regard the instrument of Oliver's recapture, to trust him with the secret, when her representations in the girl's behalf could be seconded by no experienced person.
114_129324_000005_000001	These were all reasons for the greatest caution and most circumspect behaviour in communicating it to Mrs. Maylie, whose first impulse would infallibly be to hold a conference with the worthy doctor on the subject.	These were all reasons for the greatest caution and most circumspect behaviour in communicating it to mrs Maylie, whose first impulse would infallibly be to hold a conference with the worthy doctor on the subject.
114_129324_000005_000002	As to resorting to any legal adviser, even if she had known how to do so, it was scarcely to be thought of, for the same reason.	As to resorting to any legal adviser, even if she had known how to do so, it was scarcely to be thought of, for the same reason.
