5914_52087_000000_000000	GUN-FITTINGS AND AMMUNITION.	GUN FITTINGS AND AMMUNITION.
5914_52087_000001_000000	Powder-flask.--The flask that is carried in the pocket may be small, if roomy; a large one, in reserve, being kept in a bag, at the front of the saddle.	Powder flask.--The flask that is carried in the pocket may be small, if roomy; a large one, in reserve, being kept in a bag, at the front of the saddle.
5914_52087_000002_000000	To reduce bulges in a metal powder-flask, fill it up with Indian corn, or dry peas, of any other sort of hard grain; then pour water into it, and screw down the lid tightly.	To reduce bulges in a metal powder flask, fill it up with Indian corn, or dry peas, of any other sort of hard grain; then pour water into it, and screw down the lid tightly.
5914_52087_000002_000001	The grain will swell, at first slowly and then very rapidly, and the flask will resume its former dimensions, or burst if it is not watched.	The grain will swell, at first slowly and then very rapidly, and the flask will resume its former dimensions, or burst if it is not watched.
5914_52087_000002_000002	Peas do not begin to swell for a couple of hours or more.	Peas do not begin to swell for a couple of hours or more.
5914_52087_000003_000000	Powder-horn, to make.--Saw off the required length from an ox's horn, flatten it somewhat by heat (see "Horn"), fit a wooden bottom into it, caulk it well, and sew raw hide round the edge to keep all tight.	Powder horn, to make.--Saw off the required length from an ox's horn, flatten it somewhat by heat (see "Horn"), fit a wooden bottom into it, caulk it well, and sew raw hide round the edge to keep all tight.
5914_52087_000003_000001	The mouth must be secured by a plug, which may be hollowed to make a charger. Pieces of cane of large diameter, and old gunpowder canisters, sewn up in hide, make useful powder-flasks.	The mouth must be secured by a plug, which may be hollowed to make a charger. Pieces of cane of large diameter, and old gunpowder canisters, sewn up in hide, make useful powder flasks.
5914_52087_000004_000000	Percussion Caps.--Caps may be carried very conveniently by means of a ring, with two dozen nipple-shaped beads, made of some metal, strung upon it; each bead being intended to be covered by a percussion-cap.	Percussion Caps.--Caps may be carried very conveniently by means of a ring, with two dozen nipple shaped beads, made of some metal, strung upon it; each bead being intended to be covered by a percussion cap.
5914_52087_000004_000002	It is very Difficult, without this contrivance, to keep caps free from sand, crumbs, and dirt, yet always at hand when required.	It is very Difficult, without this contrivance, to keep caps free from sand, crumbs, and dirt, yet always at hand when required.
5914_52087_000004_000004	Spring cap holders are, I am sure, too delicate for rough travel.	Spring cap holders are, I am sure, too delicate for rough travel.
5914_52087_000005_000000	To protect Caps from the Rain.--Before stalking, or watching at night in rainy weather, wax or grease the edge of the cap as it rests on the nipple: it will thus become proof against water and damp air.	To protect Caps from the Rain.--Before stalking, or watching at night in rainy weather, wax or grease the edge of the cap as it rests on the nipple: it will thus become proof against water and damp air.
5914_52087_000005_000001	Some persons carry a piece of grease with them, when shooting in wet weather, and with it they smear the top of the nipple after each loading, before putting on the fresh cap.	Some persons carry a piece of grease with them, when shooting in wet weather, and with it they smear the top of the nipple after each loading, before putting on the fresh cap.
5914_52087_000005_000004	A broad leaf wrapped loosely round the lock of a gun, will protect it during a heavy shower.	A broad leaf wrapped loosely round the lock of a gun, will protect it during a heavy shower.
5914_52087_000006_000000	Substitute for Caps.--When the revolution in Spain in 1854 began, "there was a great want of percussion caps; this the insurgents supplied by cutting off the heads of lucifer-matches and sticking them into the nipples.	Substitute for Caps.--When the revolution in Spain in eighteen fifty four began, "there was a great want of percussion caps; this the insurgents supplied by cutting off the heads of lucifer matches and sticking them into the nipples.
5914_52087_000006_000001	The plan was found to answer perfectly." (Times, July 31.)	The plan was found to answer perfectly." (Times, july thirty first.)
5914_52087_000007_000000	Gun-pricker.--I am indebted for the following plan, both for clearing the touchhole, and also for the rather awkward operation of pricking down fresh gunpowder into it, to an old sportsman in the Orkney Island of Sanday.	Gun pricker.--I am indebted for the following plan, both for clearing the touchhole, and also for the rather awkward operation of pricking down fresh gunpowder into it, to an old sportsman in the Orkney Island of Sanday.
5914_52087_000007_000002	Next, he cuts a wooden plug to fit the quill; into the plug, the pricker is fixed.	Next, he cuts a wooden plug to fit the quill; into the plug, the pricker is fixed.
5914_52087_000009_000000	The whole affair goes safely in the pocket; the quill acting as a sheath to the sharp pricker.	The whole affair goes safely in the pocket; the quill acting as a sheath to the sharp pricker.
5914_52087_000009_000001	Now, when powder has to be pricked down the nipple, the "broad ring" is slipped off the quill and put on the nipple, which it fits; powder is poured into it, and the required operation is easily completed.	Now, when powder has to be pricked down the nipple, the "broad ring" is slipped off the quill and put on the nipple, which it fits; powder is poured into it, and the required operation is easily completed.
5914_52087_000009_000002	This little contrivance, which is so simple and Light, lasts for months, and is perfectly effective.	This little contrivance, which is so simple and Light, lasts for months, and is perfectly effective.
5914_52087_000009_000003	I have tried metal holders, but I much prefer the simple quill, on account of its elasticity and lightness. A little binding with waxed thread, may be put on, as shown in the sketch, to prevent the quill from splitting.	I have tried metal holders, but I much prefer the simple quill, on account of its elasticity and lightness. A little binding with waxed thread, may be put on, as shown in the sketch, to prevent the quill from splitting.
