5914_52087_000000_000000	GUN-FITTINGS AND AMMUNITION.	GUN FITTINGS AND AMMUNITION.	true	23.22	25.18	20.103298
5914_52087_000001_000000	Powder-flask.--The flask that is carried in the pocket may be small, if roomy; a large one, in reserve, being kept in a bag, at the front of the saddle.	Powder flask.--The flask that is carried in the pocket may be small, if roomy; a large one, in reserve, being kept in a bag, at the front of the saddle.	true	25.4	36.13	23.21296
5914_52087_000002_000000	To reduce bulges in a metal powder-flask, fill it up with Indian corn, or dry peas, of any other sort of hard grain; then pour water into it, and screw down the lid tightly.	To reduce bulges in a metal powder flask, fill it up with Indian corn, or dry peas, of any other sort of hard grain; then pour water into it, and screw down the lid tightly.	true	36.8	48.94	20.532448
5914_52087_000002_000001	The grain will swell, at first slowly and then very rapidly, and the flask will resume its former dimensions, or burst if it is not watched.	The grain will swell, at first slowly and then very rapidly, and the flask will resume its former dimensions, or burst if it is not watched.	true	49.16	58.47	21.522104
5914_52087_000002_000002	Peas do not begin to swell for a couple of hours or more.	Peas do not begin to swell for a couple of hours or more.	true	58.47	62.02	20
5914_52087_000003_000000	Powder-horn, to make.--Saw off the required length from an ox's horn, flatten it somewhat by heat (see "Horn"), fit a wooden bottom into it, caulk it well, and sew raw hide round the edge to keep all tight.	Powder horn, to make.--Saw off the required length from an ox's horn, flatten it somewhat by heat (see "Horn"), fit a wooden bottom into it, caulk it well, and sew raw hide round the edge to keep all tight.	true	62.33	77.02	22.742838
5914_52087_000003_000001	The mouth must be secured by a plug, which may be hollowed to make a charger. Pieces of cane of large diameter, and old gunpowder canisters, sewn up in hide, make useful powder-flasks.	The mouth must be secured by a plug, which may be hollowed to make a charger. Pieces of cane of large diameter, and old gunpowder canisters, sewn up in hide, make useful powder flasks.	true	77.24	89.95	22.217545
5914_52087_000004_000000	Percussion Caps.--Caps may be carried very conveniently by means of a ring, with two dozen nipple-shaped beads, made of some metal, strung upon it; each bead being intended to be covered by a percussion-cap.	Percussion Caps.--Caps may be carried very conveniently by means of a ring, with two dozen nipple shaped beads, made of some metal, strung upon it; each bead being intended to be covered by a percussion cap.	true	90.41	104.175	22.000809
5914_52087_000004_000001	The beads are cleft down the middle, which gives them a slight springiness, that more effectually secures the caps that are placed upon them: the ring is tied by a thong to the belt or button-hole.	The beads are cleft down the middle, which gives them a slight springiness, that more effectually secures the caps that are placed upon them: the ring is tied by a thong to the belt or button hole.	false	104.175	115.2	23
5914_52087_000004_000002	It is very Difficult, without this contrivance, to keep caps free from sand, crumbs, and dirt, yet always at hand when required.	It is very Difficult, without this contrivance, to keep caps free from sand, crumbs, and dirt, yet always at hand when required.	true	115.2	123.645	22.326534
5914_52087_000004_000003	I can confidently recommend it, though as it is old-fashioned and not well suited for sportsmen in England, it is rarely to be met with.	I can confidently recommend it, though as it is old-fashioned and not well suited for sportsmen in England, it is rarely to be met with.	true	123.645	131.235	15
5914_52087_000004_000004	Spring cap holders are, I am sure, too delicate for rough travel.	Spring cap holders are, I am sure, too delicate for rough travel.	true	131.235	135.76	25.259066
5914_52087_000005_000000	To protect Caps from the Rain.--Before stalking, or watching at night in rainy weather, wax or grease the edge of the cap as it rests on the nipple: it will thus become proof against water and damp air.	To protect Caps from the Rain.--Before stalking, or watching at night in rainy weather, wax or grease the edge of the cap as it rests on the nipple: it will thus become proof against water and damp air.	true	135.95	149.22	23
5914_52087_000005_000001	Some persons carry a piece of grease with them, when shooting in wet weather, and with it they smear the top of the nipple after each loading, before putting on the fresh cap.	Some persons carry a piece of grease with them, when shooting in wet weather, and with it they smear the top of the nipple after each loading, before putting on the fresh cap.	true	149.22	158.895	21
5914_52087_000005_000002	It is said that the grease does not prevent the full action of the cap upon the powder.	It is said that the grease does not prevent the full action of the cap upon the powder.	true	158.895	164.1	18
5914_52087_000005_000003	A sportsman has recommended to me a couple of well-marked caps, into the heads of which small wads of cork have been fitted; he uses them for loaded guns that are to be laid by for some hours or days.	A sportsman has recommended to me a couple of well marked caps, into the heads of which small wads of cork have been fitted; he uses them for loaded guns that are to be laid by for some hours or days.	true	164.1	176.83	18
5914_52087_000005_000004	A broad leaf wrapped loosely round the lock of a gun, will protect it during a heavy shower.	A broad leaf wrapped loosely round the lock of a gun, will protect it during a heavy shower.	true	176.9	183.1	22.537529
5914_52087_000006_000000	Substitute for Caps.--When the revolution in Spain in 1854 began, "there was a great want of percussion caps; this the insurgents supplied by cutting off the heads of lucifer-matches and sticking them into the nipples.	Substitute for Caps.--When the revolution in Spain in eighteen fifty four began, "there was a great want of percussion caps; this the insurgents supplied by cutting off the heads of lucifer matches and sticking them into the nipples.	true	183.23	197.7	22.876654
5914_52087_000006_000001	The plan was found to answer perfectly." (Times, July 31.)	The plan was found to answer perfectly." (Times, july thirty first.)	true	197.7	202.15	22.885532
5914_52087_000007_000000	Gun-pricker.--I am indebted for the following plan, both for clearing the touchhole, and also for the rather awkward operation of pricking down fresh gunpowder into it, to an old sportsman in the Orkney Island of Sanday.	Gun pricker.--I am indebted for the following plan, both for clearing the touchhole, and also for the rather awkward operation of pricking down fresh gunpowder into it, to an old sportsman in the Orkney Island of Sanday.	true	202.22	215.715	20
5914_52087_000007_000001	He takes a quill, and cuts off a broad ring from the large end of it; this is pushed over the small end of the quill, and lies securely there.	He takes a quill, and cuts off a broad ring from the large end of it; this is pushed over the small end of the quill, and lies securely there.	true	215.715	224.385	17
5914_52087_000007_000002	Next, he cuts a wooden plug to fit the quill; into the plug, the pricker is fixed.	Next, he cuts a wooden plug to fit the quill; into the plug, the pricker is fixed.	true	224.385	229.41	25.852484
5914_52087_000008_000000	[Sketch of gun-pricker as described].	[Sketch of gun pricker as described].	false	229.41	229.65	-20
5914_52087_000009_000000	The whole affair goes safely in the pocket; the quill acting as a sheath to the sharp pricker.	The whole affair goes safely in the pocket; the quill acting as a sheath to the sharp pricker.	true	229.65	235.35	23.016972
5914_52087_000009_000001	Now, when powder has to be pricked down the nipple, the "broad ring" is slipped off the quill and put on the nipple, which it fits; powder is poured into it, and the required operation is easily completed.	Now, when powder has to be pricked down the nipple, the "broad ring" is slipped off the quill and put on the nipple, which it fits; powder is poured into it, and the required operation is easily completed.	true	235.35	247.5	21
5914_52087_000009_000002	This little contrivance, which is so simple and Light, lasts for months, and is perfectly effective.	This little contrivance, which is so simple and Light, lasts for months, and is perfectly effective.	true	247.5	254.17	25.118755
5914_52087_000009_000003	I have tried metal holders, but I much prefer the simple quill, on account of its elasticity and lightness. A little binding with waxed thread, may be put on, as shown in the sketch, to prevent the quill from splitting.	I have tried metal holders, but I much prefer the simple quill, on account of its elasticity and lightness. A little binding with waxed thread, may be put on, as shown in the sketch, to prevent the quill from splitting.	true	254.33	268.78	23.59832
5914_52087_000010_000000	Wadding.--The bush affords few materials from which wadding can be made; some birds' nests are excellent for the purpose.	Wadding.--The bush affords few materials from which wadding can be made; some birds' nests are excellent for the purpose.	true	269.48	277.9	20.002232
