3361_130131_000005_000000	Chapter XXVI	Chapter twenty six
3361_130131_000006_000000	IN WHICH PHILEAS FOGG AND PARTY TRAVEL BY THE PACIFIC RAILROAD	IN WHICH PHILEAS FOGG AND PARTY TRAVEL BY THE PACIFIC RAILROAD
3361_130131_000007_000000	"From ocean to ocean"--so say the Americans; and these four words compose the general designation of the "great trunk line" which crosses the entire width of the United States.	"From ocean to ocean"--so say the Americans; and these four words compose the general designation of the "great trunk line" which crosses the entire width of the United States.
3361_130131_000008_000000	New York and San Francisco are thus united by an uninterrupted metal ribbon, which measures no less than three thousand seven hundred and eighty-six miles.	New York and San Francisco are thus united by an uninterrupted metal ribbon, which measures no less than three thousand seven hundred and eighty six miles.
3361_130131_000008_000001	Between Omaha and the Pacific the railway crosses a territory which is still infested by Indians and wild beasts, and a large tract which the Mormons, after they were driven from Illinois in 1845, began to colonise.	Between Omaha and the Pacific the railway crosses a territory which is still infested by Indians and wild beasts, and a large tract which the Mormons, after they were driven from Illinois in eighteen forty five, began to colonise.
3361_130131_000009_000000	The journey from New York to San Francisco consumed, formerly, under the most favourable conditions, at least six months.	The journey from New York to San Francisco consumed, formerly, under the most favourable conditions, at least six months.
3361_130131_000009_000001	It is now accomplished in seven days.	It is now accomplished in seven days.
3361_130131_000010_000000	It was in 1862 that, in spite of the Southern Members of Congress, who wished a more southerly route, it was decided to lay the road between the forty-first and forty-second parallels.	It was in eighteen sixty two that, in spite of the Southern Members of Congress, who wished a more southerly route, it was decided to lay the road between the forty first and forty second parallels.
3361_130131_000010_000001	President Lincoln himself fixed the end of the line at Omaha, in Nebraska.	President Lincoln himself fixed the end of the line at Omaha, in Nebraska.
3361_130131_000010_000002	The work was at once commenced, and pursued with true American energy; nor did the rapidity with which it went on injuriously affect its good execution.	The work was at once commenced, and pursued with true American energy; nor did the rapidity with which it went on injuriously affect its good execution.
3361_130131_000011_000000	The Pacific Railroad is joined by several branches in Iowa, Kansas, Colorado, and Oregon.	The Pacific Railroad is joined by several branches in Iowa, Kansas, Colorado, and Oregon.
