3361_130131_000000_000000	"But I thought there was a great deal of disturbance in the streets."	"But I thought there was a great deal of disturbance in the streets."	false	0	3.42	22.837854
3361_130131_000001_000000	"It was only a meeting assembled for an election."	"It was only a meeting assembled for an election."	false	3.42	9.99	21.227777
3361_130131_000002_000000	"The election of a general-in-chief, no doubt?" asked Mr. Fogg.	"The election of a general in chief, no doubt?" asked mr Fogg.	false	9.99	14.67	18.518602
3361_130131_000003_000000	"No, sir; of a justice of the peace."	"No, sir; of a justice of the peace."	false	14.67	18.66	21
3361_130131_000004_000000	Phileas Fogg got into the train, which started off at full speed.	Phileas Fogg got into the train, which started off at full speed.	false	18.66	26.7	22.247608
3361_130131_000005_000000	Chapter XXVI	Chapter twenty six	true	26.7	28.18	25.03532
3361_130131_000006_000000	IN WHICH PHILEAS FOGG AND PARTY TRAVEL BY THE PACIFIC RAILROAD	IN WHICH PHILEAS FOGG AND PARTY TRAVEL BY THE PACIFIC RAILROAD	true	28.34	32.8	22.278946
3361_130131_000007_000000	"From ocean to ocean"--so say the Americans; and these four words compose the general designation of the "great trunk line" which crosses the entire width of the United States.	"From ocean to ocean"--so say the Americans; and these four words compose the general designation of the "great trunk line" which crosses the entire width of the United States.	true	35	47.2	22.451633
3361_130131_000007_000001	The Pacific Railroad is, however, really divided into two distinct lines: the Central Pacific, between San Francisco and Ogden, and the Union Pacific, between Ogden and Omaha.	The Pacific Railroad is, however, really divided into two distinct lines: the Central Pacific, between San Francisco and Ogden, and the Union Pacific, between Ogden and Omaha.	false	47.63	60.55	22.98022
3361_130131_000007_000002	Five main lines connect Omaha with New York.	Five main lines connect Omaha with New York.	true	60.71	64.18	17
3361_130131_000008_000000	New York and San Francisco are thus united by an uninterrupted metal ribbon, which measures no less than three thousand seven hundred and eighty-six miles.	New York and San Francisco are thus united by an uninterrupted metal ribbon, which measures no less than three thousand seven hundred and eighty six miles.	true	65.18	75.22	22.664352
3361_130131_000008_000001	Between Omaha and the Pacific the railway crosses a territory which is still infested by Indians and wild beasts, and a large tract which the Mormons, after they were driven from Illinois in 1845, began to colonise.	Between Omaha and the Pacific the railway crosses a territory which is still infested by Indians and wild beasts, and a large tract which the Mormons, after they were driven from Illinois in eighteen forty five, began to colonise.	true	75.65	92.41	23.723959
3361_130131_000009_000000	The journey from New York to San Francisco consumed, formerly, under the most favourable conditions, at least six months.	The journey from New York to San Francisco consumed, formerly, under the most favourable conditions, at least six months.	true	92.48	100.75	22.80279
3361_130131_000009_000001	It is now accomplished in seven days.	It is now accomplished in seven days.	true	101.03	103.81	23.056515
3361_130131_000010_000000	It was in 1862 that, in spite of the Southern Members of Congress, who wished a more southerly route, it was decided to lay the road between the forty-first and forty-second parallels.	It was in eighteen sixty two that, in spite of the Southern Members of Congress, who wished a more southerly route, it was decided to lay the road between the forty first and forty second parallels.	true	104.99	117.97	23.990067
3361_130131_000010_000001	President Lincoln himself fixed the end of the line at Omaha, in Nebraska.	President Lincoln himself fixed the end of the line at Omaha, in Nebraska.	true	118.4	123.64	22.031267
3361_130131_000010_000002	The work was at once commenced, and pursued with true American energy; nor did the rapidity with which it went on injuriously affect its good execution.	The work was at once commenced, and pursued with true American energy; nor did the rapidity with which it went on injuriously affect its good execution.	true	124.01	134.8	20
3361_130131_000010_000003	The road grew, on the prairies, a mile and a half a day.	The road grew, on the prairies, a mile and a half a day.	true	135.14	139.09	16
3361_130131_000010_000004	A locomotive, running on the rails laid down the evening before, brought the rails to be laid on the morrow, and advanced upon them as fast as they were put in position.	A locomotive, running on the rails laid down the evening before, brought the rails to be laid on the morrow, and advanced upon them as fast as they were put in position.	true	139.58	150.13	19
3361_130131_000011_000000	The Pacific Railroad is joined by several branches in Iowa, Kansas, Colorado, and Oregon.	The Pacific Railroad is joined by several branches in Iowa, Kansas, Colorado, and Oregon.	true	151.28	157.78	22
3361_130131_000011_000001	On leaving Omaha, it passes along the left bank of the Platte River as far as the junction of its northern branch, follows its southern branch, crosses the Laramie territory and the Wahsatch Mountains, turns the Great Salt Lake, and reaches Salt Lake City, the Mormon capital, plunges into the Tuilla Valley, across the American Desert, Cedar and Humboldt Mountains, the Sierra Nevada, and descends, via Sacramento, to the Pacific--its grade, even on the Rocky Mountains, never exceeding one hundred and twelve feet to the mile.	On leaving Omaha, it passes along the left bank of the Platte River as far as the junction of its northern branch, follows its southern branch, crosses the Laramie territory and the Wahsatch Mountains, turns the Great Salt Lake, and reaches Salt Lake City, the Mormon capital, plunges into the Tuilla Valley, across the American Desert, Cedar and Humboldt Mountains, the Sierra Nevada, and descends, via Sacramento, to the Pacific-its grade, even on the Rocky Mountains, never exceeding one hundred and twelve feet to the mile.	false	158.24	196	22.358944
3361_130131_000012_000000	Such was the road to be traversed in seven days, which would enable Phileas Fogg--at least, so he hoped--to take the Atlantic steamer at New York on the 11th for Liverpool.	Such was the road to be traversed in seven days, which would enable Phileas Fogg-at least, so he hoped-to take the Atlantic steamer at New York on the eleventh for Liverpool.	true	197.24	209.44	23.974825
3361_130131_000013_000000	The car which he occupied was a sort of long omnibus on eight wheels, and with no compartments in the interior.	The car which he occupied was a sort of long omnibus on eight wheels, and with no compartments in the interior.	true	210.11	217.42	23.126238
3361_130131_000013_000001	It was supplied with two rows of seats, perpendicular to the direction of the train on either side of an aisle which conducted to the front and rear platforms. These platforms were found throughout the train, and the passengers were able to pass from one end of the train to the other.	It was supplied with two rows of seats, perpendicular to the direction of the train on either side of an aisle which conducted to the front and rear platforms. These platforms were found throughout the train, and the passengers were able to pass from one end of the train to the other.	true	217.64	235.27	21.78372
3361_130131_000013_000002	It was supplied with saloon cars, balcony cars, restaurants, and smoking-cars; theatre cars alone were wanting, and they will have these some day.	It was supplied with saloon cars, balcony cars, restaurants, and smoking cars; theatre cars alone were wanting, and they will have these some day.	true	235.46	245.95	24.218973
3361_130131_000014_000000	Book and news dealers, sellers of edibles, drinkables, and cigars, who seemed to have plenty of customers, were continually circulating in the aisles.	Book and news dealers, sellers of edibles, drinkables, and cigars, who seemed to have plenty of customers, were continually circulating in the aisles.	true	247.1	256.96	22.670359
3361_130131_000015_000000	The train left Oakland station at six o'clock.	The train left Oakland station at six o'clock.	true	258.02	261.165	20
3361_130131_000015_000001	It was already night, cold and cheerless, the heavens being overcast with clouds which seemed to threaten snow.	It was already night, cold and cheerless, the heavens being overcast with clouds which seemed to threaten snow.	true	261.165	268.72	23.113657
3361_130131_000015_000002	The train did not proceed rapidly; counting the stoppages, it did not run more than twenty miles an hour, which was a sufficient speed, however, to enable it to reach Omaha within its designated time.	The train did not proceed rapidly; counting the stoppages, it did not run more than twenty miles an hour, which was a sufficient speed, however, to enable it to reach Omaha within its designated time.	true	269.3	282.25	22.54021
3361_130131_000016_000000	There was but little conversation in the car, and soon many of the passengers were overcome with sleep.	There was but little conversation in the car, and soon many of the passengers were overcome with sleep.	true	283.19	289.57	22.039164
3361_130131_000016_000001	Passepartout found himself beside the detective; but he did not talk to him.	Passepartout found himself beside the detective; but he did not talk to him.	true	289.61	295.09	21
3361_130131_000016_000002	After recent events, their relations with each other had grown somewhat cold; there could no longer be mutual sympathy or intimacy between them.	After recent events, their relations with each other had grown somewhat cold; there could no longer be mutual sympathy or intimacy between them.	true	295.19	304.72	20.637394
