7962_110061_000000_000000	_Of the Moral Observances in Conversation._	underscore Of the Moral Observances in Conversation.underscore	false	26.73	32.19	24.526688
7962_110061_000001_000000	_Goodness, moderation and decorum_--these are the motto and the soul of moral propriety in conversation.	underscore Goodness, moderation and decorum underscore--these are the motto and the soul of moral propriety in conversation.	false	32.19	40.48	19.879805
7962_110061_000002_000000	A solicitude to be always agreeable and obliging; of observing a proper medium in everything; of respecting the rights of others, even in the most trifling things; susceptibility for every thing which is connected with delicacy, piety, and modesty--all these qualities which belong to politeness, are included in these expressive words; _goodness_, _moderation_, _decorum_.	A solicitude to be always agreeable and obliging; of observing a proper medium in everything; of respecting the rights of others, even in the most trifling things; susceptibility for every thing which is connected with delicacy, piety, and modesty-all these qualities which belong to politeness, are included in these expressive words; underscore goodness underscore, underscore moderation underscore, underscore decorum underscore.	false	40.88	67.83	23.917822
7962_110061_000003_000000	SECTION I.	SECTION i	false	67.83	68.67	10
7962_110061_000004_000000	_Of Formal and Vulgar Usages._	underscore Of Formal and Vulgar Usages.underscore	false	68.67	72.36	22.574846
7962_110061_000005_000000	In the first rank of customary formalities, we place those concerning information about the health.	In the first rank of customary formalities, we place those concerning information about the health.	true	72.36	78.07	19
7962_110061_000005_000001	We shall, necessarily, have little to say on this head; there are, however, some little rules which are not to be neglected.	We shall, necessarily, have little to say on this head; there are, however, some little rules which are not to be neglected.	true	78.17	85.72	21.387539
7962_110061_000006_000000	It is proper to vary the phraseology of these formal questions, as much as possible; and we must abstain from them entirely, towards a superior, or a person with whom we are but little acquainted, for such inquiries presuppose some degree of intimacy.	It is proper to vary the phraseology of these formal questions, as much as possible; and we must abstain from them entirely, towards a superior, or a person with whom we are but little acquainted, for such inquiries presuppose some degree of intimacy.	true	86.12	100.78	21
7962_110061_000006_000001	In the last case, there is a method of manifesting our interest, without violating etiquette; it consists in making these inquiries of the domestics, or of other persons of the house, and of saying afterwards when introduced; 'I am happy Sir, to hear that you are in good health.'	In the last case, there is a method of manifesting our interest, without violating etiquette; it consists in making these inquiries of the domestics, or of other persons of the house, and of saying afterwards when introduced; 'I am happy Sir, to hear that you are in good health.'	true	101.09	118.03	23.791492
7962_110061_000007_000000	Custom forbids a lady to make these inquiries of a gentleman, unless he is ill or very aged.	Custom forbids a lady to make these inquiries of a gentleman, unless he is ill or very aged.	true	118.04	123.75	18.793789
7962_110061_000007_000001	To put a corrective upon this mark of regard, a lady who addresses a gentleman, should be earnest in her inquiries of the health of his family, however little intimacy she may have with them.	To put a corrective upon this mark of regard, a lady who addresses a gentleman, should be earnest in her inquiries of the health of his family, however little intimacy she may have with them.	true	123.75	134.68	21
