359_128761_000000_000000	CHAPTER XX	CHAPTER twenty
359_128761_000002_000000	And now I come to perhaps the strangest adventure that happened to us in all this strange business, and one which shows how wonderfully things are brought about.	And now I come to perhaps the strangest adventure that happened to us in all this strange business, and one which shows how wonderfully things are brought about.
359_128761_000003_000000	I was walking along quietly, some way in front of the other two, down the banks of the stream which runs from the oasis till it is swallowed up in the hungry desert sands, when suddenly I stopped and rubbed my eyes, as well I might.	I was walking along quietly, some way in front of the other two, down the banks of the stream which runs from the oasis till it is swallowed up in the hungry desert sands, when suddenly I stopped and rubbed my eyes, as well I might.
359_128761_000003_000001	There, not twenty yards in front of me, placed in a charming situation, under the shade of a species of fig-tree, and facing to the stream, was a cosy hut, built more or less on the Kafir principle with grass and withes, but having a full-length door instead of a bee-hole.	There, not twenty yards in front of me, placed in a charming situation, under the shade of a species of fig tree, and facing to the stream, was a cosy hut, built more or less on the Kafir principle with grass and withes, but having a full length door instead of a bee hole.
359_128761_000004_000001	I thought that I must have got a touch of the sun.	I thought that I must have got a touch of the sun
359_128761_000004_000002	It was impossible.	It was impossible.
359_128761_000004_000003	No hunter ever came to such a place as this.	No hunter ever came to such a place as this.
359_128761_000004_000005	I stared and stared, and so did the other man, and just at that juncture Sir Henry and Good walked up.	I stared and stared, and so did the other man, and just at that juncture Sir Henry and Good walked up.
359_128761_000005_000000	"Look here, you fellows," I said, "is that a white man, or am I mad?"	"Look here, you fellows," I said, "is that a white man, or am I mad?"
359_128761_000006_000000	Sir Henry looked, and Good looked, and then all of a sudden the lame white man with a black beard uttered a great cry, and began hobbling towards us.	Sir Henry looked, and Good looked, and then all of a sudden the lame white man with a black beard uttered a great cry, and began hobbling towards us.
359_128761_000006_000001	When he was close he fell down in a sort of faint.	When he was close he fell down in a sort of faint.
359_128761_000007_000000	With a spring Sir Henry was by his side.	With a spring Sir Henry was by his side.
359_128761_000009_000000	At the sound of this disturbance, another figure, also clad in skins, emerged from the hut, a gun in his hand, and ran towards us.	At the sound of this disturbance, another figure, also clad in skins, emerged from the hut, a gun in his hand, and ran towards us.
359_128761_000010_000000	"Macumazahn," he halloed, "don't you know me, Baas?	"Macumazahn," he halloed, "don't you know me, Baas?
359_128761_000010_000001	I'm Jim the hunter. I lost the note you gave me to give to the Baas, and we have been here nearly two years." And the fellow fell at my feet, and rolled over and over, weeping for joy.	I'm Jim the hunter. I lost the note you gave me to give to the Baas, and we have been here nearly two years." And the fellow fell at my feet, and rolled over and over, weeping for joy.
359_128761_000012_000001	But whatever they had quarrelled about in the past--I suspect it was a lady, though I never asked--it was evidently forgotten now.	But whatever they had quarrelled about in the past-I suspect it was a lady, though I never asked-it was evidently forgotten now.
359_128761_000013_000000	"My dear old fellow," burst out Sir Henry at last, "I thought you were dead.	"My dear old fellow," burst out Sir Henry at last, "I thought you were dead.
359_128761_000015_000000	Then I came up.	Then I came up.
359_128761_000016_000002	It is all so very strange, and, when a man has ceased to hope, so very happy!"	It is all so very strange, and, when a man has ceased to hope, so very happy!"
359_128761_000017_000000	That evening, over the camp fire, George Curtis told us his story, which, in its way, was almost as eventful as our own, and, put shortly, amounted to this.	That evening, over the camp fire, George Curtis told us his story, which, in its way, was almost as eventful as our own, and, put shortly, amounted to this.
359_128761_000017_000002	As for the note I had sent him by Jim, that worthy lost it, and he had never heard of it till to-day.	As for the note I had sent him by Jim, that worthy lost it, and he had never heard of it till to day.
359_128761_000017_000003	But, acting upon information he had received from the natives, he headed not for Sheba's Breasts, but for the ladder-like descent of the mountains down which we had just come, which is clearly a better route than that marked out in old Dom Silvestra's plan.	But, acting upon information he had received from the natives, he headed not for Sheba's Breasts, but for the ladder like descent of the mountains down which we had just come, which is clearly a better route than that marked out in old Dom Silvestra's plan.
359_128761_000017_000004	In the desert he and Jim had suffered great hardships, but finally they reached this oasis, where a terrible accident befell George Curtis.	In the desert he and Jim had suffered great hardships, but finally they reached this oasis, where a terrible accident befell George Curtis.
359_128761_000017_000005	On the day of their arrival he was sitting by the stream, and Jim was extracting the honey from the nest of a stingless bee which is to be found in the desert, on the top of a bank immediately above him.	On the day of their arrival he was sitting by the stream, and Jim was extracting the honey from the nest of a stingless bee which is to be found in the desert, on the top of a bank immediately above him.
359_128761_000017_000006	In so doing he loosened a great boulder of rock, which fell upon George Curtis's right leg, crushing it frightfully.	In so doing he loosened a great boulder of rock, which fell upon George Curtis's right leg, crushing it frightfully.
359_128761_000018_000000	As for food, however, they got on pretty well, for they had a good supply of ammunition, and the oasis was frequented, especially at night, by large quantities of game, which came thither for water.	As for food, however, they got on pretty well, for they had a good supply of ammunition, and the oasis was frequented, especially at night, by large quantities of game, which came thither for water.
359_128761_000018_000001	These they shot, or trapped in pitfalls, using the flesh for food, and, after their clothes wore out, the hides for clothing.	These they shot, or trapped in pitfalls, using the flesh for food, and, after their clothes wore out, the hides for clothing.
359_128761_000019_000000	"And so," George Curtis ended, "we have lived for nearly two years, like a second Robinson Crusoe and his man Friday, hoping against hope that some natives might come here to help us away, but none have come. Only last night we settled that Jim should leave me, and try to reach Sitanda's Kraal to get assistance.	"And so," George Curtis ended, "we have lived for nearly two years, like a second Robinson Crusoe and his man Friday, hoping against hope that some natives might come here to help us away, but none have come. Only last night we settled that Jim should leave me, and try to reach Sitanda's Kraal to get assistance.
359_128761_000019_000001	He was to go to-morrow, but I had little hope of ever seeing him back again.	He was to go to morrow, but I had little hope of ever seeing him back again.
359_128761_000019_000003	It is the most wonderful thing that I have ever heard of, and the most merciful too."	It is the most wonderful thing that I have ever heard of, and the most merciful too."
359_128761_000020_000000	Then Sir Henry set to work, and told him the main facts of our adventures, sitting till late into the night to do it.	Then Sir Henry set to work, and told him the main facts of our adventures, sitting till late into the night to do it.
359_128761_000021_000000	"By Jove!" said George Curtis, when I showed him some of the diamonds: "well, at least you have got something for your pains, besides my worthless self."	"By Jove!" said George Curtis, when I showed him some of the diamonds: "well, at least you have got something for your pains, besides my worthless self."
359_128761_000022_000000	Sir Henry laughed.	Sir Henry laughed.
359_128761_000022_000001	"They belong to Quatermain and Good.	"They belong to Quatermain and Good.
359_128761_000023_000000	This remark set me thinking, and having spoken to Good, I told Sir Henry that it was our joint wish that he should take a third portion of the diamonds, or, if he would not, that his share should be handed to his brother, who had suffered even more than ourselves on the chance of getting them.	This remark set me thinking, and having spoken to Good, I told Sir Henry that it was our joint wish that he should take a third portion of the diamonds, or, if he would not, that his share should be handed to his brother, who had suffered even more than ourselves on the chance of getting them.
359_128761_000023_000001	Finally, we prevailed upon him to consent to this arrangement, but George Curtis did not know of it until some time afterwards.	Finally, we prevailed upon him to consent to this arrangement, but George Curtis did not know of it until some time afterwards.
359_128761_000024_000002	But we did accomplish it somehow, and to give its details would only be to reproduce much of what happened to us on the former occasion.	But we did accomplish it somehow, and to give its details would only be to reproduce much of what happened to us on the former occasion.
359_128761_000026_000000	P.S.--Just as I had written the last word, a Kafir came up my avenue of orange trees, carrying a letter in a cleft stick, which he had brought from the post.	p s--Just as I had written the last word, a Kafir came up my avenue of orange trees, carrying a letter in a cleft stick, which he had brought from the post.
359_128761_000026_000001	It turned out to be from Sir Henry, and as it speaks for itself I give it in full.	It turned out to be from Sir Henry, and as it speaks for itself I give it in full.
359_128761_000029_000001	We got off the boat at Southampton, and went up to town.	We got off the boat at Southampton, and went up to town.
359_128761_000030_000000	He is furious, especially as some ill-natured person has printed it in a Society paper.	He is furious, especially as some ill natured person has printed it in a Society paper.
359_128761_000031_000000	To come to business, Good and I took the diamonds to Streeter's to be valued, as we arranged, and really I am afraid to tell you what they put them at, it seems so enormous.	To come to business, Good and I took the diamonds to Streeter's to be valued, as we arranged, and really I am afraid to tell you what they put them at, it seems so enormous.
359_128761_000031_000003	They offer, however, a hundred and eighty thousand for a very small portion of them.	They offer, however, a hundred and eighty thousand for a very small portion of them.
359_128761_000032_000002	His time is too much occupied in shaving, and other matters connected with the vain adorning of the body.	His time is too much occupied in shaving, and other matters connected with the vain adorning of the body.
359_128761_000032_000004	He told me that since he had been home he hadn't seen a woman to touch her, either as regards her figure or the sweetness of her expression.	He told me that since he had been home he hadn't seen a woman to touch her, either as regards her figure or the sweetness of her expression.
359_128761_000033_000000	I want you to come home, my dear old comrade, and to buy a house near here.	I want you to come home, my dear old comrade, and to buy a house near here.
359_128761_000033_000001	You have done your day's work, and have lots of money now, and there is a place for sale quite close which would suit you admirably.	You have done your day's work, and have lots of money now, and there is a place for sale quite close which would suit you admirably.
359_128761_000033_000002	Do come; the sooner the better; you can finish writing the story of our adventures on board ship.	Do come; the sooner the better; you can finish writing the story of our adventures on board ship.
359_128761_000033_000003	We have refused to tell the tale till it is written by you, for fear lest we shall not be believed.	We have refused to tell the tale till it is written by you, for fear lest we shall not be believed.
359_128761_000033_000004	If you start on receipt of this you will reach here by Christmas, and I book you to stay with me for that.	If you start on receipt of this you will reach here by Christmas, and I book you to stay with me for that.
359_128761_000033_000005	Good is coming, and George; and so, by the way, is your boy Harry (there's a bribe for you).	Good is coming, and George; and so, by the way, is your boy Harry (there's a bribe for you).
359_128761_000033_000006	I have had him down for a week's shooting, and like him.	I have had him down for a week's shooting, and like him.
359_128761_000033_000007	He is a cool young hand; he shot me in the leg, cut out the pellets, and then remarked upon the advantages of having a medical student with every shooting party!	He is a cool young hand; he shot me in the leg, cut out the pellets, and then remarked upon the advantages of having a medical student with every shooting party!
359_128761_000034_000000	Good-bye, old boy; I can't say any more, but I know that you will come, if it is only to oblige	Good bye, old boy; I can't say any more, but I know that you will come, if it is only to oblige
359_128761_000036_000000	P.S.--The tusks of the great bull that killed poor Khiva have now been put up in the hall here, over the pair of buffalo horns you gave me, and look magnificent; and the axe with which I chopped off Twala's head is fixed above my writing-table.	p s--The tusks of the great bull that killed poor Khiva have now been put up in the hall here, over the pair of buffalo horns you gave me, and look magnificent; and the axe with which I chopped off Twala's head is fixed above my writing table.
359_128761_000036_000001	I wish that we could have managed to bring away the coats of chain armour.	I wish that we could have managed to bring away the coats of chain armour.
359_128761_000036_000002	Don't lose poor Foulata's basket in which you brought away the diamonds.	Don't lose poor Foulata's basket in which you brought away the diamonds.
359_128761_000037_000000	H.C.	h c
359_128761_000038_000000	To-day is Tuesday.	To day is Tuesday.
359_128761_000039_000000	ALLAN QUATERMAIN.	ALLAN QUATERMAIN.
