6167_73973_000001_000000	CHAPTER XXI	CHAPTER twenty one
6167_73973_000002_000000	NOVELTY AND VARIETY	NOVELTY AND VARIETY
6167_73973_000003_000000	When I look back over thirty years of gardening, I see what an extraordinary progress there has been, not only in the introduction of good plants new to general cultivation, but also in the home production of improved kinds of old favourites.	When I look back over thirty years of gardening, I see what an extraordinary progress there has been, not only in the introduction of good plants new to general cultivation, but also in the home production of improved kinds of old favourites.
6167_73973_000003_000001	In annual plants alone there has been a remarkable advance.	In annual plants alone there has been a remarkable advance.
6167_73973_000003_000002	And here again, though many really beautiful things are being brought forward, there seems always to be an undue value assigned to a fresh development, on the score of its novelty.	And here again, though many really beautiful things are being brought forward, there seems always to be an undue value assigned to a fresh development, on the score of its novelty.
6167_73973_000004_000000	Now it seems to me, that among the thousands of beautiful things already at hand for garden use, there is no merit whatever in novelty or variety unless the thing new or different is distinctly more beautiful, or in some such way better than an older thing of the same class.	Now it seems to me, that among the thousands of beautiful things already at hand for garden use, there is no merit whatever in novelty or variety unless the thing new or different is distinctly more beautiful, or in some such way better than an older thing of the same class.
6167_73973_000005_000000	And there seems to be a general wish among seed growers just now to dwarf all annual plants.	And there seems to be a general wish among seed growers just now to dwarf all annual plants.
6167_73973_000005_000001	Now, when a plant is naturally of a diffuse habit, the fixing of a dwarfer variety may be a distinct gain to horticulture--it may just make a good garden plant out of one that was formerly of indifferent quality; but there seems to me to be a kind of stupidity in inferring from this that all annuals are the better for dwarfing.	Now, when a plant is naturally of a diffuse habit, the fixing of a dwarfer variety may be a distinct gain to horticulture-it may just make a good garden plant out of one that was formerly of indifferent quality; but there seems to me to be a kind of stupidity in inferring from this that all annuals are the better for dwarfing.
6167_73973_000005_000002	I take it that the bedding system has had a good deal to do with it.	I take it that the bedding system has had a good deal to do with it.
6167_73973_000005_000003	It no doubt enables ignorant gardeners to use a larger variety of plants as senseless colour-masses, but it is obvious that many, if not most, of the plants are individually made much uglier by the process.	It no doubt enables ignorant gardeners to use a larger variety of plants as senseless colour masses, but it is obvious that many, if not most, of the plants are individually made much uglier by the process.
6167_73973_000005_000004	Take, for example, one of the dwarfest Ageratums: what a silly little dumpy, formless, pincushion of a thing it is!	Take, for example, one of the dwarfest Ageratums: what a silly little dumpy, formless, pincushion of a thing it is!
6167_73973_000005_000005	And then the dwarfest of the China Asters.	And then the dwarfest of the China Asters.
6167_73973_000005_000006	Here is a plant (whose chief weakness already lies in a certain over-stiffness) made stiffer and more shapeless still by dwarfing and by cramming with too many petals.	Here is a plant (whose chief weakness already lies in a certain over stiffness) made stiffer and more shapeless still by dwarfing and by cramming with too many petals.
6167_73973_000005_000007	The Comet Asters of later years are a much-improved type of flower, with a looser shape and a certain degree of approach to grace and beauty.	The Comet Asters of later years are a much improved type of flower, with a looser shape and a certain degree of approach to grace and beauty.
6167_73973_000005_000008	When this kind came out it was a noteworthy novelty, not because it was a novelty, but because it was a better and more beautiful thing.	When this kind came out it was a noteworthy novelty, not because it was a novelty, but because it was a better and more beautiful thing.
6167_73973_000006_000000	It is quite true that here and there the dwarf kind is a distinctly useful thing, as in the dwarf Nasturtiums.	It is quite true that here and there the dwarf kind is a distinctly useful thing, as in the dwarf Nasturtiums.
6167_73973_000006_000001	In this grand plant one is glad to have dwarf ones as well as the old trailing kinds.	In this grand plant one is glad to have dwarf ones as well as the old trailing kinds.
