4226_12707_000006_000002	If the weather is hot, it will keep but a short time.	If the weather is hot, it will keep but a short time.
4226_12707_000006_000003	It should be kept in a cool, airy place, away from the flies, and if there is any danger of its spoiling, a little salt should be rubbed over it.	It should be kept in a cool, airy place, away from the flies, and if there is any danger of its spoiling, a little salt should be rubbed over it.
4226_12707_000006_000006	Boiling is the cheapest way of cooking meat, provided you make a soup of the liquor; if not, it is the dearest, as most of the gelatine is extracted by the process of boiling, which is the most nourishing part, and if not used for soup, is completely lost.	Boiling is the cheapest way of cooking meat, provided you make a soup of the liquor; if not, it is the dearest, as most of the gelatine is extracted by the process of boiling, which is the most nourishing part, and if not used for soup, is completely lost.
4226_12707_000006_000008	When it is put down to roast, there should be a little water in the dripping pan.	When it is put down to roast, there should be a little water in the dripping pan.
4226_12707_000006_000010	The bars of the gridiron should be concave, and terminate in a trough, to catch the juices, or they will drop in the fire and smoke the meat.	The bars of the gridiron should be concave, and terminate in a trough, to catch the juices, or they will drop in the fire and smoke the meat.
4226_12707_000006_000013	The dish should be very hot on which broiled meat is put, and it should not be seasoned till taken up.	The dish should be very hot on which broiled meat is put, and it should not be seasoned till taken up.
4226_12707_000006_000014	If you wish to fry meat, cut a small piece of pork into slices, and fry them a light brown, then take them up and put in your meat, which should be perfectly dry.	If you wish to fry meat, cut a small piece of pork into slices, and fry them a light brown, then take them up and put in your meat, which should be perfectly dry.
4226_12707_000006_000015	When the meat is sufficiently fried, take it up, remove the frying pan from the fire to cool; when so, turn in a little cold water for the gravy, put it on the fire--when it boils, stir in a little mixed flour and water, let it boil, then turn it over the meat.	When the meat is sufficiently fried, take it up, remove the frying pan from the fire to cool; when so, turn in a little cold water for the gravy, put it on the fire-when it boils, stir in a little mixed flour and water, let it boil, then turn it over the meat.
4226_12707_000008_000000	The tender loin and first and second cuts off the rack are the best roasting pieces--the third and fourth cuts are good.	The tender loin and first and second cuts off the rack are the best roasting pieces-the third and fourth cuts are good.
4226_12707_000008_000002	When the bones get well heated through, turn the meat, and keep a brisk fire--baste it frequently while roasting.	When the bones get well heated through, turn the meat, and keep a brisk fire-baste it frequently while roasting.
4226_12707_000008_000004	If it is a thick piece, allow fifteen minutes to each pound to roast it in--if thin, less time will be required.	If it is a thick piece, allow fifteen minutes to each pound to roast it in-if thin, less time will be required.
4226_12707_000009_000000	3.	three.
4226_12707_000010_000000	The tender loin is the best piece for broiling--a steak from the round or shoulder clod is good and comes cheaper.	The tender loin is the best piece for broiling-a steak from the round or shoulder clod is good and comes cheaper.
4226_12707_000010_000001	If the beef is not very tender, it should be laid on a board and pounded, before broiling or frying it.	If the beef is not very tender, it should be laid on a board and pounded, before broiling or frying it.
4226_12707_000010_000003	If broiled slow, it will not be good.	If broiled slow, it will not be good.
4226_12707_000010_000004	It takes from fifteen to twenty minutes to broil a steak.	It takes from fifteen to twenty minutes to broil a steak.
4226_12707_000010_000005	For seven or eight pounds of beef, cut up about a quarter of a pound of butter.	For seven or eight pounds of beef, cut up about a quarter of a pound of butter.
4226_12707_000010_000006	Heat the platter very hot that the steak is to be put on, lay the butter on it, take up the steak, salt and pepper it on both sides.	Heat the platter very hot that the steak is to be put on, lay the butter on it, take up the steak, salt and pepper it on both sides.
4226_12707_000010_000007	Beef steak to be good, should be eaten as soon as cooked.	Beef steak to be good, should be eaten as soon as cooked.
4226_12707_000010_000009	There should always be a trough to catch the juices of the meat when broiled.	There should always be a trough to catch the juices of the meat when broiled.
4226_12707_000010_000010	The same pieces that are good broiled are good for frying.	The same pieces that are good broiled are good for frying.
4226_12707_000010_000011	Fry a few slices of salt pork, brown, then take them up and put in the beef.	Fry a few slices of salt pork, brown, then take them up and put in the beef.
4226_12707_000011_000000	4.	four.
4226_12707_000012_000002	When it has stewed a couple of hours, turn the reserved dressing on top of the meat, heat the bake pan lid hot enough to brown the dressing, stew it an hour and a half longer.	When it has stewed a couple of hours, turn the reserved dressing on top of the meat, heat the bake pan lid hot enough to brown the dressing, stew it an hour and a half longer.
4226_12707_000013_000000	5.	five.
4226_12707_000014_000000	Liver is very good fried, but the best way to cook it, is to broil it ten minutes, with four or five slices of salt pork.	Liver is very good fried, but the best way to cook it, is to broil it ten minutes, with four or five slices of salt pork.
4226_12707_000014_000001	Then take it, cut it into small strips together with the pork, put it in a stew pan, with a little water, butter, and pepper.	Then take it, cut it into small strips together with the pork, put it in a stew pan, with a little water, butter, and pepper.
4226_12707_000015_000000	6.	six.
4226_12707_000016_000000	To every gallon of cold water, put a quart of rock salt, an ounce of salt-petre, quarter of a pound of brown sugar--(some people use molasses, but it is not as good)--no boiling is necessary.	To every gallon of cold water, put a quart of rock salt, an ounce of salt petre, quarter of a pound of brown sugar-(some people use molasses, but it is not as good)--no boiling is necessary.
4226_12707_000016_000001	Put the beef in the brine.	Put the beef in the brine.
4226_12707_000016_000004	When a piece of beef is put in the brine, rub a little salt over it.	When a piece of beef is put in the brine, rub a little salt over it.
4226_12707_000016_000005	If the weather is hot, cut a gash to the bone of the meat, and fill it with salt.	If the weather is hot, cut a gash to the bone of the meat, and fill it with salt.
4226_12707_000016_000007	In very hot weather, it is difficult to corn beef in cold brine before it spoils.	In very hot weather, it is difficult to corn beef in cold brine before it spoils.
4226_12707_000016_000008	On this account it is good to corn it in the pot when boiled.	On this account it is good to corn it in the pot when boiled.
4226_12707_000017_000000	7.	seven.
4226_12707_000018_000000	The saddle is the best part to roast--the shoulder and leg are good roasted; but the best mode to cook the latter, is to boil it with a piece of salt pork.	The saddle is the best part to roast-the shoulder and leg are good roasted; but the best mode to cook the latter, is to boil it with a piece of salt pork.
4226_12707_000018_000001	A little rice boiled with it, improves the looks of it.	A little rice boiled with it, improves the looks of it.
4226_12707_000018_000002	Mutton for roasting, should have a little butter rubbed on it, and a little salt and pepper sprinkled on it--some people like cloves and allspice.	Mutton for roasting, should have a little butter rubbed on it, and a little salt and pepper sprinkled on it-some people like cloves and allspice.
4226_12707_000018_000004	The bony side should be turned towards the fire first, and roasted.	The bony side should be turned towards the fire first, and roasted.
4226_12707_000018_000005	For boiling or roasting mutton, allow a quarter of an hour to each pound of meat.	For boiling or roasting mutton, allow a quarter of an hour to each pound of meat.
4226_12707_000018_000006	The leg is good cut in gashes, and filled with a dressing, and baked.	The leg is good cut in gashes, and filled with a dressing, and baked.
4226_12707_000018_000007	The dressing is made of soaked bread, a little butter, salt, and pepper, and a couple of eggs.	The dressing is made of soaked bread, a little butter, salt, and pepper, and a couple of eggs.
