4226_12707_000000_000000	SOAPS.	SOAPS.	false	0	0.06	-20
4226_12707_000001_000000	438 Soap from Scraps, 134 439 Cold Soap, 134 440 Hard Soap, 134 441 Windsor and Castile Soap, 134 442 Bayberry, or Myrtle Soap, 134	four hundred thirty eight Soap from Scraps, one hundred thirty four thousand four hundred thirty nine Cold Soap, one hundred thirty four thousand four hundred forty Hard Soap, one hundred thirty four thousand four hundred forty one Windsor and Castile Soap, one hundred thirty four thousand four hundred forty two Bayberry, or Myrtle Soap, one hundred thirty four	false	0.06	2.04	22.501303
4226_12707_000002_000000	THE ART OF CARVING.	THE ART OF CARVING.	false	2.04	2.34	33
4226_12707_000003_000000	1 Sirloin of Beef, 135 2 Aitch, or Edgebone of Beef, 136 3 Shoulder of Mutton, 136 4 Knuckle of Veal, 137 5 Roasted Breast of Veal, 137 6 A Spare Rib, 138 7 Saddle of Mutton, 138 8 Pig, 138 9 Half a Calf's Head, boiled, 139 10 Leg of Mutton, 139 11 Ham, 140 12 Fore Quarter of Lamb, 140 13 Haunch of Venison, 141 14 Round of Beef, 141 15 Brisket of Beef, 141 16 Leg of Pork, 141 17 Haunch of Mutton, 141 18 Goose, 142 19 A Fowl, 142 20 Partridge, 143 21 Pigeons, 143 22 Turkey, 143 23 Cod's Head, 144	one Sirloin of Beef, one hundred thirty five two Aitch, or Edgebone of Beef, one hundred thirty six three Shoulder of Mutton, one hundred thirty six four Knuckle of Veal, one hundred thirty seven five Roasted Breast of Veal, one hundred thirty seven six A Spare Rib, one hundred thirty eight seven Saddle of Mutton, one hundred thirty eight eight Pig, one hundred thirty eight nine Half a Calf's Head, boiled, one hundred thirty nine ten Leg of Mutton, one hundred thirty nine eleven Ham, one hundred forty twelve Fore Quarter of Lamb, one hundred forty thirteen Haunch of Venison, one hundred forty one fourteen Round of Beef, one hundred forty one fifteen Brisket of Beef, one hundred forty one sixteen Leg of Pork, one hundred forty one seventeen Haunch of Mutton, one hundred forty one eighteen Goose, one hundred forty two nineteen A Fowl, one hundred forty two twenty Partridge, one hundred forty three twenty one Pigeons, one hundred forty three twenty two Turkey, one hundred forty three twenty three Cod's Head, one hundred forty four	false	2.34	17.97	21.689283
4226_12707_000004_000000	PRACTICAL COOKERY.	PRACTICAL COOKERY.	false	17.97	18.45	28.176182
4226_12707_000005_000000	1.	one.	true	18.45	20.79	19.503618
4226_12707_000005_000001	_Observations respecting Meat._	underscore Observations respecting Meat.underscore	false	20.79	24.84	20.32177
4226_12707_000006_000000	Meat to be in perfection should be kept a number of days when the weather will admit of it.	Meat to be in perfection should be kept a number of days when the weather will admit of it.	true	24.84	29.59	15
4226_12707_000006_000001	Beef and mutton should be kept at least a week in cold weather, and poultry three or four days.	Beef and mutton should be kept at least a week in cold weather, and poultry three or four days.	true	29.81	35.08	16
4226_12707_000006_000002	If the weather is hot, it will keep but a short time.	If the weather is hot, it will keep but a short time.	true	35.21	37.99	23.574356
4226_12707_000006_000003	It should be kept in a cool, airy place, away from the flies, and if there is any danger of its spoiling, a little salt should be rubbed over it.	It should be kept in a cool, airy place, away from the flies, and if there is any danger of its spoiling, a little salt should be rubbed over it.	true	38.27	46.3	23
4226_12707_000006_000004	When meat is frozen, it should be put into lukewarm water, and not taken out till the frost is extracted. If there is any frost in it when put to the fire, it will not cook well. The best way to boil it is to put it in cold water, and boil it gently, with just water enough to cover it, as it hardens by furious boiling. The part that is to be up on the table, should be down in the pot, as the scum that rises is apt to make the meat look dark--the scum should be taken off as soon as it rises.	When meat is frozen, it should be put into lukewarm water, and not taken out till the frost is extracted. If there is any frost in it when put to the fire, it will not cook well. The best way to boil it is to put it in cold water, and boil it gently, with just water enough to cover it, as it hardens by furious boiling. The part that is to be up on the table, should be down in the pot, as the scum that rises is apt to make the meat look dark-the scum should be taken off as soon as it rises.	false	46.61	76.48	22.29539
4226_12707_000006_000005	The liquor in which all kinds of fresh meat is boiled, makes a good soup, when thickened and seasoned.	The liquor in which all kinds of fresh meat is boiled, makes a good soup, when thickened and seasoned.	true	76.52	81.64	18
4226_12707_000006_000006	Boiling is the cheapest way of cooking meat, provided you make a soup of the liquor; if not, it is the dearest, as most of the gelatine is extracted by the process of boiling, which is the most nourishing part, and if not used for soup, is completely lost.	Boiling is the cheapest way of cooking meat, provided you make a soup of the liquor; if not, it is the dearest, as most of the gelatine is extracted by the process of boiling, which is the most nourishing part, and if not used for soup, is completely lost.	true	81.83	96.61	22.21972
4226_12707_000006_000007	In roasting meat, only the juices and fat are extracted, but not lost, as the juices make good gravy, and the fat is good for various culinary purposes.	In roasting meat, only the juices and fat are extracted, but not lost, as the juices make good gravy, and the fat is good for various culinary purposes.	true	96.8	106.09	18
4226_12707_000006_000008	When it is put down to roast, there should be a little water in the dripping pan.	When it is put down to roast, there should be a little water in the dripping pan.	true	106.64	110.59	21.480597
4226_12707_000006_000009	For broiling, the bars of the gridiron should be perfectly clean, and greased with lard or butter, otherwise the meat will retain the impression of the bars.	For broiling, the bars of the gridiron should be perfectly clean, and greased with lard or butter, otherwise the meat will retain the impression of the bars.	true	110.84	119.71	18
4226_12707_000006_000010	The bars of the gridiron should be concave, and terminate in a trough, to catch the juices, or they will drop in the fire and smoke the meat.	The bars of the gridiron should be concave, and terminate in a trough, to catch the juices, or they will drop in the fire and smoke the meat.	true	120.08	128.8	21.943663
4226_12707_000006_000011	A good fire of hot coals is necessary to have the meat broil as quick as possible without burning.	A good fire of hot coals is necessary to have the meat broil as quick as possible without burning.	true	128.96	135.07	19
4226_12707_000006_000012	The gridiron should be put on the fire, and well heated before the meat is laid on it.	The gridiron should be put on the fire, and well heated before the meat is laid on it.	false	135.29	140.05	19
4226_12707_000006_000013	The dish should be very hot on which broiled meat is put, and it should not be seasoned till taken up.	The dish should be very hot on which broiled meat is put, and it should not be seasoned till taken up.	true	140.27	146.26	21.700531
4226_12707_000006_000014	If you wish to fry meat, cut a small piece of pork into slices, and fry them a light brown, then take them up and put in your meat, which should be perfectly dry.	If you wish to fry meat, cut a small piece of pork into slices, and fry them a light brown, then take them up and put in your meat, which should be perfectly dry.	true	146.42	155.17	21
4226_12707_000006_000015	When the meat is sufficiently fried, take it up, remove the frying pan from the fire to cool; when so, turn in a little cold water for the gravy, put it on the fire--when it boils, stir in a little mixed flour and water, let it boil, then turn it over the meat.	When the meat is sufficiently fried, take it up, remove the frying pan from the fire to cool; when so, turn in a little cold water for the gravy, put it on the fire-when it boils, stir in a little mixed flour and water, let it boil, then turn it over the meat.	true	155.33	171	23.170849
4226_12707_000006_000016	If not rich enough, add butter and catsup if you like.	If not rich enough, add butter and catsup if you like.	false	171	174.21	26.041954
4226_12707_000007_000000	2.	two.	false	174.21	175.23	-20
4226_12707_000007_000001	_Roast Beef._	underscore Roast Beef.underscore	false	175.23	178.23	21.826174
4226_12707_000008_000000	The tender loin and first and second cuts off the rack are the best roasting pieces--the third and fourth cuts are good.	The tender loin and first and second cuts off the rack are the best roasting pieces-the third and fourth cuts are good.	true	178.23	185.05	22
4226_12707_000008_000001	When the meat is put to the fire, a little salt should be sprinkled on it, and the bony side turned towards the fire first.	When the meat is put to the fire, a little salt should be sprinkled on it, and the bony side turned towards the fire first.	true	185.15	191.56	18
4226_12707_000008_000002	When the bones get well heated through, turn the meat, and keep a brisk fire--baste it frequently while roasting.	When the bones get well heated through, turn the meat, and keep a brisk fire-baste it frequently while roasting.	true	191.78	198.52	22.907131
4226_12707_000008_000003	There should be a little water put into the dripping pan when the meat is put down to roast.	There should be a little water put into the dripping pan when the meat is put down to roast.	true	198.71	203.11	18
4226_12707_000008_000004	If it is a thick piece, allow fifteen minutes to each pound to roast it in--if thin, less time will be required.	If it is a thick piece, allow fifteen minutes to each pound to roast it in-if thin, less time will be required.	true	203.24	210.46	24.4794
4226_12707_000009_000000	3.	three.	true	211.31	212.01	24.719294
4226_12707_000009_000001	_Beef Steak._	underscore Beef Steak.underscore	false	212.01	214.08	19.822317
4226_12707_000010_000000	The tender loin is the best piece for broiling--a steak from the round or shoulder clod is good and comes cheaper.	The tender loin is the best piece for broiling-a steak from the round or shoulder clod is good and comes cheaper.	true	214.08	220.81	20
4226_12707_000010_000001	If the beef is not very tender, it should be laid on a board and pounded, before broiling or frying it.	If the beef is not very tender, it should be laid on a board and pounded, before broiling or frying it.	true	220.94	226.75	20
4226_12707_000010_000002	Wash it in cold water, then lay it on a gridiron, place it on a hot bed of coals, and broil it as quick as possible without burning it.	Wash it in cold water, then lay it on a gridiron, place it on a hot bed of coals, and broil it as quick as possible without burning it.	true	226.94	234.49	19.246786
4226_12707_000010_000003	If broiled slow, it will not be good.	If broiled slow, it will not be good.	true	234.68	237.31	23.998896
4226_12707_000010_000004	It takes from fifteen to twenty minutes to broil a steak.	It takes from fifteen to twenty minutes to broil a steak.	true	237.38	240.61	22.022654
4226_12707_000010_000005	For seven or eight pounds of beef, cut up about a quarter of a pound of butter.	For seven or eight pounds of beef, cut up about a quarter of a pound of butter.	true	240.74	245.05	24.293417
4226_12707_000010_000006	Heat the platter very hot that the steak is to be put on, lay the butter on it, take up the steak, salt and pepper it on both sides.	Heat the platter very hot that the steak is to be put on, lay the butter on it, take up the steak, salt and pepper it on both sides.	true	245.12	253.24	23.847967
4226_12707_000010_000007	Beef steak to be good, should be eaten as soon as cooked.	Beef steak to be good, should be eaten as soon as cooked.	true	253.55	257.02	22
4226_12707_000010_000008	A few slices of salt pork broiled with the steak makes a rich gravy with a very little butter.	A few slices of salt pork broiled with the steak makes a rich gravy with a very little butter.	false	257.21	262.51	18
4226_12707_000010_000009	There should always be a trough to catch the juices of the meat when broiled.	There should always be a trough to catch the juices of the meat when broiled.	true	262.73	266.89	22
4226_12707_000010_000010	The same pieces that are good broiled are good for frying.	The same pieces that are good broiled are good for frying.	true	266.99	270.16	21.192453
4226_12707_000010_000011	Fry a few slices of salt pork, brown, then take them up and put in the beef.	Fry a few slices of salt pork, brown, then take them up and put in the beef.	true	270.44	275.47	23.857422
