6189_64708_000000_000000	CHAPTER III	CHAPTER three	false	24.78	25.74	27.333075
6189_64708_000001_000000	THE ENCHANTED STAG	THE ENCHANTED STAG	true	25.74	27.57	23.433924
6189_64708_000002_000000	There were once a brother and sister who loved each other dearly; their mother was dead, and their father had married again a woman who was most unkind and cruel to them.	There were once a brother and sister who loved each other dearly; their mother was dead, and their father had married again a woman who was most unkind and cruel to them.	false	27.57	39.13	23.09045
6189_64708_000002_000001	One day the boy took his sister's hand, and said to her, "Dear little sister, since our mother died we have not had one happy hour.	One day the boy took his sister's hand, and said to her, "Dear little sister, since our mother died we have not had one happy hour.	true	39.29	48.795	23.310427
6189_64708_000002_000002	Our stepmother gives us dry hard crusts for dinner and supper; she often knocks us about, and threatens to kick us out of the house.	Our stepmother gives us dry hard crusts for dinner and supper; she often knocks us about, and threatens to kick us out of the house.	true	48.795	57.1	24.055603
6189_64708_000002_000003	Even the little dogs under the table fare better than we do, for she often throws them nice pieces to eat.	Even the little dogs under the table fare better than we do, for she often throws them nice pieces to eat.	true	57.35	63.855	22.222466
6189_64708_000002_000004	Heaven pity us!	Heaven pity us!	true	63.855	65.17	21.188671
6189_64708_000002_000005	Oh, if our dear mother knew!	Oh, if our dear mother knew!	false	65.27	67.84	21.66498
6189_64708_000002_000006	Come, let us go out into the wide world!"	Come, let us go out into the wide world!"	true	67.94	71.53	20.61795
6189_64708_000003_000000	So they went out, and wandered over fields and meadows the whole day till evening.	So they went out, and wandered over fields and meadows the whole day till evening.	true	71.54	76.84	20
6189_64708_000003_000001	At last they found themselves in a large forest; it began to rain, and the little sister said, "See, brother, heaven and our hearts weep together." At last, tired out with hunger and sorrow, and the long journey, they crept into a hollow tree, laid themselves down, and slept till morning.	At last they found themselves in a large forest; it began to rain, and the little sister said, "See, brother, heaven and our hearts weep together." At last, tired out with hunger and sorrow, and the long journey, they crept into a hollow tree, laid themselves down, and slept till morning.	true	77.03	97.96	21.77813
6189_64708_000004_000000	When they awoke the sun was high in the heavens, and shone brightly into the hollow tree, so they left their place of shelter and wandered away in search of water.	When they awoke the sun was high in the heavens, and shone brightly into the hollow tree, so they left their place of shelter and wandered away in search of water.	true	98.15	108.37	23.137083
6189_64708_000005_000000	"Oh, I am so thirsty!" said the boy.	"Oh, I am so thirsty!" said the boy.	true	109.07	112.51	22.755253
6189_64708_000005_000001	"If we could only find a brook or a stream." He stopped to listen, and said, "Stay, I think I hear a running stream." So he took his sister by the hand, and they ran together to find it.	"If we could only find a brook or a stream." He stopped to listen, and said, "Stay, I think I hear a running stream." So he took his sister by the hand, and they ran together to find it.	true	112.55	125.29	23.207354
6189_64708_000006_000000	Now, the stepmother of these poor children was a wicked witch.	Now, the stepmother of these poor children was a wicked witch.	false	125.87	130.2	23.782772
6189_64708_000006_000001	She had seen the children go away, and, following them cautiously like a snake, had bewitched all the springs and streams in the forest.	She had seen the children go away, and, following them cautiously like a snake, had bewitched all the springs and streams in the forest.	true	130.2	138.55	22.030434
6189_64708_000006_000002	The pleasant trickling of a brook over the pebbles was heard by the children as they reached it, and the boy was just stooping to drink, when the sister heard in the babbling of the brook:	The pleasant trickling of a brook over the pebbles was heard by the children as they reached it, and the boy was just stooping to drink, when the sister heard in the babbling of the brook:	true	139.01	149.64	21.18934
6189_64708_000007_000000	"Whoever drinks of me, a tiger soon will be."	"Whoever drinks of me, a tiger soon will be."	true	149.64	153.31	22.79124
6189_64708_000008_000000	Then she cried quickly, "Stay, brother, stay! do not drink, or you will become a wild beast, and tear me to pieces."	Then she cried quickly, "Stay, brother, stay! do not drink, or you will become a wild beast, and tear me to pieces."	true	153.74	162.01	25.778961
6189_64708_000009_000000	Thirsty as he was, the brother conquered his desire to drink at her words, and said, "Dear sister, I will wait till we come to a spring." So they wandered farther, but as they approached, she heard in the bubbling spring the words--	Thirsty as he was, the brother conquered his desire to drink at her words, and said, "Dear sister, I will wait till we come to a spring." So they wandered farther, but as they approached, she heard in the bubbling spring the words-	true	162.32	178	22.082226
6189_64708_000010_000000	"Who drinks of me, a wolf will be."	"Who drinks of me, a wolf will be."	true	178.16	181.33	21.839993
6189_64708_000011_000000	"Brother, I pray you, do not drink of this brook; you will be changed into a wolf, and devour me."	"Brother, I pray you, do not drink of this brook; you will be changed into a wolf, and devour me."	true	181.91	188.14	20.16965
6189_64708_000012_000000	Again the brother denied himself and promised to wait; but he said, "At the next stream I must drink, say what you will, my thirst is so great."	Again the brother denied himself and promised to wait; but he said, "At the next stream I must drink, say what you will, my thirst is so great."	true	188.72	198.85	24.871819
6189_64708_000013_000000	Not far off ran a pretty streamlet, looking clear and bright; but here also in its murmuring waters, the sister heard the words--	Not far off ran a pretty streamlet, looking clear and bright; but here also in its murmuring waters, the sister heard the words-	true	199.28	207.79	23.015581
6189_64708_000014_000000	"Who dares to drink of me, Turned to a stag will be."	"Who dares to drink of me, Turned to a stag will be."	true	207.89	212.29	21.598877
6189_64708_000015_000000	"Dear brother, do not drink," she began; but she was too late, for her brother had already knelt by the stream to drink, and as the first drop of water touched his lips he became a fawn.	"Dear brother, do not drink," she began; but she was too late, for her brother had already knelt by the stream to drink, and as the first drop of water touched his lips he became a fawn.	true	212.63	225.19	27.262922
6189_64708_000015_000001	How the little sister wept over the enchanted brother, and the fawn wept also.	How the little sister wept over the enchanted brother, and the fawn wept also.	true	225.47	230.92	22.74461
6189_64708_000016_000000	He did not run away, but stayed close to her; and at last she said, "Stand still, dear fawn; don't fear, I must take care of you, but I will never leave you." So she untied her little golden garter and fastened it round the neck of the fawn; then she gathered some soft green rushes, and braided them into a soft string, which she fastened to the fawn's golden collar, and then led him away into the depths of the forest.	He did not run away, but stayed close to her; and at last she said, "Stand still, dear fawn; don't fear, I must take care of you, but I will never leave you." So she untied her little golden garter and fastened it round the neck of the fawn; then she gathered some soft green rushes, and braided them into a soft string, which she fastened to the fawn's golden collar, and then led him away into the depths of the forest.	true	231.29	261.915	22.326715
6189_64708_000017_000000	After wandering about for some time, they at last found a little deserted hut, and the sister was overjoyed, for she thought it would form a nice shelter for them both.	After wandering about for some time, they at last found a little deserted hut, and the sister was overjoyed, for she thought it would form a nice shelter for them both.	false	261.915	272.77	23.402203
6189_64708_000017_000001	So she led the fawn in, and then went out alone, to gather moss and dried leaves, to make him a soft bed.	So she led the fawn in, and then went out alone, to gather moss and dried leaves, to make him a soft bed.	true	272.78	279.37	19
6189_64708_000018_000000	Every morning she went out to gather dried roots, nuts, and berries, for her own food, and sweet fresh grass for the fawn, which he ate out of her hand, and the poor little animal went out with her, and played about as happy as the day was long.	Every morning she went out to gather dried roots, nuts, and berries, for her own food, and sweet fresh grass for the fawn, which he ate out of her hand, and the poor little animal went out with her, and played about as happy as the day was long.	true	279.89	295.42	23.114557
6189_64708_000019_000000	When evening came, and the poor sister felt tired, she would kneel down and say her prayers, and then lay her delicate head on the fawn's back, which was a soft warm pillow, on which she could sleep peacefully.	When evening came, and the poor sister felt tired, she would kneel down and say her prayers, and then lay her delicate head on the fawn's back, which was a soft warm pillow, on which she could sleep peacefully.	true	295.76	308.41	21.737944
6189_64708_000019_000001	Had this dear brother only kept his own proper form, how happy they would have been together!	Had this dear brother only kept his own proper form, how happy they would have been together!	false	308.6	314.17	23.18
6189_64708_000019_000002	After they had been alone in the forest for some time, and the little sister had grown a lovely maiden, and the fawn a large stag, a numerous hunting party came to the forest, and amongst them the king of the country.	After they had been alone in the forest for some time, and the little sister had grown a lovely maiden, and the fawn a large stag, a numerous hunting party came to the forest, and amongst them the king of the country.	true	314.21	327.49	23.42694
6189_64708_000020_000000	The sounding horn, the barking of the dogs, the holloa of the huntsmen, resounded through the forest, and were heard by the stag, who became eager to join his companions.	The sounding horn, the barking of the dogs, the holloa of the huntsmen, resounded through the forest, and were heard by the stag, who became eager to join his companions.	false	327.68	338.2	22
6189_64708_000021_000000	"Oh dear," he said, "do let me go and see the hunt; I cannot restrain myself." And he begged so hard that at last she reluctantly consented.	"Oh dear," he said, "do let me go and see the hunt; I cannot restrain myself." And he begged so hard that at last she reluctantly consented.	true	338.21	348.94	22.096922
6189_64708_000022_000000	"But remember," she said, "I must lock the cottage door against those huntsmen, so when you come back in the evening, and knock, I shall not admit you, unless you say, 'Dear little sister let me in.'"	"But remember," she said, "I must lock the cottage door against those huntsmen, so when you come back in the evening, and knock, I shall not admit you, unless you say, 'Dear little sister let me in.'"	true	349.01	361.72	22.064442
6189_64708_000023_000000	He bounded off as she spoke, scarcely stopping to listen, for it was so delightful for him to breathe the fresh air and be free again.	He bounded off as she spoke, scarcely stopping to listen, for it was so delightful for him to breathe the fresh air and be free again.	false	361.97	370.36	25
6189_64708_000024_000000	He had not run far when the king's chief hunter caught sight of the beautiful animal, and started off in chase of him; but it was no easy matter to overtake such rapid footsteps.	He had not run far when the king's chief hunter caught sight of the beautiful animal, and started off in chase of him; but it was no easy matter to overtake such rapid footsteps.	true	370.55	381.01	24
6189_64708_000024_000001	Once, when he thought he had him safe, the fawn sprang over the bushes and disappeared.	Once, when he thought he had him safe, the fawn sprang over the bushes and disappeared.	true	381.14	386.55	22.181744
6189_64708_000025_000000	As it was now nearly dark, he ran up to the little cottage, knocked at the door, and cried, "Dear little sister, let me in." The door was instantly opened, and oh, how glad his sister was to see him safely resting on his soft pleasant bed!	As it was now nearly dark, he ran up to the little cottage, knocked at the door, and cried, "Dear little sister, let me in." The door was instantly opened, and oh, how glad his sister was to see him safely resting on his soft pleasant bed!	true	386.55	402.16	23.11337
6189_64708_000026_000000	A few days after this, the huntsmen were again in the forest; and when the fawn heard the holloa, he could not rest in peace, but begged his sister again to let him go.	A few days after this, the huntsmen were again in the forest; and when the fawn heard the holloa, he could not rest in peace, but begged his sister again to let him go.	false	402.77	414.01	23.291904
6189_64708_000027_000000	She opened the door, and said, "I will let you go this time; but pray do not forget to say what I told you, when you return this evening."	She opened the door, and said, "I will let you go this time; but pray do not forget to say what I told you, when you return this evening."	true	414.56	422.68	22.934044
6189_64708_000028_000000	The chief hunter very soon espied the beautiful fawn with the golden collar, pointed it out to the king, and they determined to hunt it.	The chief hunter very soon espied the beautiful fawn with the golden collar, pointed it out to the king, and they determined to hunt it.	false	423.26	431.95	22.44357
6189_64708_000029_000000	They chased him with all their skill till the evening; but he was too light and nimble for them to catch, till a shot wounded him slightly in the foot, so that he was obliged to hide himself in the bushes, and, after the huntsmen were gone, limp slowly home.	They chased him with all their skill till the evening; but he was too light and nimble for them to catch, till a shot wounded him slightly in the foot, so that he was obliged to hide himself in the bushes, and, after the huntsmen were gone, limp slowly home.	true	431.96	447.1	21.443453
6189_64708_000030_000000	One of them, however, determined to follow him at a distance, and discover where he went.	One of them, however, determined to follow him at a distance, and discover where he went.	true	447.59	453.46	21.66737
6189_64708_000030_000001	What was his surprise at seeing him go up to a door and knock, and to hear him say, "Dear little sister, let me in." The door was only opened a little way, and quickly shut; but the huntsman had seen enough to make him full of wonder, when he returned and described to the king what he had seen.	What was his surprise at seeing him go up to a door and knock, and to hear him say, "Dear little sister, let me in." The door was only opened a little way, and quickly shut; but the huntsman had seen enough to make him full of wonder, when he returned and described to the king what he had seen.	true	453.53	471.94	22.074846
6189_64708_000031_000000	"We will have one more chase to-morrow," said the king, "and discover this mystery."	"We will have one more chase to morrow," said the king, "and discover this mystery."	true	472.55	478.33	26.033161
6189_64708_000032_000000	In the meantime the loving sister was terribly alarmed at finding the stag's foot wounded and bleeding.	In the meantime the loving sister was terribly alarmed at finding the stag's foot wounded and bleeding.	true	478.88	485.38	21.446186
6189_64708_000032_000001	She quickly washed off the blood, and, after bathing the wound, placed healing herbs on it, and said, "Lie down on your bed, dear fawn, and the wound will soon heal, if you rest your foot."	She quickly washed off the blood, and, after bathing the wound, placed healing herbs on it, and said, "Lie down on your bed, dear fawn, and the wound will soon heal, if you rest your foot."	true	485.54	497.23	19.718246
6189_64708_000033_000000	In the morning the wound was so much better that the fawn felt the foot almost as strong as ever, and so, when he again heard the holloa of the hunters, he could not rest.	In the morning the wound was so much better that the fawn felt the foot almost as strong as ever, and so, when he again heard the holloa of the hunters, he could not rest.	false	497.6	508.12	22.976778
6189_64708_000033_000001	"Oh, dear sister, I must go once more; it will be easy for me to avoid the hunters now, and my foot feels quite well; they will not hunt me unless they see me running, and I don't mean to do that."	"Oh, dear sister, I must go once more; it will be easy for me to avoid the hunters now, and my foot feels quite well; they will not hunt me unless they see me running, and I don't mean to do that."	true	508.46	520.81	20.486109
6189_64708_000034_000000	But his sister wept, and begged him not to go: "If they kill you, dear fawn, I shall be here alone in the forest, forsaken by the whole world."	But his sister wept, and begged him not to go: "If they kill you, dear fawn, I shall be here alone in the forest, forsaken by the whole world."	true	521.21	530.59	24.514175
