7383_95441_000002_000000	VIII	eight
7383_95441_000003_000000	OFF NANTUCKET	OFF NANTUCKET
7383_95441_000004_000000	Upon the authors of that commotion Lanyard wasted no consideration whatever.	Upon the authors of that commotion Lanyard wasted no consideration whatever.
7383_95441_000004_000001	Let them knock and clamour; he had more urgent work in hand, and knew too well the penalty were he stupid enough to unbolt to them.	Let them knock and clamour; he had more urgent work in hand, and knew too well the penalty were he stupid enough to unbolt to them.
7383_95441_000004_000003	And all attempts would be futile to make them understand that, while they plagued him with futile questions, a murderer and spy and thief was making good his escape, being afforded ample opportunity to slough all traces of his recent work and resume unchallenged his place among them.	And all attempts would be futile to make them understand that, while they plagued him with futile questions, a murderer and spy and thief was making good his escape, being afforded ample opportunity to slough all traces of his recent work and resume unchallenged his place among them.
7383_95441_000005_000000	No; if by any freak of good fortune, any exertion of wit or daring, that one were to be apprehended, it must be within the next few minutes, it could only be through immediate pursuit.	No; if by any freak of good fortune, any exertion of wit or daring, that one were to be apprehended, it must be within the next few minutes, it could only be through immediate pursuit.
7383_95441_000006_000001	With him, whose ways of life were ceaselessly beset by instant and mortal perils, each with its especial and imperative demand upon his readiness and ingenuity, action must ever press so hard upon the heels of thought as to make the two seem one.	With him, whose ways of life were ceaselessly beset by instant and mortal perils, each with its especial and imperative demand upon his readiness and ingenuity, action must ever press so hard upon the heels of thought as to make the two seem one.
7383_95441_000007_000000	For that matter, the whole transaction had been characterised by almost unbelievable rapidity.	For that matter, the whole transaction had been characterised by almost unbelievable rapidity.
7383_95441_000008_000000	Then, at the third shot, the automatic jammed upon a discharged shell.	Then, at the third shot, the automatic jammed upon a discharged shell.
7383_95441_000009_000000	Exasperated, the adventurer cast the weapon from him, shrugged hastily out of his unfastened coat and waistcoat, hitched tight his belt, and clambered through the port.	Exasperated, the adventurer cast the weapon from him, shrugged hastily out of his unfastened coat and waistcoat, hitched tight his belt, and clambered through the port.
7383_95441_000010_000000	Dropping to the deck, he turned in time to see the fugitive dart round the shoulder of the superstructure.	Dropping to the deck, he turned in time to see the fugitive dart round the shoulder of the superstructure.
7383_95441_000011_000000	As Lanyard gained the after rail of the promenade deck a man standing on the boat-deck at the head of the companion-ladder greeted him with pistol fire.	As Lanyard gained the after rail of the promenade deck a man standing on the boat deck at the head of the companion ladder greeted him with pistol fire.
7383_95441_000011_000001	He dodged back, untouched, and instantaneously devised a stratagem to cope with this untoward development.	He dodged back, untouched, and instantaneously devised a stratagem to cope with this untoward development.
7383_95441_000012_000001	And the darkness in the shadow of the boat was dense, an excellent screen.	And the darkness in the shadow of the boat was dense, an excellent screen.
7383_95441_000014_000000	At the same time, "Karl" seemed mysteriously occupied with some object or objects in whose manipulation he was hampered to a degree by the necessity under which he laboured of holding his pistol ready and dividing his attention.	At the same time, "Karl" seemed mysteriously occupied with some object or objects in whose manipulation he was hampered to a degree by the necessity under which he laboured of holding his pistol ready and dividing his attention.
7383_95441_000015_000000	A man of good stature, broad at the shoulders, slender at the hips, he poised himself with athletic grace--the lower part of his face masked by what Lanyard took to be a dark silk handkerchief.	A man of good stature, broad at the shoulders, slender at the hips, he poised himself with athletic grace-the lower part of his face masked by what Lanyard took to be a dark silk handkerchief.
7383_95441_000017_000000	Then a brisk little spray of sparks jetted from the flint and steel of a patent cigar-lighter in the hands of the spy.	Then a brisk little spray of sparks jetted from the flint and steel of a patent cigar lighter in the hands of the spy.
7383_95441_000018_000000	The man leaned over the rail and cast a small black object to which the sputtering fuse was attached, down to the main deck.	The man leaned over the rail and cast a small black object to which the sputtering fuse was attached, down to the main deck.
7383_95441_000019_000000	As it struck midway between superstructure and stern it burst into brilliant flame, releasing upon the night an electric-blue glare that must have been visible from any point within the compass of the horizon.	As it struck midway between superstructure and stern it burst into brilliant flame, releasing upon the night an electric blue glare that must have been visible from any point within the compass of the horizon.
7383_95441_000020_000000	A yell of profane remonstrance saluted the light, and throughout the brief passage that followed Lanyard was conscious that pistols and rifles on the after deck below were making him and his antagonist their targets.	A yell of profane remonstrance saluted the light, and throughout the brief passage that followed Lanyard was conscious that pistols and rifles on the after deck below were making him and his antagonist their targets.
7383_95441_000021_000000	Before the German could face about, Lanyard, moving almost noiselessly in his bare feet, had covered more than half the intervening space.	Before the German could face about, Lanyard, moving almost noiselessly in his bare feet, had covered more than half the intervening space.
7383_95441_000021_000002	But the distance was too great.	But the distance was too great.
7383_95441_000021_000003	Twice the automatic blazed in his face as he closed in, the bullets clearing narrowly--or else he fancied that their deadly cold breath fanned his cheek.	Twice the automatic blazed in his face as he closed in, the bullets clearing narrowly-or else he fancied that their deadly cold breath fanned his cheek.
7383_95441_000022_000000	Then the spy's weapon in turn went out of action.	Then the spy's weapon in turn went out of action.
7383_95441_000022_000001	Half blinded, Lanyard clipped the man round the body and hugged him tight, exerting all his skill and strength to effect a throw.	Half blinded, Lanyard clipped the man round the body and hugged him tight, exerting all his skill and strength to effect a throw.
7383_95441_000023_000000	That effort failed; his onslaught was met with address and ability that all but matched his own.	That effort failed; his onslaught was met with address and ability that all but matched his own.
7383_95441_000023_000002	For a moment Lanyard was able to accomplish no more than to smother resistance in a rib-crushing embrace; no sooner did he relax it than all attempts to shift his hold were anticipated and met half way, forcing him back upon the defensive.	For a moment Lanyard was able to accomplish no more than to smother resistance in a rib crushing embrace; no sooner did he relax it than all attempts to shift his hold were anticipated and met half way, forcing him back upon the defensive.
7383_95441_000024_000000	Yet he was given little chance to prove himself the master.	Yet he was given little chance to prove himself the master.
7383_95441_000024_000001	The first phase of the struggle was still in contest when the rear door of the smoking room opened and a man stepped out, paused, summed up the situation in a glance, seized Lanyard from behind.	The first phase of the struggle was still in contest when the rear door of the smoking room opened and a man stepped out, paused, summed up the situation in a glance, seized Lanyard from behind.
7383_95441_000026_000001	Something in the brain of the adventurer seemed to let go; his head dropped weakly to one side.	Something in the brain of the adventurer seemed to let go; his head dropped weakly to one side.
7383_95441_000026_000002	The man who had struck him said quietly, "Loose the fool, Ed," and followed as Lanyard reeled away, striking him repeatedly.	The man who had struck him said quietly, "Loose the fool, Ed," and followed as Lanyard reeled away, striking him repeatedly.
7383_95441_000027_000001	He felt unutterably weary, and was weakened by a sensation of nausea.	He felt unutterably weary, and was weakened by a sensation of nausea.
7383_95441_000027_000002	Beneath him his knees buckled.	Beneath him his knees buckled.
7383_95441_000027_000003	There fell one final blow, ruthless as the wrath of God.	There fell one final blow, ruthless as the wrath of God.
7383_95441_000028_000000	He was falling backward into nothingness, into an everlasting gulf of night that yawned for him....	He was falling backward into nothingness, into an everlasting gulf of night that yawned for him....
7383_95441_000029_000000	As he shot under the guard rope and into space between the edge of the deck and the keel of the lifeboat, the spy rounded smartly on a heel and darted to the smoking-room door.	As he shot under the guard rope and into space between the edge of the deck and the keel of the lifeboat, the spy rounded smartly on a heel and darted to the smoking room door.
7383_95441_000029_000001	His confederate was in the act of stepping across the raised threshold.	His confederate was in the act of stepping across the raised threshold.
7383_95441_000029_000002	He followed, closed the door.	He followed, closed the door.
