7383_95441_000000_000000	The hypodermic outfit was there, but minus the phial.	The hypodermic outfit was there, but minus the phial.	false	1.98	7.515	19.880924
7383_95441_000001_000000	In the alleyway rose a confusion of running feet and shouting tongues. A heavy banging rang on the door to Stateroom 29.	In the alleyway rose a confusion of running feet and shouting tongues. A heavy banging rang on the door to Stateroom twenty nine.	false	7.515	18.18	20.65106
7383_95441_000001_000001	Crane's nasal accents called upon Lanyard to open.	Crane's nasal accents called upon Lanyard to open.	false	18.18	24.165	20.999811
7383_95441_000002_000000	VIII	eight	true	24.165	24.67	24.924398
7383_95441_000003_000000	OFF NANTUCKET	OFF NANTUCKET	true	25.13	26.5	22.81974
7383_95441_000004_000000	Upon the authors of that commotion Lanyard wasted no consideration whatever.	Upon the authors of that commotion Lanyard wasted no consideration whatever.	true	27.47	32.92	21.730558
7383_95441_000004_000001	Let them knock and clamour; he had more urgent work in hand, and knew too well the penalty were he stupid enough to unbolt to them.	Let them knock and clamour; he had more urgent work in hand, and knew too well the penalty were he stupid enough to unbolt to them.	true	33.05	41.53	21
7383_95441_000004_000002	Their bodies would dam the doorway hopelessly; insistent hands would hinder him; innumerable importunate enquiries would be dinned at him, all immaterial in contrast with this emergency, a catechism one would need an hour to satisfy.	Their bodies would dam the doorway hopelessly; insistent hands would hinder him; innumerable importunate enquiries would be dinned at him, all immaterial in contrast with this emergency, a catechism one would need an hour to satisfy.	true	41.84	56.77	18
7383_95441_000004_000003	And all attempts would be futile to make them understand that, while they plagued him with futile questions, a murderer and spy and thief was making good his escape, being afforded ample opportunity to slough all traces of his recent work and resume unchallenged his place among them.	And all attempts would be futile to make them understand that, while they plagued him with futile questions, a murderer and spy and thief was making good his escape, being afforded ample opportunity to slough all traces of his recent work and resume unchallenged his place among them.	true	56.99	73.99	21
7383_95441_000005_000000	No; if by any freak of good fortune, any exertion of wit or daring, that one were to be apprehended, it must be within the next few minutes, it could only be through immediate pursuit.	No; if by any freak of good fortune, any exertion of wit or daring, that one were to be apprehended, it must be within the next few minutes, it could only be through immediate pursuit.	true	74.03	86.32	21.904278
7383_95441_000006_000000	Nor did the adventurer waste time debating the better course.	Nor did the adventurer waste time debating the better course.	true	86.51	90.34	18
7383_95441_000006_000001	With him, whose ways of life were ceaselessly beset by instant and mortal perils, each with its especial and imperative demand upon his readiness and ingenuity, action must ever press so hard upon the heels of thought as to make the two seem one.	With him, whose ways of life were ceaselessly beset by instant and mortal perils, each with its especial and imperative demand upon his readiness and ingenuity, action must ever press so hard upon the heels of thought as to make the two seem one.	true	90.59	106.75	22.586285
7383_95441_000007_000000	For that matter, the whole transaction had been characterised by almost unbelievable rapidity.	For that matter, the whole transaction had been characterised by almost unbelievable rapidity.	true	107.27	113.23	23
7383_95441_000007_000001	And that square opening of the window-port was hardly vacant when Lanyard sprang to his feet; the fugitive had barely time to find his own upon the outer deck before Lanyard leaped after him; the first thumps upon the panels of his door were still echoing when he thrust head and shoulders out of the port and began to pump the automatic at a shadow fleeing aft upon that narrow breadth of planking between rail and wall.	And that square opening of the window port was hardly vacant when Lanyard sprang to his feet; the fugitive had barely time to find his own upon the outer deck before Lanyard leaped after him; the first thumps upon the panels of his door were still echoing when he thrust head and shoulders out of the port and began to pump the automatic at a shadow fleeing aft upon that narrow breadth of planking between rail and wall.	false	113.51	137.5	22
7383_95441_000008_000000	Then, at the third shot, the automatic jammed upon a discharged shell.	Then, at the third shot, the automatic jammed upon a discharged shell.	true	137.6	142.93	25.041689
7383_95441_000009_000000	Exasperated, the adventurer cast the weapon from him, shrugged hastily out of his unfastened coat and waistcoat, hitched tight his belt, and clambered through the port.	Exasperated, the adventurer cast the weapon from him, shrugged hastily out of his unfastened coat and waistcoat, hitched tight his belt, and clambered through the port.	true	143.42	153.58	22.74182
7383_95441_000010_000000	Dropping to the deck, he turned in time to see the fugitive dart round the shoulder of the superstructure.	Dropping to the deck, he turned in time to see the fugitive dart round the shoulder of the superstructure.	true	153.86	159.46	20.351217
7383_95441_000011_000000	As Lanyard gained the after rail of the promenade deck a man standing on the boat-deck at the head of the companion-ladder greeted him with pistol fire.	As Lanyard gained the after rail of the promenade deck a man standing on the boat deck at the head of the companion ladder greeted him with pistol fire.	true	160.1	169	21.73598
7383_95441_000011_000001	He dodged back, untouched, and instantaneously devised a stratagem to cope with this untoward development.	He dodged back, untouched, and instantaneously devised a stratagem to cope with this untoward development.	true	169.13	176.68	22.646038
7383_95441_000012_000000	Overhead, at the side, a lifeboat hung on its davits, ready for emergency launching, the gap in the rail which it filled when normally swung inboard spanned only by a length of line.	Overhead, at the side, a lifeboat hung on its davits, ready for emergency launching, the gap in the rail which it filled when normally swung inboard spanned only by a length of line.	false	177.86	189.37	21.162825
7383_95441_000012_000001	And the darkness in the shadow of the boat was dense, an excellent screen.	And the darkness in the shadow of the boat was dense, an excellent screen.	true	189.62	194.17	22.193462
7383_95441_000013_000000	Climbing upon the rail, Lanyard grasped the edge of the deck overhead and drew himself up undetected by his quarry, whom he espied still holding the head of the companion ladder, hidden from the bridge by the after deck-house, standing ready to shoot Lanyard should he attempt to renew the pursuit by that approach.	Climbing upon the rail, Lanyard grasped the edge of the deck overhead and drew himself up undetected by his quarry, whom he espied still holding the head of the companion ladder, hidden from the bridge by the after deck house, standing ready to shoot Lanyard should he attempt to renew the pursuit by that approach.	false	194.63	213.43	21.973764
7383_95441_000014_000000	At the same time, "Karl" seemed mysteriously occupied with some object or objects in whose manipulation he was hampered to a degree by the necessity under which he laboured of holding his pistol ready and dividing his attention.	At the same time, "Karl" seemed mysteriously occupied with some object or objects in whose manipulation he was hampered to a degree by the necessity under which he laboured of holding his pistol ready and dividing his attention.	true	213.8	227.98	20
7383_95441_000015_000000	A man of good stature, broad at the shoulders, slender at the hips, he poised himself with athletic grace--the lower part of his face masked by what Lanyard took to be a dark silk handkerchief.	A man of good stature, broad at the shoulders, slender at the hips, he poised himself with athletic grace-the lower part of his face masked by what Lanyard took to be a dark silk handkerchief.	true	228.47	240.49	22.579586
7383_95441_000016_000000	Lanyard heard him swearing in German.	Lanyard heard him swearing in German.	true	240.86	243.07	17.213017
7383_95441_000017_000000	Then a brisk little spray of sparks jetted from the flint and steel of a patent cigar-lighter in the hands of the spy.	Then a brisk little spray of sparks jetted from the flint and steel of a patent cigar lighter in the hands of the spy.	true	243.83	251.05	22
