274_121392_000001_000000	22.	twenty two.
274_121392_000003_000001	In the first place he himself furbished a sword, which he drew from its perfumed leather sheath; he examined it to see if its hilt was well guarded and if the blade was firmly attached to the hilt.	In the first place he himself furbished a sword, which he drew from its perfumed leather sheath; he examined it to see if its hilt was well guarded and if the blade was firmly attached to the hilt.
274_121392_000004_000000	At length, after occupying about an hour in these preparations, he opened the door of the room in which the vicomte slept, and entered.	At length, after occupying about an hour in these preparations, he opened the door of the room in which the vicomte slept, and entered.
274_121392_000005_000000	The sun, already high, penetrated into the room through the window, the curtains of which Raoul had neglected to close on the previous evening. He was still sleeping, his head gracefully reposing on his arm.	The sun, already high, penetrated into the room through the window, the curtains of which Raoul had neglected to close on the previous evening. He was still sleeping, his head gracefully reposing on his arm.
274_121392_000006_000003	Between the past and the present was an ineffable abyss.	Between the past and the present was an ineffable abyss.
274_121392_000007_000000	In recalling all he had been through, he foresaw all that Raoul might suffer; and the expression of the deep and tender compassion which throbbed in his heart was pictured in the moist eye with which he gazed on the young man.	In recalling all he had been through, he foresaw all that Raoul might suffer; and the expression of the deep and tender compassion which throbbed in his heart was pictured in the moist eye with which he gazed on the young man.
274_121392_000008_000000	At this moment Raoul awoke, without a cloud on his face without weariness or lassitude; his eyes were fixed on those of Athos and perhaps he comprehended all that passed in the heart of the man who was awaiting his awakening as a lover awaits the awakening of his mistress, for his glance, in return, had all the tenderness of love.	At this moment Raoul awoke, without a cloud on his face without weariness or lassitude; his eyes were fixed on those of Athos and perhaps he comprehended all that passed in the heart of the man who was awaiting his awakening as a lover awaits the awakening of his mistress, for his glance, in return, had all the tenderness of love.
274_121392_000009_000000	"You are there, sir?" he said, respectfully.	"You are there, sir?" he said, respectfully.
274_121392_000011_000000	"And you did not awaken me?"	"And you did not awaken me?"
274_121392_000016_000000	"Perfectly well; quite rested, sir."	"Perfectly well; quite rested, sir."
274_121392_000021_000000	"And I was asleep," cried Raoul, "whilst you, sir, you had the kindness to attend to all these details.	"And I was asleep," cried Raoul, "whilst you, sir, you had the kindness to attend to all these details.
274_121392_000027_000000	"Monsieur le vicomte has no sword."	"Monsieur le vicomte has no sword."
274_121392_000028_000000	"'Tis well," said Athos, "I will take care of that."	"'tis well," said Athos, "I will take care of that."
274_121392_000029_000001	When they reached the steps Raoul saw three horses.	When they reached the steps Raoul saw three horses.
274_121392_000033_000000	Athos mounted more slowly, after speaking in a low voice to the lackey, who, instead of following them immediately, returned to their rooms. Raoul, delighted at the count's companionship, perceived, or affected to perceive nothing of this byplay.	Athos mounted more slowly, after speaking in a low voice to the lackey, who, instead of following them immediately, returned to their rooms. Raoul, delighted at the count's companionship, perceived, or affected to perceive nothing of this byplay.
274_121392_000034_000000	They set out, passing over the Pont Neuf; they pursued their way along the quay then called L'Abreuvoir Pepin, and went along by the walls of the Grand Chatelet.	They set out, passing over the Pont Neuf; they pursued their way along the quay then called L'Abreuvoir Pepin, and went along by the walls of the Grand Chatelet.
274_121392_000035_000000	After passing through the Porte Saint Denis, Athos looked at Raoul's way of riding and observed:	After passing through the Porte Saint Denis, Athos looked at Raoul's way of riding and observed:
274_121392_000036_000000	"Take care, Raoul!	"Take care, Raoul!
274_121392_000036_000002	See! your horse is tired already, he froths at the mouth, whilst mine looks as if he had only just left the stable.	See! your horse is tired already, he froths at the mouth, whilst mine looks as if he had only just left the stable.
274_121392_000036_000003	You hold the bit too tight and so make his mouth hard, so that you will not be able to make him manoeuvre quickly.	You hold the bit too tight and so make his mouth hard, so that you will not be able to make him manoeuvre quickly.
274_121392_000039_000000	The young man stored in his mind the admonition whilst he admired the delicate tenderness with which it was bestowed.	The young man stored in his mind the admonition whilst he admired the delicate tenderness with which it was bestowed.
274_121392_000040_000000	"I have remarked also another thing," said Athos, "which is, that in firing off your pistol you hold your arm too far outstretched.	"I have remarked also another thing," said Athos, "which is, that in firing off your pistol you hold your arm too far outstretched.
274_121392_000040_000002	So in twelve times you thrice missed the mark."	So in twelve times you thrice missed the mark."
274_121392_000042_000000	"Because I bent my arm and rested my hand on my elbow--so; do you understand what I mean?"	"Because I bent my arm and rested my hand on my elbow-so; do you understand what I mean?"
274_121392_000043_000000	"Yes, sir.	"Yes, sir.
274_121392_000043_000001	I have fired since in that manner and have been quite successful."	I have fired since in that manner and have been quite successful."
274_121392_000044_000001	Apropos, if you fire--and you will do so, for you are recommended to a young general who is very fond of powder--remember that in single combat, which often takes place in the cavalry, never to fire the first shot.	Apropos, if you fire-and you will do so, for you are recommended to a young general who is very fond of powder-remember that in single combat, which often takes place in the cavalry, never to fire the first shot.
274_121392_000044_000002	He who fires the first shot rarely hits his man, for he fires with the apprehension of being disarmed, before an armed foe; then, whilst he fires, make your horse rear; that manoeuvre has saved my life several times."	He who fires the first shot rarely hits his man, for he fires with the apprehension of being disarmed, before an armed foe; then, whilst he fires, make your horse rear; that manoeuvre has saved my life several times."
274_121392_000046_000001	They are.	They are.
274_121392_000046_000002	Then another important thing, Raoul: should you be wounded in a battle, and fall from your horse, if you have any strength left, disentangle yourself from the line that your regiment has formed; otherwise, it may be driven back and you will be trampled to death by the horses.	Then another important thing, Raoul: should you be wounded in a battle, and fall from your horse, if you have any strength left, disentangle yourself from the line that your regiment has formed; otherwise, it may be driven back and you will be trampled to death by the horses.
274_121392_000048_000000	They arrived that very moment at the gate of the town, guarded by two sentinels.	They arrived that very moment at the gate of the town, guarded by two sentinels.
274_121392_000050_000000	"How do you make that out?" inquired Athos.	"How do you make that out?" inquired Athos.
