7245_104886_000000_000000	Etext scanned by Jim Tinsley <jtinsley@pobox.com>	Etext scanned by Jim Tinsley <j tinsley at pobox dot com>	false	2.61	14.16	19.557133
7245_104886_000001_000000	POEMS	POEMS	false	14.16	15.15	23.76371
7245_104886_000002_000000	by EMILY DICKINSON	by EMILY DICKINSON	false	15.15	18.36	18.287031
7245_104886_000003_000000	Series Two	Series Two	true	18.36	19.47	19
7245_104886_000004_000000	Edited by two of her friends	Edited by two of her friends	false	19.47	20.55	26.230982
7245_104886_000005_000000	MABEL LOOMIS TODD and T.W.HIGGINSON	MABEL LOOMIS TODD and t w HIGGINSON	false	20.55	21.81	15.321549
7245_104886_000006_000000	PREFACE	PREFACE	true	21.81	22.57	19.310173
7245_104886_000007_000000	The eagerness with which the first volume of Emily Dickinson's poems has been read shows very clearly that all our alleged modern artificiality does not prevent a prompt appreciation of the qualities of directness and simplicity in approaching the greatest themes,--life and love and death.	The eagerness with which the first volume of Emily Dickinson's poems has been read shows very clearly that all our alleged modern artificiality does not prevent a prompt appreciation of the qualities of directness and simplicity in approaching the greatest themes,--life and love and death.	true	23.36	39.91	22.21123
7245_104886_000007_000001	That "irresistible needle-touch," as one of her best critics has called it, piercing at once the very core of a thought, has found a response as wide and sympathetic as it has been unexpected even to those who knew best her compelling power.	That "irresistible needle touch," as one of her best critics has called it, piercing at once the very core of a thought, has found a response as wide and sympathetic as it has been unexpected even to those who knew best her compelling power.	true	40.19	53.2	24.06669
7245_104886_000007_000002	This second volume, while open to the same criticism as to form with its predecessor, shows also the same shining beauties.	This second volume, while open to the same criticism as to form with its predecessor, shows also the same shining beauties.	true	53.63	60.64	18.298569
7245_104886_000008_000000	Although Emily Dickinson had been in the habit of sending occasional poems to friends and correspondents, the full extent of her writing was by no means imagined by them.	Although Emily Dickinson had been in the habit of sending occasional poems to friends and correspondents, the full extent of her writing was by no means imagined by them.	true	61.73	70.24	20
7245_104886_000008_000001	Her friend "H.H." must at least have suspected it, for in a letter dated 5th September, 1884, she wrote:--	Her friend "h h" must at least have suspected it, for in a letter dated the fifth of september eighteen eighty four, she wrote:--	false	70.55	77.23	23.048769
7245_104886_000009_000000	MY DEAR FRIEND,-- What portfolios full of verses you must have!	MY DEAR FRIEND,-- What portfolios full of verses you must have!	false	77.51	81.67	20.074947
7245_104886_000009_000001	It is a cruel wrong to your "day and generation" that you will not give them light.	It is a cruel wrong to your "day and generation" that you will not give them light.	true	81.95	85.9	19
7245_104886_000010_000000	If such a thing should happen as that I should outlive you, I wish you would make me your literary legatee and executor.	If such a thing should happen as that I should outlive you, I wish you would make me your literary legatee and executor.	true	86.33	92.62	21.380095
7245_104886_000010_000001	Surely after you are what is called "dead" you will be willing that the poor ghosts you have left behind should be cheered and pleased by your verses, will you not?	Surely after you are what is called "dead" you will be willing that the poor ghosts you have left behind should be cheered and pleased by your verses, will you not?	true	92.99	100.69	22
7245_104886_000010_000002	You ought to be.	You ought to be.	true	101.12	102.16	23.262753
7245_104886_000010_000003	I do not think we have a right to withhold from the world a word or a thought any more than a deed which might help a single soul. . . .	I do not think we have a right to withhold from the world a word or a thought any more than a deed which might help a single soul. . . .	false	102.41	109.24	24.049671
7245_104886_000011_000000	Truly yours,	Truly yours,	true	109.79	110.88	19.308804
7245_104886_000012_000000	HELEN JACKSON.	HELEN JACKSON.	true	110.88	112.12	24.204155
7245_104886_000013_000000	The "portfolios" were found, shortly after Emily Dickinson's death, by her sister and only surviving housemate.	The "portfolios" were found, shortly after Emily Dickinson's death, by her sister and only surviving housemate.	true	113.57	119.71	21.860334
7245_104886_000013_000001	Most of the poems had been carefully copied on sheets of note-paper, and tied in little fascicules, each of six or eight sheets.	Most of the poems had been carefully copied on sheets of note paper, and tied in little fascicules, each of six or eight sheets.	true	119.99	126.91	18
7245_104886_000013_000002	While many of them bear evidence of having been thrown off at white heat, still more had received thoughtful revision.	While many of them bear evidence of having been thrown off at white heat, still more had received thoughtful revision.	true	127.01	133.36	23.163143
7245_104886_000013_000003	There is the frequent addition of rather perplexing foot-notes, affording large choice of words and phrases.	There is the frequent addition of rather perplexing foot notes, affording large choice of words and phrases.	true	133.37	138.73	20.48268
7245_104886_000013_000004	And in the copies which she sent to friends, sometimes one form, sometimes another, is found to have been used.	And in the copies which she sent to friends, sometimes one form, sometimes another, is found to have been used.	true	139.1	144.79	21.472832
7245_104886_000013_000005	Without important exception, her friends have generously placed at the disposal of the Editors any poems they had received from her; and these have given the obvious advantage of comparison among several renderings of the same verse.	Without important exception, her friends have generously placed at the disposal of the Editors any poems they had received from her; and these have given the obvious advantage of comparison among several renderings of the same verse.	false	145.07	157.12	19.487993
7245_104886_000014_000000	To what further rigorous pruning her verses would have been subjected had she published them herself, we cannot know.	To what further rigorous pruning her verses would have been subjected had she published them herself, we cannot know.	true	157.82	163.21	18
7245_104886_000014_000001	They should be regarded in many cases as merely the first strong and suggestive sketches of an artist, intended to be embodied at some time in the finished picture.	They should be regarded in many cases as merely the first strong and suggestive sketches of an artist, intended to be embodied at some time in the finished picture.	true	163.73	171.79	17
7245_104886_000015_000000	Emily Dickinson appears to have written her first poems in the winter of 1862.	Emily Dickinson appears to have written her first poems in the winter of eighteen sixty two.	true	172.37	176.77	21
7245_104886_000015_000001	In a letter to one of the present Editors the April following, she says, "I made no verse, but one or two, until this winter."	In a letter to one of the present Editors the April following, she says, "I made no verse, but one or two, until this winter."	true	177.29	184.39	19.392164
7245_104886_000016_000000	The handwriting was at first somewhat like the delicate, running Italian hand of our elder gentlewomen; but as she advanced in breadth of thought, it grew bolder and more abrupt, until in her latest years each letter stood distinct and separate from its fellows.	The handwriting was at first somewhat like the delicate, running Italian hand of our elder gentlewomen; but as she advanced in breadth of thought, it grew bolder and more abrupt, until in her latest years each letter stood distinct and separate from its fellows.	true	185.69	199	22
7245_104886_000016_000001	In most of her poems, particularly the later ones, everything by way of punctuation was discarded, except numerous dashes; and all important words began with capitals.	In most of her poems, particularly the later ones, everything by way of punctuation was discarded, except numerous dashes; and all important words began with capitals.	true	199.37	208.6	23
7245_104886_000016_000002	The effect of a page of her more recent manuscript is exceedingly quaint and strong.	The effect of a page of her more recent manuscript is exceedingly quaint and strong.	true	209.21	213.73	20
7245_104886_000016_000003	The fac-simile given in the present volume is from one of the earlier transition periods.	The fac simile given in the present volume is from one of the earlier transition periods.	true	213.98	218.74	19
7245_104886_000016_000004	Although there is nowhere a date, the handwriting makes it possible to arrange the poems with general chronologic accuracy.	Although there is nowhere a date, the handwriting makes it possible to arrange the poems with general chronologic accuracy.	true	218.96	225.04	20
