7294_92934_000002_000000	GRACE DARLING	GRACE DARLING
7294_92934_000003_000000	The coast of Northumberland in England is rocky and severe with lofty flint-ledged cliffs where great waves thunder, hurling the white foam high into the air.	The coast of Northumberland in England is rocky and severe with lofty flint ledged cliffs where great waves thunder, hurling the white foam high into the air.
7294_92934_000003_000001	It is a coast that is feared by vessels and many wrecks have taken place there.	It is a coast that is feared by vessels and many wrecks have taken place there.
7294_92934_000003_000002	As is usual in such a locality it is the home of brave fishermen and daring boatmen who have many thrilling rescues to remember and many stormy encounters with the utmost fury of the sea.	As is usual in such a locality it is the home of brave fishermen and daring boatmen who have many thrilling rescues to remember and many stormy encounters with the utmost fury of the sea.
7294_92934_000003_000003	But of all the tales of daring that are talked of by the fisher folk, the bravest of all was performed by a girl whose name was Grace Darling,--a name that now is known not only in the places where she lived but all over the world.	But of all the tales of daring that are talked of by the fisher folk, the bravest of all was performed by a girl whose name was Grace Darling,--a name that now is known not only in the places where she lived but all over the world.
7294_92934_000004_000000	Grace Horsley Darling was the daughter of a lighthouse keeper named William Darling, who tended a light on one of the Farne Islands as his father had done before him.	Grace Horsley Darling was the daughter of a lighthouse keeper named William Darling, who tended a light on one of the Farne Islands as his father had done before him.
7294_92934_000004_000001	Grace, who was the seventh of nine children, was born in 1815, in Bamborough, and when she was a little girl of eleven years her father was given charge of the new light on Longstone Rock, which was one of a series of dangerous reefs where no vessel ever built could live when a gale was blowing.	Grace, who was the seventh of nine children, was born in eighteen fifteen, in Bamborough, and when she was a little girl of eleven years her father was given charge of the new light on Longstone Rock, which was one of a series of dangerous reefs where no vessel ever built could live when a gale was blowing.
7294_92934_000005_000001	It was a wild spot, even in calm weather, but when a storm blew it became terrible.	It was a wild spot, even in calm weather, but when a storm blew it became terrible.
7294_92934_000006_000000	Grace did not find the life at the lighthouse unpleasant.	Grace did not find the life at the lighthouse unpleasant.
7294_92934_000006_000001	Her father was an intelligent and kind-hearted man who gave an eye to her education himself, and taught her how to read and write.	Her father was an intelligent and kind hearted man who gave an eye to her education himself, and taught her how to read and write.
7294_92934_000007_000000	But the confinement of the life in the lighthouse was not good for the growing girl, and Grace never was strong and robust as would be expected from the daughter of fishermen.	But the confinement of the life in the lighthouse was not good for the growing girl, and Grace never was strong and robust as would be expected from the daughter of fishermen.
7294_92934_000007_000001	Nor was she handsome.	Nor was she handsome.
7294_92934_000007_000002	But she possessed a kindly and winning nature, and, as will be seen, the ability to rise to heights of greatness when necessity called on her to do so.	But she possessed a kindly and winning nature, and, as will be seen, the ability to rise to heights of greatness when necessity called on her to do so.
7294_92934_000008_000000	When Grace was a young woman of twenty-three a terrible storm burst suddenly upon the coast and in the twinkling of an eye the reefs about the lighthouse were a sea of churning foam, while the great waves racing in from the ocean thundered so mightily at its base that it seemed as though they must tear it from its foundations and sweep it away.	When Grace was a young woman of twenty three a terrible storm burst suddenly upon the coast and in the twinkling of an eye the reefs about the lighthouse were a sea of churning foam, while the great waves racing in from the ocean thundered so mightily at its base that it seemed as though they must tear it from its foundations and sweep it away.
