3851_9210_000000_000000	"Oh! he was a shoemaker, was he?" said the head clerk.	"Oh! he was a shoemaker, was he?" said the head clerk.	false	0	3.69	29.279392
3851_9210_000001_000000	"In Prussia," said the German.	"In Prussia," said the German.	false	3.69	5.4	24
3851_9210_000002_000000	"Did he work for the King of Prussia?" inquired a Boeotian of a second clerk.	"Did he work for the King of Prussia?" inquired a Boeotian of a second clerk.	false	5.4	10.95	24.329166
3851_9210_000003_000000	"He must have vamped up his prose," said a third.	"He must have vamped up his prose," said a third.	false	10.95	15.24	23.826923
3851_9210_000004_000000	"That man is colossal!" cried the fourth, pointing to the Teuton.	"That man is colossal!" cried the fourth, pointing to the Teuton.	false	15.24	21.06	27.06767
3851_9210_000005_000000	That gentleman, though a demonologist of the first rank, did not know the amount of devilry to be found in a notary's clerk.	That gentleman, though a demonologist of the first rank, did not know the amount of devilry to be found in a notary's clerk.	false	21.06	27.63	27.379751
3851_9210_000005_000001	He went away without the least idea that they were making game of him, and fully under the impression that the young fellows regarded Boehme as a colossal genius.	He went away without the least idea that they were making game of him, and fully under the impression that the young fellows regarded Boehme as a colossal genius.	false	27.63	33.48	25.08119
3851_9210_000006_000000	"Education is making strides in France," said he to himself.	"Education is making strides in France," said he to himself.	false	33.48	34.56	27.338907
3851_9210_000007_000000	_The Conscript_	underscore The Conscript underscore	false	34.56	35.67	100
3851_9210_000008_000000	[The inner self] ... by a phenomenon of vision or of locomotion has been known at times to abolish Space in its two modes of Time and Distance--the one intellectual, the other physical.	[The inner self] ... by a phenomenon of vision or of locomotion has been known at times to abolish Space in its two modes of Time and Distance-the one intellectual, the other physical.	false	35.67	48.4	24.913296
3851_9210_000009_000000	--HISTORY OF LOUIS LAMBERT.	--HISTORY OF LOUIS LAMBERT.	false	48.68	51.75	21.200163
3851_9210_000010_000000	On a November evening in the year 1793 the principal citizens of Carentan were assembled in Mme. de Dey's drawing-room.	On a November evening in the year seventeen ninety three the principal citizens of Carentan were assembled in Mme. de Dey's drawing room.	false	51.75	60.15	20
3851_9210_000010_000001	Mme. de Dey held this _reception_ every night of the week, but an unwonted interest attached to this evening's gathering, owing to certain circumstances which would have passed altogether unnoticed in a great city, though in a small country town they excited the greatest curiosity.	Mme. de Dey held this underscore reception underscore every night of the week, but an unwonted interest attached to this evening's gathering, owing to certain circumstances which would have passed altogether unnoticed in a great city, though in a small country town they excited the greatest curiosity.	false	60.15	77.47	24.27294
3851_9210_000010_000002	For two days before Mme. de Dey had not been at home to her visitors, and on the previous evening her door had been shut, on the ground of indisposition. Two such events at any ordinary time would have produced in Carentan the same sensation that Paris knows on nights when there is no performance at the theaters--existence is in some sort incomplete; but in those times when the least indiscretion on the part of an aristocrat might be a matter of life and death, this conduct of Mme. de Dey's was likely to bring about the most disastrous consequences for her.	For two days before Mme. de Dey had not been at home to her visitors, and on the previous evening her door had been shut, on the ground of indisposition. Two such events at any ordinary time would have produced in Carentan the same sensation that Paris knows on nights when there is no performance at the theaters-existence is in some sort incomplete; but in those times when the least indiscretion on the part of an aristocrat might be a matter of life and death, this conduct of Mme. de Dey's was likely to bring about the most disastrous consequences for her.	false	77.93	111.73	24.798252
3851_9210_000010_000003	Her position in Carentan ought to be made clear, if the reader is to appreciate the expression of keen curiosity and cunning fanaticism on the countenances of these Norman citizens, and, what is of most importance, the part that the lady played among them.	Her position in Carentan ought to be made clear, if the reader is to appreciate the expression of keen curiosity and cunning fanaticism on the countenances of these Norman citizens, and, what is of most importance, the part that the lady played among them.	true	112.25	128.385	23.68344
