949_138545_000002_000000	THE PROCESS OF COLONIZATION	THE PROCESS OF COLONIZATION
949_138545_000003_000001	It involved the use of capital to pay for their passage, to sustain them on the voyage, and to start them on the way of production.	It involved the use of capital to pay for their passage, to sustain them on the voyage, and to start them on the way of production.
949_138545_000003_000002	Under this stern economic necessity, Puritans, Scotch-Irish, Germans, and all were alike laid.	Under this stern economic necessity, Puritans, Scotch Irish, Germans, and all were alike laid.
949_138545_000004_000001	What proportion of the colonists were able to finance their voyage across the sea is a matter of pure conjecture. Undoubtedly a very considerable number could do so, for we can trace the family fortunes of many early settlers.	What proportion of the colonists were able to finance their voyage across the sea is a matter of pure conjecture. Undoubtedly a very considerable number could do so, for we can trace the family fortunes of many early settlers.
949_138545_000004_000002	Henry Cabot Lodge is authority for the statement that "the settlers of New England were drawn from the country gentlemen, small farmers, and yeomanry of the mother country....	Henry Cabot Lodge is authority for the statement that "the settlers of New England were drawn from the country gentlemen, small farmers, and yeomanry of the mother country....
949_138545_000004_000004	They did not belong to the classes from which emigration is usually supplied, for they all had a stake in the country they left behind." Though it would be interesting to know how accurate this statement is or how applicable to the other colonies, no study has as yet been made to gratify that interest.	They did not belong to the classes from which emigration is usually supplied, for they all had a stake in the country they left behind." Though it would be interesting to know how accurate this statement is or how applicable to the other colonies, no study has as yet been made to gratify that interest.
949_138545_000004_000005	For the present it is an unsolved problem just how many of the colonists were able to bear the cost of their own transfer to the New World.	For the present it is an unsolved problem just how many of the colonists were able to bear the cost of their own transfer to the New World.
949_138545_000005_000001	The great barrier in the way of the poor who wanted to go to America was the cost of the sea voyage.	The great barrier in the way of the poor who wanted to go to America was the cost of the sea voyage.
949_138545_000005_000002	To overcome this difficulty a plan was worked out whereby shipowners and other persons of means furnished the passage money to immigrants in return for their promise, or bond, to work for a term of years to repay the sum advanced.	To overcome this difficulty a plan was worked out whereby shipowners and other persons of means furnished the passage money to immigrants in return for their promise, or bond, to work for a term of years to repay the sum advanced.
949_138545_000005_000003	This system was called indentured servitude.	This system was called indentured servitude.
949_138545_000006_000000	It is probable that the number of bond servants exceeded the original twenty thousand Puritans, the yeomen, the Virginia gentlemen, and the Huguenots combined.	It is probable that the number of bond servants exceeded the original twenty thousand Puritans, the yeomen, the Virginia gentlemen, and the Huguenots combined.
949_138545_000006_000001	All the way down the coast from Massachusetts to Georgia were to be found in the fields, kitchens, and workshops, men, women, and children serving out terms of bondage generally ranging from five to seven years.	All the way down the coast from Massachusetts to Georgia were to be found in the fields, kitchens, and workshops, men, women, and children serving out terms of bondage generally ranging from five to seven years.
949_138545_000006_000002	In the proprietary colonies the proportion of bond servants was very high.	In the proprietary colonies the proportion of bond servants was very high.
949_138545_000006_000004	Hence the gates of the proprietary colonies were flung wide open. Every inducement was offered to immigrants in the form of cheap land, and special efforts were made to increase the population by importing servants.	Hence the gates of the proprietary colonies were flung wide open. Every inducement was offered to immigrants in the form of cheap land, and special efforts were made to increase the population by importing servants.
949_138545_000006_000005	In Pennsylvania, it was not uncommon to find a master with fifty bond servants on his estate.	In Pennsylvania, it was not uncommon to find a master with fifty bond servants on his estate.
