2093_143264_000000_000000	"We must release your father!" he said sternly.	"We must release your father!" he said sternly.	false	2.61	7.5	19.357908
2093_143264_000000_000001	"There, that will do."	"There, that will do."	false	7.5	22.125	19.244658
2093_143264_000001_000000	CHAPTER THIRTY TWO.	CHAPTER THIRTY TWO.	true	22.125	23.65	20.80931
2093_143264_000002_000000	HOW WE HEARD A BLACK DISCUSSION AND DID NOT UNDERSTAND.	HOW WE HEARD A BLACK DISCUSSION AND DID NOT UNDERSTAND.	true	23.99	28.33	15
2093_143264_000003_000000	The rescue party consisted of the doctor, Ti-hi, and myself, with Jimmy for guide.	The rescue party consisted of the doctor, Ti hi, and myself, with Jimmy for guide.	true	30.23	37.27	19.918953
2093_143264_000003_000001	Jack Penny was to take command of the cave, and be ready to defend it and help us if attacked or we were pursued.	Jack Penny was to take command of the cave, and be ready to defend it and help us if attacked or we were pursued.	false	37.76	46.3	18
2093_143264_000003_000002	At the same time he was to have the bearers and everything in readiness for an immediate start, in case we decided to continue our flight.	At the same time he was to have the bearers and everything in readiness for an immediate start, in case we decided to continue our flight.	true	46.67	56.74	17
2093_143264_000004_000000	"I think that's all we can say, Penny," said the doctor in a low grave voice, as we stood ready to start.	"I think that's all we can say, Penny," said the doctor in a low grave voice, as we stood ready to start.	true	57.71	65.05	17
2093_143264_000004_000001	"Everything must depend on the prisoners.	"Everything must depend on the prisoners.	true	65.48	67.93	16
2093_143264_000004_000002	Now be firm and watchful.	Now be firm and watchful.	true	68.15	70.39	16
2093_143264_000004_000003	Good-bye."	Good bye."	true	70.64	71.53	21.300257
2093_143264_000005_000000	"I sha'n't go to sleep," said Jack Penny.	"I sha'n't go to sleep," said Jack Penny.	false	72.47	75.04	17
2093_143264_000005_000001	"I say, though, hadn't you better take Gyp?"	"I say, though, hadn't you better take Gyp?"	true	75.29	78.13	20.48785
2093_143264_000006_000000	"Yes, yes; take Gyp!" I said; "he knows the way so well."	"Yes, yes; take Gyp!" I said; "he knows the way so well."	true	78.38	82.45	18
2093_143264_000007_000000	"Jimmy know a way so well, too!" said the black.	"Jimmy know a way so well, too!" said the black.	false	83.48	86.58	20
2093_143264_000007_000001	"No take a dog--Gyp!"	"No take a dog-Gyp!"	true	86.58	88.39	19.847004
2093_143264_000008_000000	But we decided to take the dog, and creeping down into the bed of the rivulet we stood in the darkness listening, shut-in, as it were, by the deep silence.	But we decided to take the dog, and creeping down into the bed of the rivulet we stood in the darkness listening, shut in, as it were, by the deep silence.	true	89	99.04	16
2093_143264_000009_000000	"Forward, Jimmy!" said the doctor, and his voice sounded hollow and strange.	"Forward, Jimmy!" said the doctor, and his voice sounded hollow and strange.	true	100.04	105.25	18.111048
2093_143264_000010_000000	Gyp uttered a whine--that dog had been so well trained that he rarely barked--ran quickly up the further bank of the rivulet; Jimmy trotted after him, waddy in hand; the doctor went next, I followed, and Ti-hi brought up the rear.	Gyp uttered a whine-that dog had been so well trained that he rarely barked-ran quickly up the further bank of the rivulet; Jimmy trotted after him, waddy in hand; the doctor went next, I followed, and Ti hi brought up the rear.	false	105.59	123.01	19
2093_143264_000011_000000	One minute the stars were shining brightly over us, the next we were under the great forest trees, and the darkness was intense.	One minute the stars were shining brightly over us, the next we were under the great forest trees, and the darkness was intense.	true	123.89	131.77	14
2093_143264_000012_000000	"Keep close to me, my lad," the doctor whispered; and I followed him by the ear more than by the eye; but somehow the task grew easier as we went on, and I did not once come in contact with a tree.	"Keep close to me, my lad," the doctor whispered; and I followed him by the ear more than by the eye; but somehow the task grew easier as we went on, and I did not once come in contact with a tree.	true	132.08	145.03	16
2093_143264_000013_000000	By the way Gyp took us I don't suppose it was more than six miles to the savages' village; and though we naturally went rather slowly, the excitement I felt was so great that it seemed a very little while before Jimmy stopped short to listen.	By the way Gyp took us I don't suppose it was more than six miles to the savages' village; and though we naturally went rather slowly, the excitement I felt was so great that it seemed a very little while before Jimmy stopped short to listen.	true	145.16	161.55	16
2093_143264_000014_000000	"Hear um talkum talkum," he whispered.	"Hear um talkum talkum," he whispered.	false	161.55	164.83	15.951643
2093_143264_000015_000000	We could neither of us hear a sound, but I had great faith in Jimmy's hearing, for in old times he had given me some remarkable instances of the acuteness of this sense.	We could neither of us hear a sound, but I had great faith in Jimmy's hearing, for in old times he had given me some remarkable instances of the acuteness of this sense.	true	165.62	177.19	14
2093_143264_000016_000000	"Jimmy go first see!" he whispered; and the next minute we knew that we were alone with Ti-hi, Jimmy and the dog having gone on to scout.	"Jimmy go first see!" he whispered; and the next minute we knew that we were alone with Ti hi, Jimmy and the dog having gone on to scout.	true	177.98	187.42	15
