1849_144965_000000_000000	Think of the fate of any wild animal that unkind Fate places at the mercy of such a man!	Think of the fate of any wild animal that unkind Fate places at the mercy of such a man!	false	1.26	19.83	17.620409
1849_144965_000001_000000	CHAPTER VIII	CHAPTER eight	false	19.83	21.15	18.775028
1849_144965_000002_000000	UNSEEN FOES OF WILD LIFE	UNSEEN FOES OF WILD LIFE	true	21.15	23.38	17
1849_144965_000003_000000	Quite unintentionally on his part, Man, the arch destroyer and the most predatory and merciless of all animal species except the wolves, has rendered a great service to all the birds that live or nest upon the ground.	Quite unintentionally on his part, Man, the arch destroyer and the most predatory and merciless of all animal species except the wolves, has rendered a great service to all the birds that live or nest upon the ground.	false	24.41	38.14	15
1849_144965_000003_000001	His relentless pursuit and destruction of the savage-tempered, strong-jawed fur-bearing animals is in part the salvation of the ground birds of to-day and yesterday.	His relentless pursuit and destruction of the savage tempered, strong jawed fur bearing animals is in part the salvation of the ground birds of to day and yesterday.	false	38.54	48.82	15
1849_144965_000003_000002	If the teeth and claws had been permitted to multiply unchecked down to the present time, with man's warfare on the upland game proceeding as it has done, scores upon scores of species long ere this would have been exterminated.	If the teeth and claws had been permitted to multiply unchecked down to the present time, with man's warfare on the upland game proceeding as it has done, scores upon scores of species long ere this would have been exterminated.	true	49.85	65.62	16
1849_144965_000004_000000	But the slaughter of the millions of North American foxes, wolves, weasels, skunks, and mink has so overwhelmingly reduced the four-footed enemies of the birds that the balance of wild Nature has been preserved. As a rule, the few predatory wild animals that remain are not slaughtering the birds to a serious extent; and for this we may well be thankful.	But the slaughter of the millions of North American foxes, wolves, weasels, skunks, and mink has so overwhelmingly reduced the four footed enemies of the birds that the balance of wild Nature has been preserved. As a rule, the few predatory wild animals that remain are not slaughtering the birds to a serious extent; and for this we may well be thankful.	false	66.11	88.72	17
1849_144965_000005_000000	THE DOMESTIC CAT.--In such thickly settled communities as our northern states, from the Atlantic coast to the sandhills of Kansas and Nebraska, the domestic cat is probably the greatest four-footed scourge of bird life.	THE DOMESTIC CAT.--In such thickly settled communities as our northern states, from the Atlantic coast to the sandhills of Kansas and Nebraska, the domestic cat is probably the greatest four footed scourge of bird life.	true	90.26	104.53	18
1849_144965_000005_000001	Thousands of persons who never have seen a hunting cat in action will doubt this statement, but the proof of its truthfulness is only too painfully abundant.	Thousands of persons who never have seen a hunting cat in action will doubt this statement, but the proof of its truthfulness is only too painfully abundant.	false	104.78	114.25	17
1849_144965_000006_000000	Unhappily it is the way of the hunting cat to stalk unseen, and to kill the very birds that are most friendly with man, and most helpful to him in his farming and fruit-growing business.	Unhappily it is the way of the hunting cat to stalk unseen, and to kill the very birds that are most friendly with man, and most helpful to him in his farming and fruit growing business.	false	114.89	125.68	16
1849_144965_000006_000001	The quail is about the only game bird that the cat affects seriously, and to it the cat is very destructive.	The quail is about the only game bird that the cat affects seriously, and to it the cat is very destructive.	true	126.17	132.79	18.383371
