3977_185457_000004_000000	CHAPTER VI.	CHAPTER six.
3977_185457_000006_000001	Repeated experiments have proved that no brood can be raised in a hive, unless the bees are supplied with it.	Repeated experiments have proved that no brood can be raised in a hive, unless the bees are supplied with it.
3977_185457_000006_000002	It contains none of the elements of wax, but is rich in what chemists call nitrogenous substances, which are not contained in honey, and which furnish ample nourishment for the development of the growing bee.	It contains none of the elements of wax, but is rich in what chemists call nitrogenous substances, which are not contained in honey, and which furnish ample nourishment for the development of the growing bee.
3977_185457_000006_000003	Dr. Hunter dissected some immature bees, and found their stomachs to contain farina, but not a particle of honey.	dr Hunter dissected some immature bees, and found their stomachs to contain farina, but not a particle of honey.
3977_185457_000007_000000	We are indebted to Huber for the discovery of the use made by the bees of pollen.	We are indebted to Huber for the discovery of the use made by the bees of pollen.
3977_185457_000007_000001	That it did not serve as food for the mature bees, was evident from the fact that large supplies are often found in hives whose inmates have starved to death.	That it did not serve as food for the mature bees, was evident from the fact that large supplies are often found in hives whose inmates have starved to death.
3977_185457_000007_000002	It was this fact which led the old observers to conclude that it was gathered for the purpose of building comb.	It was this fact which led the old observers to conclude that it was gathered for the purpose of building comb.
3977_185457_000007_000003	After Huber had demonstrated that wax is secreted from an entirely different substance, he was soon led to conjecture that the bee-bread must be used for the nourishment of the embryo bees.	After Huber had demonstrated that wax is secreted from an entirely different substance, he was soon led to conjecture that the bee bread must be used for the nourishment of the embryo bees.
3977_185457_000007_000004	By rigid experiments he proved the truth of this supposition.	By rigid experiments he proved the truth of this supposition.
3977_185457_000007_000005	Bees were confined to their hive without any pollen, after being supplied with honey, eggs and larvae.	Bees were confined to their hive without any pollen, after being supplied with honey, eggs and larvae.
3977_185457_000007_000006	In a short time the young all perished.	In a short time the young all perished.
3977_185457_000007_000007	A fresh supply of brood was given to them, with an ample allowance of pollen, and the development of the larvae then proceeded in the natural way.	A fresh supply of brood was given to them, with an ample allowance of pollen, and the development of the larvae then proceeded in the natural way.
3977_185457_000009_000000	In the backward spring of 1852, I had an excellent opportunity of testing the value of this substance.	In the backward spring of eighteen fifty two, I had an excellent opportunity of testing the value of this substance.
3977_185457_000009_000001	In one of my hives, was an artificial swarm of the previous year.	In one of my hives, was an artificial swarm of the previous year.
3977_185457_000009_000002	The hive was well protected, being double, and the situation was warm.	The hive was well protected, being double, and the situation was warm.
3977_185457_000009_000003	I opened it on the 5th of February, and although the weather, until within a week of that time, had been unusually cold, I found many of the cells filled with brood.	I opened it on the fifth of February, and although the weather, until within a week of that time, had been unusually cold, I found many of the cells filled with brood.
3977_185457_000011_000001	My experiments do not corroborate this theory, but tend to confirm the views of Huber, and to show the absolute necessity of pollen to the development of brood.	My experiments do not corroborate this theory, but tend to confirm the views of Huber, and to show the absolute necessity of pollen to the development of brood.
3977_185457_000011_000002	The same able contributor to Apiarian science, thinks that pollen is used by the bees when they are engaged in comb-building; and that unless they are well supplied with it, they cannot rapidly secrete wax, without very severely taxing their strength.	The same able contributor to Apiarian science, thinks that pollen is used by the bees when they are engaged in comb building; and that unless they are well supplied with it, they cannot rapidly secrete wax, without very severely taxing their strength.
3977_185457_000011_000003	But as all the elements of wax are found in honey, and none of them in pollen, this opinion does not seem to me, to be entitled to much weight.	But as all the elements of wax are found in honey, and none of them in pollen, this opinion does not seem to me, to be entitled to much weight.
3977_185457_000011_000004	That bees cannot live upon pollen without any honey, is proved by the fact, that large stores of it are often found, in hives whose occupants have died of starvation; that they can live without it, is equally well known; but that the full grown bees make some use of it in connection with honey, for their own nourishment, I believe to be highly probable.	That bees cannot live upon pollen without any honey, is proved by the fact, that large stores of it are often found, in hives whose occupants have died of starvation; that they can live without it, is equally well known; but that the full grown bees make some use of it in connection with honey, for their own nourishment, I believe to be highly probable.
3977_185457_000014_000001	The body of the bee appears, to the naked eye, to be covered with fine hairs; to these, when the bee alights on a flower, the farina adheres.	The body of the bee appears, to the naked eye, to be covered with fine hairs; to these, when the bee alights on a flower, the farina adheres.
