8494_244443_000005_000000	IN VIRGINIA	IN VIRGINIA
8494_244443_000006_000001	Affairs must be moving now in the great world in the east, and he wished to be at the heart of them.	Affairs must be moving now in the great world in the east, and he wished to be at the heart of them.
8494_244443_000008_000000	Jarvis, Ike, and Mrs. Simmons gave him farewells which were full of feeling.	Jarvis, Ike, and mrs Simmons gave him farewells which were full of feeling.
8494_244443_000009_000000	"Good-bye, Aunt Susan," he said.	"Good bye, Aunt Susan," he said.
8494_244443_000009_000001	"I came a stranger, but this house has been made a home to me."	"I came a stranger, but this house has been made a home to me."
8494_244443_000011_000000	"Good-bye, governor," she said, holding out a wrinkled and trembling hand.	"Good bye, governor," she said, holding out a wrinkled and trembling hand.
8494_244443_000011_000002	You will come again, and you will be thin and pale and in rags, and you will fall at the door.	You will come again, and you will be thin and pale and in rags, and you will fall at the door.
8494_244443_000012_000000	"Hush, Aunt Suse," exclaimed Mrs. Simmons.	"Hush, Aunt Suse," exclaimed mrs Simmons.
8494_244443_000012_000001	"It is not Governor Ware, it is his great-grandson, and you mustn't send him away tellin' of terrible things that will happen to him."	"It is not Governor Ware, it is his great grandson, and you mustn't send him away tellin' of terrible things that will happen to him."
8494_244443_000013_000000	"I'm not afraid," said Harry, "and I hope that I'll see Aunt Susan and all of you again."	"I'm not afraid," said Harry, "and I hope that I'll see Aunt Susan and all of you again."
8494_244443_000014_000000	He lifted her hand and kissed it in the old-fashioned manner.	He lifted her hand and kissed it in the old-fashioned manner.
8494_244443_000015_000000	She smiled and he heard her murmur:	She smiled and he heard her murmur:
8494_244443_000016_000001	He kissed my hand like that once before, when I went to Frankfort on the lumber raft."	He kissed my hand like that once before, when I went to Frankfort on the lumber raft."
8494_244443_000017_000000	"Good-bye, Harry," repeated Jarvis.	"Good bye, Harry," repeated Jarvis.
8494_244443_000017_000003	After that it's easy."	After that it's easy."
8494_244443_000018_000000	When Harry rode away something rose in his throat and choked him for a moment.	When Harry rode away something rose in his throat and choked him for a moment.
8494_244443_000018_000002	Then in vivid phrases he heard once more the old woman's prophecy: "You will come again, and you will be thin and pale and in rags, and you will fall at the door." For a moment it shadowed the sunlight.	Then in vivid phrases he heard once more the old woman's prophecy: "You will come again, and you will be thin and pale and in rags, and you will fall at the door." For a moment it shadowed the sunlight.
8494_244443_000018_000004	No one could see into the future.	No one could see into the future.
8494_244443_000019_000000	He was now across the valley and his path led along the base of the mountain.	He was now across the valley and his path led along the base of the mountain.
