8494_244443_000000_000000	"It does beat the Dutch how things come about!"	"It does beat the Dutch how things come about!"	false	0	2.04	23.423376
8494_244443_000001_000000	Harry looked questioningly at him.	Harry looked questioningly at him.	false	2.04	3.15	20.293198
8494_244443_000002_000000	"I mean your arrivin' here, bein' who you are, an' your meetin' old Aunt Suse, bein' who she is, an' that cousin of yours, Dick Mason, didn't you say was his name, bein' who he is, goin' off to the North."	"I mean your arrivin' here, bein' who you are, an' your meetin' old Aunt Suse, bein' who she is, an' that cousin of yours, Dick Mason, didn't you say was his name, bein' who he is, goin' off to the North."	false	3.15	9.39	17.421495
8494_244443_000003_000000	They sat on the porch later than the custom of the mountaineers, and the beauty of the place deepened.	They sat on the porch later than the custom of the mountaineers, and the beauty of the place deepened.	false	9.39	12.24	22
8494_244443_000003_000001	The moon poured a vast flood of misty, silver light over the little valley, hemmed in by its high mountains, and Harry was so affected by the silence and peace that he had no feeling of anger toward anybody, not even toward Bill Skelly, who had tried to kill him.	The moon poured a vast flood of misty, silver light over the little valley, hemmed in by its high mountains, and Harry was so affected by the silence and peace that he had no feeling of anger toward anybody, not even toward Bill Skelly, who had tried to kill him.	false	12.24	24.855	22.489424
8494_244443_000004_000000	CHAPTER XI	CHAPTER eleven	false	24.855	26.49	21.977608
8494_244443_000005_000000	IN VIRGINIA	IN VIRGINIA	true	26.49	27.55	22.130352
8494_244443_000006_000000	Harry left the valley with the keenest feeling of regret, realizing at the parting how strong a friendship he had formed with this family. But he felt that he could not delay any longer.	Harry left the valley with the keenest feeling of regret, realizing at the parting how strong a friendship he had formed with this family. But he felt that he could not delay any longer.	false	28.55	39.07	21.321442
8494_244443_000006_000001	Affairs must be moving now in the great world in the east, and he wished to be at the heart of them.	Affairs must be moving now in the great world in the east, and he wished to be at the heart of them.	true	39.11	44.17	21.059443
8494_244443_000006_000002	He had a strong, sure-footed horse, and he had supplies and an extra suit of clothes in his saddle bags.	He had a strong, sure footed horse, and he had supplies and an extra suit of clothes in his saddle bags.	false	44.51	50.92	23.02759
8494_244443_000006_000003	The rifle across his back would attract no attention, as all the men in the mountains carried rifles.	The rifle across his back would attract no attention, as all the men in the mountains carried rifles.	true	51.17	56.74	17
8494_244443_000007_000000	Jarvis had instructed Harry carefully about the road or path, and as the boy was already an experienced traveler with an excellent sense of direction, there was no danger of his getting lost in the wilderness.	Jarvis had instructed Harry carefully about the road or path, and as the boy was already an experienced traveler with an excellent sense of direction, there was no danger of his getting lost in the wilderness.	true	57.35	69.4	17
8494_244443_000008_000000	Jarvis, Ike, and Mrs. Simmons gave him farewells which were full of feeling.	Jarvis, Ike, and mrs Simmons gave him farewells which were full of feeling.	true	69.71	74.44	21
8494_244443_000008_000001	Aunt Suse had come down the brick walk, tap-tapping with her cane, as Harry stood at the gate ready to mount his horse.	Aunt Suse had come down the brick walk, tap tapping with her cane, as Harry stood at the gate ready to mount his horse.	false	74.78	81.43	22
8494_244443_000009_000000	"Good-bye, Aunt Susan," he said.	"Good bye, Aunt Susan," he said.	true	81.86	84.25	22.954182
8494_244443_000009_000001	"I came a stranger, but this house has been made a home to me."	"I came a stranger, but this house has been made a home to me."	true	84.62	88.18	22.498056
8494_244443_000010_000000	She peered up at him, and Harry saw that once more her old eyes were flaming with the light he had seen there when he arrived.	She peered up at him, and Harry saw that once more her old eyes were flaming with the light he had seen there when he arrived.	true	89	96.28	19
8494_244443_000011_000000	"Good-bye, governor," she said, holding out a wrinkled and trembling hand.	"Good bye, governor," she said, holding out a wrinkled and trembling hand.	true	96.47	101.02	21
