3224_167024_000000_000000	"Well, let's go have a drink," von Schlichten suggested, consulting his watch.	"Well, let's go have a drink," von Schlichten suggested, consulting his watch.	false	0	7.77	21.07228
3224_167024_000000_000001	"About time for a cocktail."	"About time for a cocktail."	false	7.77	19.8	21.467176
3224_167024_000001_000000	IV.	i v.	false	19.8	20.79	19.642942
3224_167024_000002_000000	If You Read It in Stanley-Browne	If You Read It in Stanley Browne	true	20.79	22.96	21.405495
3224_167024_000003_000000	Von Schlichten and Blount entered the bar together--the Broadway Room, decorated in gleaming plastics and chromium in enthusiastic if slightly inaccurate imitation of a First Century New York nightclub. There were no native servants to spoil the illusion, such as it was: the service was fully automatic.	Von Schlichten and Blount entered the bar together-the Broadway Room, decorated in gleaming plastics and chromium in enthusiastic if slightly inaccurate imitation of a First Century New York nightclub. There were no native servants to spoil the illusion, such as it was: the service was fully automatic.	false	23.69	43.24	20.727415
3224_167024_000003_000001	Going to a bartending machine, von Schlichten dialed the cocktail they had decided upon and inserted his key to charge the drinks to his account, filling a four-portion jug.	Going to a bartending machine, von Schlichten dialed the cocktail they had decided upon and inserted his key to charge the drinks to his account, filling a four portion jug.	true	43.37	53.32	20
3224_167024_000004_000000	As they turned away, they almost collided with Hideyoshi O'Leary and Paula Quinton.	As they turned away, they almost collided with Hideyoshi O'Leary and Paula Quinton.	true	53.39	57.97	20.368673
3224_167024_000004_000001	The girl wore a long-sleeved gown to conceal a bandage on her right wrist, and her face was rather heavily powdered in spots; otherwise she looked none the worse for recent experiences.	The girl wore a long sleeved gown to conceal a bandage on her right wrist, and her face was rather heavily powdered in spots; otherwise she looked none the worse for recent experiences.	true	58.16	68.59	18
3224_167024_000005_000000	"Well, you seem to have gotten yourself repaired, Miss Quinton," he greeted her.	"Well, you seem to have gotten yourself repaired, Miss Quinton," he greeted her.	true	68.81	72.31	18.674675
3224_167024_000005_000001	"Feel better, now?...	"Feel better, now?...	true	72.38	73.54	20.021486
3224_167024_000005_000002	Miss Quinton, this is Lieutenant-Governor Blount.	Miss Quinton, this is Lieutenant Governor Blount.	true	73.7	76.23	23.581291
3224_167024_000005_000003	Eric, Miss Paula Quinton."	Eric, Miss Paula Quinton."	true	76.23	78.31	23.38405
3224_167024_000006_000000	"Delighted, Miss Quinton," Blount said.	"Delighted, Miss Quinton," Blount said.	true	78.35	80.44	22.90614
3224_167024_000006_000001	"Carlos tells us he found you standing over poor Mohammed Ferriera, fighting like a commando.	"Carlos tells us he found you standing over poor Mohammed Ferriera, fighting like a commando.	true	80.45	85.78	20.774769
3224_167024_000006_000002	How is Mohammed, by the way?	How is Mohammed, by the way?	true	85.88	87.49	19.012918
3224_167024_000006_000003	No danger, I hope; we all like him."	No danger, I hope; we all like him."	true	87.53	90.07	20.8348
3224_167024_000007_000000	Mohammed Ferriera was still unconscious, the girl reported; he had a minor concussion, but the medics were not greatly disturbed, and expected him to be fully recovered in a few weeks.	Mohammed Ferriera was still unconscious, the girl reported; he had a minor concussion, but the medics were not greatly disturbed, and expected him to be fully recovered in a few weeks.	true	90.32	100.54	21
3224_167024_000007_000001	Von Schlichten invited her and her escort to join him and Blount.	Von Schlichten invited her and her escort to join him and Blount.	true	100.7	104.38	20
3224_167024_000007_000002	Colonel O'Leary was carrying a cocktail jug and a couple of glasses; finding a table out of the worst of the noise, they all sat down together.	Colonel O'Leary was carrying a cocktail jug and a couple of glasses; finding a table out of the worst of the noise, they all sat down together.	false	104.45	112.185	22
3224_167024_000008_000000	"I suppose you think it's a joke, our being nearly murdered by the people we came to help," Paula began, a trifle defensively.	"I suppose you think it's a joke, our being nearly murdered by the people we came to help," Paula began, a trifle defensively.	true	112.185	119.26	21.224258
3224_167024_000009_000000	"Not a very funny joke," von Schlichten told her.	"Not a very funny joke," von Schlichten told her.	true	119.57	122.17	19
3224_167024_000009_000001	"It's been played on us till it's lost its humor."	"It's been played on us till it's lost its humor."	true	122.21	125.23	21.021605
3224_167024_000010_000000	"Yes, geek ingratitude's an old story to all of us," Blount agreed. "You stay on this planet very long and you'll see what I mean."	"Yes, geek ingratitude's an old story to all of us," Blount agreed. "You stay on this planet very long and you'll see what I mean."	false	125.48	132.88	20.573982
3224_167024_000011_000000	"You call them that, too?" she asked, as though disappointed in him. "Maybe if you stopped calling them geeks, they wouldn't resent you the way they do.	"You call them that, too?" she asked, as though disappointed in him. "Maybe if you stopped calling them geeks, they wouldn't resent you the way they do.	false	133.25	141.61	21
