7276_90847_000000_000000	After the wedding reception, the Prince and his bride went on a honeymoon to the Enchanted Islands.	After the wedding reception, the Prince and his bride went on a honeymoon to the Enchanted Islands.	false	0	7.89	21.94751
7276_90847_000000_000001	As for Poldo the poodle, he was created Prime Minister and lived to a fine old age.	As for Poldo the poodle, he was created Prime Minister and lived to a fine old age.	false	7.89	12.81	22.210518
7276_90847_000001_000000	MARIANNA	MARIANNA	false	12.81	13.14	12
7276_90847_000002_000000	[Illustration: Young girl sitting on tree trunk; a small bird is perched on her left hand; a small bottle is fastened to her belt.]	[Illustration: Young girl sitting on tree trunk; a small bird is perched on her left hand; a small bottle is fastened to her belt.]	false	13.14	18.825	27.192844
7276_90847_000003_000000	Once upon a time a wicked nobleman rose in rebellion against his rightful king, and taking the royal forces by surprise, defeated them and seized the kingdom.	Once upon a time a wicked nobleman rose in rebellion against his rightful king, and taking the royal forces by surprise, defeated them and seized the kingdom.	true	18.825	27.81	22.956223
7276_90847_000003_000001	The dethroned King, who had been severely wounded in battle, was cast in prison, where he soon died; but his widow, the Queen, managed to escape from the palace before the usurper could lay hands upon her.	The dethroned King, who had been severely wounded in battle, was cast in prison, where he soon died; but his widow, the Queen, managed to escape from the palace before the usurper could lay hands upon her.	false	27.81	39.94	21.131205
7276_90847_000004_000000	Into the dark forest which lay behind the palace ran the Queen, holding her baby daughter in her arms.	Into the dark forest which lay behind the palace ran the Queen, holding her baby daughter in her arms.	true	40.07	45.73	20.305971
7276_90847_000004_000001	It was winter time, and a heavy snow had hidden the foot-paths and the roads.	It was winter time, and a heavy snow had hidden the foot paths and the roads.	true	45.8	50.41	20.905605
7276_90847_000004_000002	Presently the Queen realized that she was lost.	Presently the Queen realized that she was lost.	false	50.6	53.055	21.393002
7276_90847_000004_000003	All afternoon, however, she trudged bravely on through the silence and the cold, her heart sinking as mile after mile revealed no sign of a house or a shelter.	All afternoon, however, she trudged bravely on through the silence and the cold, her heart sinking as mile after mile revealed no sign of a house or a shelter.	true	53.055	62.92	22.54402
7276_90847_000005_000000	But late in the afternoon, when the red shield of the sun could scarcely be seen through the tangle of the wild wood-branches, she perceived a light coming from a little grove of cedars by the shore of a frozen lake.	But late in the afternoon, when the red shield of the sun could scarcely be seen through the tangle of the wild wood branches, she perceived a light coming from a little grove of cedars by the shore of a frozen lake.	true	63.02	75.1	23.56432
7276_90847_000005_000001	The Queen made her way toward this light, and discovered a little thatched hut in the silent wood; it was the house of one of the dwarfs of the forest.	The Queen made her way toward this light, and discovered a little thatched hut in the silent wood; it was the house of one of the dwarfs of the forest.	true	75.38	84.01	23.265085
7276_90847_000005_000002	The dwarf took pity on the Queen, but his efforts were vain, for the poor woman was so weak and exhausted that she died without telling the dwarf anything about herself or the child she carried.	The dwarf took pity on the Queen, but his efforts were vain, for the poor woman was so weak and exhausted that she died without telling the dwarf anything about herself or the child she carried.	true	84.44	95.38	24.250944
7276_90847_000006_000000	So the little dwarf, who was a good, kind old fellow, brought the little girl up as if she were his own child.	So the little dwarf, who was a good, kind old fellow, brought the little girl up as if she were his own child.	true	95.54	103	22.56633
7276_90847_000006_000001	His brother, the dwarf of the mountain, made her the prettiest red-leather shoes, and his cousins, the dwarfs of the pines, made the little girl dresses from cloth woven on fairy looms.	His brother, the dwarf of the mountain, made her the prettiest red leather shoes, and his cousins, the dwarfs of the pines, made the little girl dresses from cloth woven on fairy looms.	true	103.49	114.465	22.817217
7276_90847_000007_000000	Now, on the night her mother brought her to the hut, the little girl was wearing a golden heart-shaped locket, with a crown and the letter M upon it in diamonds.	Now, on the night her mother brought her to the hut, the little girl was wearing a golden heart shaped locket, with a crown and the letter M upon it in diamonds.	false	114.465	123.705	24
7276_90847_000007_000001	So the dwarf called the little girl Marianna.	So the dwarf called the little girl Marianna.	false	123.705	126.405	21.317053
7276_90847_000008_000000	Seventeen years passed, and Marianna grew to be quite the loveliest lass in all the world.	Seventeen years passed, and Marianna grew to be quite the loveliest lass in all the world.	true	126.405	131.535	16
7276_90847_000008_000001	Her hair was as black as the raven's wing, her eyes were as blue as the midsummer sea, and her skin was fair as the petal of a rose.	Her hair was as black as the raven's wing, her eyes were as blue as the midsummer sea, and her skin was fair as the petal of a rose.	false	131.535	140.175	16
7276_90847_000008_000002	One spring morning a little yellow bird flew into the cedar grove, and gave the dwarf a letter which it held in its beak.	One spring morning a little yellow bird flew into the cedar grove, and gave the dwarf a letter which it held in its beak.	true	140.175	147.105	23.849174
7276_90847_000009_000000	The dwarf read the letter, and said to Marianna, "Little Marianna, the Emperor of the Elves has bidden me come to the great assembly of the dwarfs which is to be held next year on the Golden Mountain.	The dwarf read the letter, and said to Marianna, "Little Marianna, the Emperor of the Elves has bidden me come to the great assembly of the dwarfs which is to be held next year on the Golden Mountain.	false	147.105	158.34	22.808598
7276_90847_000009_000001	Alas, what are we to do?	Alas, what are we to do?	true	158.34	160.53	24.02369
7276_90847_000009_000002	I can not take you with me, dear child, for it is forbidden on pain of death to bring mortals to the assembly, nor can I leave you here in this lonely wood."	I can not take you with me, dear child, for it is forbidden on pain of death to bring mortals to the assembly, nor can I leave you here in this lonely wood."	true	160.53	168.675	18
7276_90847_000010_000000	To this Marianna replied, "Do not fear, dear father.	To this Marianna replied, "Do not fear, dear father.	true	168.675	171.975	22
7276_90847_000010_000001	Give me but yon crystal flask of the water of healing, and I shall go forth into the world until it is time for you to return again.	Give me but yon crystal flask of the water of healing, and I shall go forth into the world until it is time for you to return again.	false	171.975	178.995	19
7276_90847_000010_000002	Perhaps I shall discover somebody who can tell me the meaning of this locket, or the history of my dear mother."	Perhaps I shall discover somebody who can tell me the meaning of this locket, or the history of my dear mother."	true	178.995	184.905	15
7276_90847_000011_000000	So the dwarf took his knotted staff, and went away over hill, over dale to the Golden Mountain.	So the dwarf took his knotted staff, and went away over hill, over dale to the Golden Mountain.	false	184.905	191.77	23.74431
7276_90847_000012_000000	Then Marianna took the crystal flask of the water of healing, and walked boldly out of the wood into the wide, wide world.	Then Marianna took the crystal flask of the water of healing, and walked boldly out of the wood into the wide, wide world.	false	192.41	199.605	18
7276_90847_000012_000001	It was the middle of the spring, the ice and snow had all disappeared; the trees were putting forth their leaves, and there were clusters of primroses by the roadside.	It was the middle of the spring, the ice and snow had all disappeared; the trees were putting forth their leaves, and there were clusters of primroses by the roadside.	false	199.605	208.995	21.709667
7276_90847_000012_000002	In the swaying, rustling heart of a great elm tree, a little thrush was singing.	In the swaying, rustling heart of a great elm tree, a little thrush was singing.	false	208.995	214.125	13
7276_90847_000012_000003	Through cities and towns went lovely Marianna, bringing good cheer to the helpless and the sick, and curing all who came to her, rich and poor, with the wonderful water of healing.	Through cities and towns went lovely Marianna, bringing good cheer to the helpless and the sick, and curing all who came to her, rich and poor, with the wonderful water of healing.	false	214.125	223.815	17
7276_90847_000012_000004	But never did she find anybody who could tell her about the gold heart with the diamond crown.	But never did she find anybody who could tell her about the gold heart with the diamond crown.	true	223.815	228.525	14
