7688_109656_000000_000000	"Me?" said Pearson.	"Me?" said Pearson.	false	0	1.29	19.758915
7688_109656_000000_000001	"I've been painting flowers.	"I've been painting flowers.	false	1.29	3.03	13
7688_109656_000000_000002	Them roses was white when I left Lone Elm.	Them roses was white when I left Lone Elm.	false	3.03	6.96	17.673042
7688_109656_000000_000003	Help me down, Daddy Weaver, for I haven't got any more paint to spare."	Help me down, Daddy Weaver, for I haven't got any more paint to spare."	false	6.96	14.31	21.21258
7688_109656_000001_000000	ROUND THE CIRCLE	ROUND THE CIRCLE	false	14.31	15.69	23.038258
7688_109656_000002_000000	[This story is especially interesting as an early treatment (1902) of the theme afterward developed with a surer hand in The Pendulum.]	[This story is especially interesting as an early treatment (nineteen o two) of the theme afterward developed with a surer hand in The Pendulum.]	false	15.69	27.18	21.521149
7688_109656_000003_000000	"Find yo' shirt all right, Sam?" asked Mrs. Webber, from her chair under the live-oak, where she was comfortably seated with a paper-back volume for company.	"Find yo' shirt all right, Sam?" asked mrs Webber, from her chair under the live oak, where she was comfortably seated with a paper back volume for company.	false	27.18	36.85	21.598087
7688_109656_000004_000000	"It balances perfeckly, Marthy," answered Sam, with a suspicious pleasantness in his tone.	"It balances perfeckly, Marthy," answered Sam, with a suspicious pleasantness in his tone.	true	37.61	43.3	16
7688_109656_000004_000001	"At first I was about ter be a little reckless and kick 'cause ther buttons was all off, but since I diskiver that the button holes is all busted out, why, I wouldn't go so fur as to say the buttons is any loss to speak of."	"At first I was about ter be a little reckless and kick 'cause ther buttons was all off, but since I diskiver that the button holes is all busted out, why, I wouldn't go so fur as to say the buttons is any loss to speak of."	false	44.03	57.25	18
7688_109656_000005_000000	"Oh, well," said his wife, carelessly, "put on your necktie--that'll keep it together."	"Oh, well," said his wife, carelessly, "put on your necktie-that'll keep it together."	true	58.37	64	22.105108
7688_109656_000006_000000	Sam Webber's sheep ranch was situated in the loneliest part of the country between the Nueces and the Frio.	Sam Webber's sheep ranch was situated in the loneliest part of the country between the Nueces and the Frio.	false	65.6	73.03	18
7688_109656_000006_000001	The ranch house--a two-room box structure--was on the rise of a gently swelling hill in the midst of a wilderness of high chaparral.	The ranch house-a two room box structure-was on the rise of a gently swelling hill in the midst of a wilderness of high chaparral.	true	73.58	82.51	20
7688_109656_000006_000002	In front of it was a small clearing where stood the sheep pens, shearing shed, and wool house.	In front of it was a small clearing where stood the sheep pens, shearing shed, and wool house.	true	83.18	89.32	19
7688_109656_000006_000003	Only a few feet back of it began the thorny jungle.	Only a few feet back of it began the thorny jungle.	true	89.9	93.52	20.852324
7688_109656_000007_000000	Sam was going to ride over to the Chapman ranch to see about buying some more improved merino rams.	Sam was going to ride over to the Chapman ranch to see about buying some more improved merino rams.	true	94.73	101.44	19
7688_109656_000007_000001	At length he came out, ready for his ride.	At length he came out, ready for his ride.	true	101.87	104.77	22.176037
7688_109656_000007_000002	This being a business trip of some importance, and the Chapman ranch being almost a small town in population and size, Sam had decided to "dress up" accordingly.	This being a business trip of some importance, and the Chapman ranch being almost a small town in population and size, Sam had decided to "dress up" accordingly.	true	105.14	116.56	22.928408
7688_109656_000007_000003	The result was that he had transformed himself from a graceful, picturesque frontiersman into something much less pleasing to the sight.	The result was that he had transformed himself from a graceful, picturesque frontiersman into something much less pleasing to the sight.	false	117.47	126.28	19
7688_109656_000007_000004	The tight white collar awkwardly constricted his muscular, mahogany-colored neck.	The tight white collar awkwardly constricted his muscular, mahogany colored neck.	true	127.04	132.37	21.497759
7688_109656_000007_000005	The buttonless shirt bulged in stiff waves beneath his unbuttoned vest.	The buttonless shirt bulged in stiff waves beneath his unbuttoned vest.	true	132.65	137.44	19
7688_109656_000007_000006	The suit of "ready-made" effectually concealed the fine lines of his straight, athletic figure.	The suit of "ready made" effectually concealed the fine lines of his straight, athletic figure.	true	137.84	143.59	19.915276
7688_109656_000007_000007	His berry-brown face was set to the melancholy dignity befitting a prisoner of state.	His berry brown face was set to the melancholy dignity befitting a prisoner of state.	true	143.9	149.71	18.97566
7688_109656_000007_000008	He gave Randy, his three-year-old son, a pat on the head, and hurried out to where Mexico, his favorite saddle horse, was standing.	He gave Randy, his three year old son, a pat on the head, and hurried out to where Mexico, his favorite saddle horse, was standing.	true	150.26	158.26	20
7688_109656_000008_000000	Marthy, leisurely rocking in her chair, fixed her place in the book with her finger, and turned her head, smiling mischievously as she noted the havoc Sam had wrought with his appearance in trying to "fix up."	Marthy, leisurely rocking in her chair, fixed her place in the book with her finger, and turned her head, smiling mischievously as she noted the havoc Sam had wrought with his appearance in trying to "fix up."	true	159.08	171.22	17
7688_109656_000009_000000	"Well, ef I must say it, Sam," she drawled, "you look jest like one of them hayseeds in the picture papers, 'stead of a free and independent sheepman of the State o' Texas."	"Well, e f I must say it, Sam," she drawled, "you look jest like one of them hayseeds in the picture papers, 'stead of a free and independent sheepman of the State o' Texas."	false	171.83	183.76	20.641087
7688_109656_000010_000000	Sam climbed awkwardly into the saddle.	Sam climbed awkwardly into the saddle.	true	184.58	187.44	21.04921
7688_109656_000011_000000	"You're the one ought to be 'shamed to say so," he replied hotly. "'Stead of 'tendin' to a man's clothes you're al'ays setting around a-readin' them billy-by-dam yaller-back novils."	"You're the one ought to be 'shamed to say so," he replied hotly. "'Stead of 'tendin' to a man's clothes you're al'ays setting around a readin' them billy by dam yaller back novils."	false	187.44	201.24	18.465466
7688_109656_000012_000000	"Oh, shet up and ride along," said Mrs. Webber, with a little jerk at the handles of her chair; "you always fussin' 'bout my readin'.	"Oh, shet up and ride along," said mrs Webber, with a little jerk at the handles of her chair; "you always fussin' 'bout my readin'.	false	201.24	209.17	20.62367
7688_109656_000012_000001	I do a-plenty; and I'll read when I wanter.	I do a plenty; and I'll read when I wanter.	true	209.39	211.89	18.405193
7688_109656_000012_000002	I live in the bresh here like a varmint, never seein' nor hearin' nothin', and what other 'musement kin I have?	I live in the bresh here like a varmint, never seein' nor hearin' nothin', and what other 'musement kin I have?	true	211.89	218.86	20.997667
7688_109656_000012_000003	Not in listenin' to you talk, for it's complain, complain, one day after another.	Not in listenin' to you talk, for it's complain, complain, one day after another.	true	219.29	224.58	19
7688_109656_000012_000004	Oh, go on, Sam, and leave me in peace."	Oh, go on, Sam, and leave me in peace."	true	224.58	227.65	19.992413
7688_109656_000013_000000	Sam gave his pony a squeeze with his knees and "shoved" down the wagon trail that connected his ranch with the old, open Government road.	Sam gave his pony a squeeze with his knees and "shoved" down the wagon trail that connected his ranch with the old, open Government road.	true	228.44	237.55	19.71446
7688_109656_000013_000001	It was eight o'clock, and already beginning to be very warm.	It was eight o'clock, and already beginning to be very warm.	true	238.1	241.54	17
7688_109656_000013_000002	He should have started three hours earlier.	He should have started three hours earlier.	true	242.54	245.14	20.243263
7688_109656_000013_000003	Chapman ranch was only eighteen miles away, but there was a road for only three miles of the distance. He had ridden over there once with one of the Half-Moon cowpunchers, and he had the direction well-defined in his mind.	Chapman ranch was only eighteen miles away, but there was a road for only three miles of the distance. He had ridden over there once with one of the Half Moon cowpunchers, and he had the direction well defined in his mind.	true	245.24	257.92	17
7688_109656_000014_000000	Sam turned off the old Government road at the split mesquite, and struck down the arroyo of the Quintanilla.	Sam turned off the old Government road at the split mesquite, and struck down the arroyo of the Quintanilla.	false	258.2	264.61	21.272215
7688_109656_000014_000001	Here was a narrow stretch of smiling valley, upholstered with a rich mat of green, curly mesquite grass; and Mexico consumed those few miles quickly with his long, easy lope.	Here was a narrow stretch of smiling valley, upholstered with a rich mat of green, curly mesquite grass; and Mexico consumed those few miles quickly with his long, easy lope.	true	265.37	277.93	19.49697
7688_109656_000014_000002	Again, upon reaching Wild Duck Waterhole, must he abandon well-defined ways.	Again, upon reaching Wild Duck Waterhole, must he abandon well defined ways.	false	278.33	283.42	20
7688_109656_000014_000003	He turned now to his right up a little hill, pebble-covered, upon which grew only the tenacious and thorny prickly pear and chaparral.	He turned now to his right up a little hill, pebble covered, upon which grew only the tenacious and thorny prickly pear and chaparral.	true	283.82	292.15	22.488825
7688_109656_000014_000004	At the summit of this he paused to take his last general view of the landscape for, from now on, he must wind through brakes and thickets of chaparral, pear, and mesquite, for the most part seeing scarcely farther than twenty yards in any direction, choosing his way by the prairie-dweller's instinct, guided only by an occasional glimpse of a far distant hilltop, a peculiarly shaped knot of trees, or the position of the sun.	At the summit of this he paused to take his last general view of the landscape for, from now on, he must wind through brakes and thickets of chaparral, pear, and mesquite, for the most part seeing scarcely farther than twenty yards in any direction, choosing his way by the prairie dweller's instinct, guided only by an occasional glimpse of a far distant hilltop, a peculiarly shaped knot of trees, or the position of the sun	false	293.09	319.18	17
7688_109656_000015_000000	Sam rode down the sloping hill and plunged into the great pear flat that lies between the Quintanilla and the Piedra.	Sam rode down the sloping hill and plunged into the great pear flat that lies between the Quintanilla and the Piedra.	true	320.33	327.76	21
7688_109656_000016_000000	In about two hours he discovered that he was lost.	In about two hours he discovered that he was lost.	true	328.43	331.78	20.993778
7688_109656_000016_000001	Then came the usual confusion of mind and the hurry to get somewhere.	Then came the usual confusion of mind and the hurry to get somewhere.	true	332.18	336.4	15
