4586_19665_000000_000000	"Let him go," said Margaret.	"Let him go," said Margaret.	false	0	1.02	26
4586_19665_000000_000001	"It will be a great kindness; and surely there is no danger now."	"It will be a great kindness; and surely there is no danger now."	false	1.02	3.87	22.528126
4586_19665_000001_000000	Hope was gone.	Hope was gone.	false	3.87	4.68	20.511238
4586_19665_000001_000001	He did not come back in ten minutes, nor in half an hour.	He did not come back in ten minutes, nor in half an hour.	false	4.68	6.33	19
4586_19665_000001_000002	Even Margaret heartily repented having urged him to leave home. During his absence she thus repented, but no longer when he returned. He brought news which made her hasten to dress herself for the open air, when she was quite ready to retire to rest.	Even Margaret heartily repented having urged him to leave home. During his absence she thus repented, but no longer when he returned. He brought news which made her hasten to dress herself for the open air, when she was quite ready to retire to rest.	false	6.33	9.84	25.308708
4586_19665_000001_000003	It was well that her brother had gone.	It was well that her brother had gone.	false	9.84	11.13	23
4586_19665_000001_000004	Maria had been thrown down by the crowd, which had overtaken her as she was walking homewards, and she had broken her leg. The limb was set, the case was a simple and promising one; but she was in pain, and Margaret must go and pass the night with her.	Maria had been thrown down by the crowd, which had overtaken her as she was walking homewards, and she had broken her leg. The limb was set, the case was a simple and promising one; but she was in pain, and Margaret must go and pass the night with her.	false	11.13	12.87	27.82982
4586_19665_000001_000005	How thankful were they all now, that some one had thought of Maria!	How thankful were they all now, that some one had thought of Maria!	false	12.87	12.96	3
4586_19665_000001_000006	She had been in extreme anxiety for them; and she would not certainly have sent for aid before the morning.	She had been in extreme anxiety for them; and she would not certainly have sent for aid before the morning.	false	12.96	13.11	6
4586_19665_000001_000007	It was indeed a blessing that some one had thought of Maria.	It was indeed a blessing that some one had thought of Maria.	false	13.11	13.2	-5
4586_19665_000002_000000	CHAPTER TWENTY NINE.	CHAPTER TWENTY NINE.	true	13.2	14.53	29.345804
4586_19665_000003_000000	COMING TO AN UNDERSTANDING.	COMING TO AN UNDERSTANDING.	true	14.84	16.57	25.770613
