3215_5764_000000_000000	On this information he conversed a long time with the stranger from Cressingham's detachment.	On this information he conversed a long time with the stranger from Cressingham's detachment.	false	0	4.08	12.86083
3215_5764_000000_000001	And determining on carrying off Helen immediately to Hermitage, that the distance of Teviotdale might render a rescue less probable, he laid the plan accordingly.	And determining on carrying off Helen immediately to Hermitage, that the distance of Teviotdale might render a rescue less probable, he laid the plan accordingly.	false	4.08	9.09	19.487865
3215_5764_000000_000002	"In consequence," continued the woman, "my husband and the stranger, the one habited as a Scottish and the other as an English knight (for my lord being ever on some wild prank, has always a chest of strange dresses with him), set out for St. Fillan's, taking with them the signet which your mother had sent with her letter to the earl her cousin.	"In consequence," continued the woman, "my husband and the stranger, the one habited as a Scottish and the other as an English knight (for my lord being ever on some wild prank, has always a chest of strange dresses with him), set out for st Fillan's, taking with them the signet which your mother had sent with her letter to the earl her cousin.	false	9.09	14.34	14
3215_5764_000000_000003	They hoped such a pledge of their truth would insure them credit.	They hoped such a pledge of their truth would insure them credit.	false	14.34	19.41	16.123379
3215_5764_000000_000004	You know the tale they invented; and its success proves my lord to be no bad contriver."	You know the tale they invented; and its success proves my lord to be no bad contriver."	false	19.41	23.955	17.35696
3215_5764_000001_000000	Chapter XIV.	Chapter fourteen.	true	23.955	25.455	18
3215_5764_000002_000000	The Pentland Hills.	The Pentland Hills.	true	25.455	27.04	12
3215_5764_000003_000000	Helen listened with astonishment and grief to this too probable story of her step-mother's ill-judged tenderness or cruel treachery; and remembering the threats which had escaped that lady in their last conversation, she saw no reason to doubt what so clearly explained the before inexplicable seizure of her father, the betraying of Wallace, and her own present calamity.	Helen listened with astonishment and grief to this too probable story of her step mother's ill judged tenderness or cruel treachery; and remembering the threats which had escaped that lady in their last conversation, she saw no reason to doubt what so clearly explained the before inexplicable seizure of her father, the betraying of Wallace, and her own present calamity.	true	28.1	50.2	14
3215_5764_000004_000000	"You do not answer me," rejoined the woman; "but if you think I don't say true, Lord Soulis himself will assure you of the fact."	"You do not answer me," rejoined the woman; "but if you think I don't say true, Lord Soulis himself will assure you of the fact."	true	51.68	59.98	18.24859
3215_5764_000005_000000	"Alas, no!" returned Helen, profoundly sighing, "I believe it too well. I see the depth of the misery into which I am plunged.	"Alas, no!" returned Helen, profoundly sighing, "I believe it too well. I see the depth of the misery into which I am plunged.	false	60.8	70.02	19.030388
3215_5764_000005_000001	And yet," cried she, recollecting the imposition the men had put upon her:-"yet, I shall not be wholly so, if my father lives, and was not in the extremity they told me of!"	And yet," cried she, recollecting the imposition the men had put upon her:-"yet, I shall not be wholly so, if my father lives, and was not in the extremity they told me of!"	true	70.02	82.57	17.456999
3215_5764_000006_000000	"If that thought gives you comfort, retain it," returned the woman; "the whole story of the earl's illness was an invention to bring you at so short notice from the protection of the prior."	"If that thought gives you comfort, retain it," returned the woman; "the whole story of the earl's illness was an invention to bring you at so short notice from the protection of the prior."	true	83.06	92.98	16
3215_5764_000007_000000	"I thank thee, gracious Providence, for this comfort!" exclaimed Helen; "it inspires me with redoubled trust in thee."	"I thank thee, gracious Providence, for this comfort!" exclaimed Helen; "it inspires me with redoubled trust in thee."	false	93.77	101.88	18.962393
3215_5764_000008_000000	Margery shook her head.	Margery shook her head.	true	101.88	103.42	18.14966
3215_5764_000008_000001	"Ah, poor victim (thought she), how vain is thy devotion!" But she had not time to say so, for her husband and the deserter from Cressingham re-entered the cave.	"Ah, poor victim (thought she), how vain is thy devotion!" But she had not time to say so, for her husband and the deserter from Cressingham re-entered the cave.	true	104.3	115.33	17.730185
3215_5764_000008_000002	Helen, afraid that it was Soulis, started up.	Helen, afraid that it was Soulis, started up.	true	116.09	118.96	18.785744
3215_5764_000008_000003	The stranger proceeded to lift her in his arms; she struggled, and in the evidence of her action, struck his beaver; it opened, and discovered a pale and stern countenance, with a large scar across his jaw; this mark of contest, and the gloomy scowl of his eyes, made Helen rush toward the woman for protection.	The stranger proceeded to lift her in his arms; she struggled, and in the evidence of her action, struck his beaver; it opened, and discovered a pale and stern countenance, with a large scar across his jaw; this mark of contest, and the gloomy scowl of his eyes, made Helen rush toward the woman for protection.	true	119.45	140.11	18.684284
3215_5764_000008_000004	The man hastily closed his helmet, and, speaking through the clasped steel, for the first time she heard his voice; it sounded, hollow and decisive; he bade her prepare to accompany Lord Soulis in a journey to the south.	The man hastily closed his helmet, and, speaking through the clasped steel, for the first time she heard his voice; it sounded, hollow and decisive; he bade her prepare to accompany Lord Soulis in a journey to the south.	true	140.78	155.26	18.787537
3215_5764_000009_000000	Helen looked at her shackled arms, and despairing of effecting her escape by any effort of her own, she thought that gaining time might be some advantage; and allowing the man to take her hand, while Macgregor supported her on the other side, they led her out of the cave.	Helen looked at her shackled arms, and despairing of effecting her escape by any effort of her own, she thought that gaining time might be some advantage; and allowing the man to take her hand, while Macgregor supported her on the other side, they led her out of the cave.	true	155.66	171.7	17.95775
3215_5764_000009_000001	She observed the latter smiled significantly at his wife.	She observed the latter smiled significantly at his wife.	true	171.95	175.9	19.488781
3215_5764_000009_000002	"Oh!" cried she, "to what am I betrayed?	"Oh!" cried she, "to what am I betrayed?	true	176.42	180	21.271746
3215_5764_000009_000003	Unhand me!	Unhand me!	false	180	180.93	7
3215_5764_000009_000004	Leave me!" Almost fainting with dread, she leaned against the arm of the stranger.	Leave me!" Almost fainting with dread, she leaned against the arm of the stranger.	true	180.93	186.46	18.870716
3215_5764_000010_000000	Thunder now peaked over her head, and lightning shot across the mountains.	Thunder now peaked over her head, and lightning shot across the mountains.	true	186.92	191.5	20
