3584_178748_000000_000000	CHAPTER XV.	CHAPTER fifteen.
3584_178748_000001_000000	CAP'S COUNTRY CAPERS.	CAP'S COUNTRY CAPERS.
3584_178748_000002_000000	"A willful elf--an uncle's child, That half a pet and half a pest, Was still reproved, endured, caressed, Yet never tamed, though never spoiled."	"A willful elf-an uncle's child, That half a pet and half a pest, Was still reproved, endured, caressed, Yet never tamed, though never spoiled."
3584_178748_000003_000000	Capitola at first was delighted and half incredulous at the great change in her fortunes.	Capitola at first was delighted and half incredulous at the great change in her fortunes.
3584_178748_000004_000000	Sometimes of a morning, after a very vivid dream of the alleys, cellars and gutters, ragpickers, newsboys, and beggars of New York, she would open her eyes upon her own comfortable chamber, with its glowing fire and crimson curtains, and bright mirror crowning the walnut bureau between them, she would jump up and gaze wildly around, not remembering where she was or how she came thither.	Sometimes of a morning, after a very vivid dream of the alleys, cellars and gutters, ragpickers, newsboys, and beggars of New York, she would open her eyes upon her own comfortable chamber, with its glowing fire and crimson curtains, and bright mirror crowning the walnut bureau between them, she would jump up and gaze wildly around, not remembering where she was or how she came thither.
3584_178748_000005_000000	Sometimes, suddenly startled by an intense realization of the contrast between her past and her present life, she would mentally inquire:	Sometimes, suddenly startled by an intense realization of the contrast between her past and her present life, she would mentally inquire:
3584_178748_000006_000000	"Can this be really I, myself, and not another?	"Can this be really I, myself, and not another?
3584_178748_000006_000001	I, the little houseless wanderer through the streets and alleys of New York?	I, the little houseless wanderer through the streets and alleys of New York?
3584_178748_000006_000002	I, the little newsgirl in boy's clothes?	I, the little newsgirl in boy's clothes?
3584_178748_000006_000003	I, the wretched little vagrant that was brought up before the recorder and was about to be sent to the House of Refuge for juvenile delinquents?	I, the wretched little vagrant that was brought up before the recorder and was about to be sent to the House of Refuge for juvenile delinquents?
3584_178748_000006_000004	Can this be I, Capitola, the little outcast of the city, now changed into Miss Black, the young lady, perhaps the heiress of a fine old country seat; calling a fine old military officer uncle; having a handsome income of pocket money settled upon me; having carriages and horses and servants to attend me?	Can this be I, Capitola, the little outcast of the city, now changed into Miss Black, the young lady, perhaps the heiress of a fine old country seat; calling a fine old military officer uncle; having a handsome income of pocket money settled upon me; having carriages and horses and servants to attend me?
3584_178748_000006_000005	No; it can't be!	No; it can't be!
3584_178748_000006_000006	It's just impossible!	It's just impossible!
3584_178748_000006_000007	No; I see how it is.	No; I see how it is.
3584_178748_000006_000008	I'm crazy!	I'm crazy!
3584_178748_000006_000009	that's what I am, crazy!	that's what I am, crazy!
3584_178748_000006_000010	For, now I think of it, the last thing I remember of my former life was being brought before the recorder for wearing boy's clothes.	For, now I think of it, the last thing I remember of my former life was being brought before the recorder for wearing boy's clothes.
3584_178748_000006_000013	This fine old military officer whom I call uncle is the head doctor.	This fine old military officer whom I call uncle is the head doctor.
3584_178748_000006_000014	The servants who come at my call are the keepers.	The servants who come at my call are the keepers.
3584_178748_000007_000000	"There is no figure out of my past life in my present one except Herbert Greyson.	"There is no figure out of my past life in my present one except Herbert Greyson.
3584_178748_000007_000001	But, pshaw! he is not 'the nephew of his uncle;' he is only my old comrade, Herbert Greyson, the sailor lad, who comes here to the madhouse to see me, and, out of compassion, humors all my fancies.	But, p shaw! he is not 'the nephew of his uncle;' he is only my old comrade, Herbert Greyson, the sailor lad, who comes here to the madhouse to see me, and, out of compassion, humors all my fancies.
3584_178748_000008_000000	"I wonder how long they'll keep me here?	"I wonder how long they'll keep me here?
3584_178748_000008_000001	Forever, I hope.	Forever, I hope.
3584_178748_000008_000003	I hope they won't cure me; I vow I won't be cured.	I hope they won't cure me; I vow I won't be cured.
3584_178748_000008_000004	It's a great deal too pleasant to be mad, and I'll stay so.	It's a great deal too pleasant to be mad, and I'll stay so.
3584_178748_000008_000006	Catch me coming to my senses, when it's so delightful to be mad.	Catch me coming to my senses, when it's so delightful to be mad.
