3584_178748_000000_000000	CHAPTER XV.	CHAPTER fifteen.	true	9.96	11.2	27.238226
3584_178748_000001_000000	CAP'S COUNTRY CAPERS.	CAP'S COUNTRY CAPERS.	true	11.33	12.97	25.306267
3584_178748_000002_000000	"A willful elf--an uncle's child, That half a pet and half a pest, Was still reproved, endured, caressed, Yet never tamed, though never spoiled."	"A willful elf-an uncle's child, That half a pet and half a pest, Was still reproved, endured, caressed, Yet never tamed, though never spoiled."	true	13.34	23.77	24.384342
3584_178748_000003_000000	Capitola at first was delighted and half incredulous at the great change in her fortunes.	Capitola at first was delighted and half incredulous at the great change in her fortunes.	true	24.23	29.08	20
3584_178748_000003_000001	The spacious and comfortable mansion of which she found herself the little mistress; the high rank of the veteran officer who claimed her as his ward and niece; the abundance, regularity and respectability of her new life; the leisure, the privacy, the attendance of servants, were all so different from anything to which she had previously been accustomed that there were times when she doubted its reality and distrusted her own identity.	The spacious and comfortable mansion of which she found herself the little mistress; the high rank of the veteran officer who claimed her as his ward and niece; the abundance, regularity and respectability of her new life; the leisure, the privacy, the attendance of servants, were all so different from anything to which she had previously been accustomed that there were times when she doubted its reality and distrusted her own identity.	true	29.24	51.85	22
3584_178748_000004_000000	Sometimes of a morning, after a very vivid dream of the alleys, cellars and gutters, ragpickers, newsboys, and beggars of New York, she would open her eyes upon her own comfortable chamber, with its glowing fire and crimson curtains, and bright mirror crowning the walnut bureau between them, she would jump up and gaze wildly around, not remembering where she was or how she came thither.	Sometimes of a morning, after a very vivid dream of the alleys, cellars and gutters, ragpickers, newsboys, and beggars of New York, she would open her eyes upon her own comfortable chamber, with its glowing fire and crimson curtains, and bright mirror crowning the walnut bureau between them, she would jump up and gaze wildly around, not remembering where she was or how she came thither.	true	52.22	73.63	22
3584_178748_000005_000000	Sometimes, suddenly startled by an intense realization of the contrast between her past and her present life, she would mentally inquire:	Sometimes, suddenly startled by an intense realization of the contrast between her past and her present life, she would mentally inquire:	true	74.09	82	20.259823
3584_178748_000006_000000	"Can this be really I, myself, and not another?	"Can this be really I, myself, and not another?	true	82.31	85.36	23.057318
3584_178748_000006_000001	I, the little houseless wanderer through the streets and alleys of New York?	I, the little houseless wanderer through the streets and alleys of New York?	true	85.7	89.62	22
3584_178748_000006_000002	I, the little newsgirl in boy's clothes?	I, the little newsgirl in boy's clothes?	true	89.72	92.02	26
3584_178748_000006_000003	I, the wretched little vagrant that was brought up before the recorder and was about to be sent to the House of Refuge for juvenile delinquents?	I, the wretched little vagrant that was brought up before the recorder and was about to be sent to the House of Refuge for juvenile delinquents?	true	92.3	99.07	20
3584_178748_000006_000004	Can this be I, Capitola, the little outcast of the city, now changed into Miss Black, the young lady, perhaps the heiress of a fine old country seat; calling a fine old military officer uncle; having a handsome income of pocket money settled upon me; having carriages and horses and servants to attend me?	Can this be I, Capitola, the little outcast of the city, now changed into Miss Black, the young lady, perhaps the heiress of a fine old country seat; calling a fine old military officer uncle; having a handsome income of pocket money settled upon me; having carriages and horses and servants to attend me?	true	99.32	117.82	23.1441
3584_178748_000006_000005	No; it can't be!	No; it can't be!	true	118.07	119.295	27.681412
3584_178748_000006_000006	It's just impossible!	It's just impossible!	true	119.295	120.7	23.379236
3584_178748_000006_000007	No; I see how it is.	No; I see how it is.	true	120.95	122.4	20.188602
3584_178748_000006_000008	I'm crazy!	I'm crazy!	true	122.4	123.43	26.902948
3584_178748_000006_000009	that's what I am, crazy!	that's what I am, crazy!	true	123.83	125.44	25.150257
3584_178748_000006_000010	For, now I think of it, the last thing I remember of my former life was being brought before the recorder for wearing boy's clothes.	For, now I think of it, the last thing I remember of my former life was being brought before the recorder for wearing boy's clothes.	true	125.48	131.86	21
3584_178748_000006_000011	Now, I'm sure that it was upon that occasion that I went suddenly mad with trouble, and all the rest is a lunatic's fancy!	Now, I'm sure that it was upon that occasion that I went suddenly mad with trouble, and all the rest is a lunatic's fancy!	false	132.17	138.76	22
3584_178748_000006_000012	This fine old country seat of which I vainly think myself the mistress, is just the pauper madhouse to which the magistrates have sent me.	This fine old country seat of which I vainly think myself the mistress, is just the pauper madhouse to which the magistrates have sent me.	false	138.98	146.05	22.132948
3584_178748_000006_000013	This fine old military officer whom I call uncle is the head doctor.	This fine old military officer whom I call uncle is the head doctor.	true	146.18	150.13	26.967798
3584_178748_000006_000014	The servants who come at my call are the keepers.	The servants who come at my call are the keepers.	true	150.47	153.01	24.420446
3584_178748_000007_000000	"There is no figure out of my past life in my present one except Herbert Greyson.	"There is no figure out of my past life in my present one except Herbert Greyson.	true	153.5	157.48	22.460619
3584_178748_000007_000001	But, pshaw! he is not 'the nephew of his uncle;' he is only my old comrade, Herbert Greyson, the sailor lad, who comes here to the madhouse to see me, and, out of compassion, humors all my fancies.	But, p shaw! he is not 'the nephew of his uncle;' he is only my old comrade, Herbert Greyson, the sailor lad, who comes here to the madhouse to see me, and, out of compassion, humors all my fancies.	true	157.76	168.91	23.51176
3584_178748_000008_000000	"I wonder how long they'll keep me here?	"I wonder how long they'll keep me here?	true	169.4	171.22	23.646555
3584_178748_000008_000001	Forever, I hope.	Forever, I hope.	true	171.38	172.485	23.15827
3584_178748_000008_000002	Until I get cured, I'm sure.	Until I get cured, I'm sure.	false	172.485	173.95	20.301672
3584_178748_000008_000003	I hope they won't cure me; I vow I won't be cured.	I hope they won't cure me; I vow I won't be cured.	true	174.17	177.28	20.849062
3584_178748_000008_000004	It's a great deal too pleasant to be mad, and I'll stay so.	It's a great deal too pleasant to be mad, and I'll stay so.	true	177.38	180.37	25.372124
