2272_152262_000000_000000	Harun now vowed that he would kill the emperor if he should ever lay hands upon him.	Harun now vowed that he would kill the emperor if he should ever lay hands upon him.	false	0	6.12	21.560106
2272_152262_000000_000001	But as he was getting ready to march once more into the Roman provinces a revolt broke out in one of the cities of his own kingdom; and while on his way to suppress it the great caliph died of an illness which had long given him trouble.	But as he was getting ready to march once more into the Roman provinces a revolt broke out in one of the cities of his own kingdom; and while on his way to suppress it the great caliph died of an illness which had long given him trouble.	false	6.12	27.18	21.798798
2272_152262_000001_000000	EGBERT	EGBERT	true	27.18	28	31.637684
2272_152262_000002_000000	KING FROM 802-837 A.D.	KING FROM eight hundred two to eight hundred thirty seven a d	false	28.28	32.19	26
2272_152262_000003_000000	I	I	false	32.19	34.65	15.946029
2272_152262_000004_000000	Egbert the Saxon lived at the same time as did Harun-al-Rashid and Charlemagne.	Egbert the Saxon lived at the same time as did Harun al Rashid and Charlemagne.	true	34.65	40.06	10
2272_152262_000004_000001	He was the first king who ruled all England as one kingdom.	He was the first king who ruled all England as one kingdom.	true	40.16	43.69	17
2272_152262_000004_000002	Long before his birth the people who are known to us as Britons lived there, and they gave to the island the name Britain.	Long before his birth the people who are known to us as Britons lived there, and they gave to the island the name Britain.	true	43.76	50.65	19
2272_152262_000005_000000	But Britain was invaded by the Romans under Julius Caesar and his successors, and all that part of it which we now call England was added to the Empire of Rome.	But Britain was invaded by the romans under Julius Caesar and his successors, and all that part of it which we now call England was added to the Empire of Rome.	true	50.99	59.74	14
2272_152262_000005_000001	The Britons were driven into Wales and Cornwall, the western sections of the island.	The Britons were driven into Wales and Cornwall, the western sections of the island.	true	59.75	64.3	16
2272_152262_000006_000000	The Romans kept possession of the island for nearly four hundred years.	The romans kept possession of the island for nearly four hundred years.	true	64.88	68.5	16
2272_152262_000006_000001	They did not leave it until 410, the year that Alaric sacked the city of Rome.	They did not leave it until four hundred ten, the year that Alaric sacked the city of Rome.	false	68.54	73.63	19
2272_152262_000006_000002	At this time the Roman legions were withdrawn from Britain.	At this time the Roman legions were withdrawn from Britain.	true	73.67	77.29	18
2272_152262_000007_000000	Some years before this the Saxons, Angles and Jutes, German tribes, had settled near the shores of the North Sea.	Some years before this the Saxons, Angles and Jutes, German tribes, had settled near the shores of the North Sea.	true	77.75	84.97	19
2272_152262_000007_000001	They learned much about Britain; for trading vessels, even at that early day, crossed the Channel.	They learned much about Britain; for trading vessels, even at that early day, crossed the Channel.	true	85.16	90.79	22
2272_152262_000007_000002	Among other things, the men from the north learned that Britain was crossed with good Roman roads, and dotted with houses of brick and stone; that walled cities had taken the place of tented camps, and that the country for miles round each city was green every spring with waving wheat, or white with orchard blossoms.	Among other things, the men from the north learned that Britain was crossed with good Roman roads, and dotted with houses of brick and stone; that walled cities had taken the place of tented camps, and that the country for miles round each city was green every spring with waving wheat, or white with orchard blossoms.	true	91.1	108.36	16
2272_152262_000008_000000	[Illustration: HENGIST AND HORSA LANDING IN ENGLAND]	[Illustration: h e n g i s t AND h o r s a LANDING IN ENGLAND]	false	108.36	108.9	-20
2272_152262_000009_000000	After the Roman legions had left Britain, the Jutes, led, it is said, by two great captains named Hengist and Horsa, landed upon the southeastern coast and made a settlement.	After the Roman legions had left Britain, the Jutes, led, it is said, by two great captains named Hengist and Horsa, landed upon the southeastern coast and made a settlement.	true	108.9	119.62	20
2272_152262_000010_000000	Britain proved a pleasant place to live in, and soon the Angles and Saxons also left the North Sea shores and invaded the beautiful island.	Britain proved a pleasant place to live in, and soon the Angles and Saxons also left the North Sea shores and invaded the beautiful island.	true	119.81	127.48	16
2272_152262_000011_000000	The new invaders met with brave resistance.	The new invaders met with brave resistance.	true	127.79	130.27	14
2272_152262_000011_000001	The Britons were headed by King Arthur, about whom many marvelous stories are told.	The Britons were headed by King Arthur, about whom many marvelous stories are told.	true	130.28	134.86	18.339561
2272_152262_000011_000002	His court was held at Caerleon (_caer'le-on_), in North Wales, where his hundred and fifty knights banqueted at their famous "Round Table."	His court was held at Caerleon (underscore caer'le on underscore), in North Wales, where his hundred and fifty knights banqueted at their famous "Round Table."	false	134.96	141.97	20
