373_130974_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	2.97	5.23	17
373_130974_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	5.45	8.8	21.925615
373_130974_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	9.11	15	21.12924
373_130974_000001_000000	THE FEDERALIST PAPERS ***	THE FEDERALIST PAPERS asterisk asterisk asterisk	false	15	16.32	15.907441
373_130974_000002_000000	Produced by The Consitution Society and Anonymous Volunteers	Produced by The Consitution Society and Anonymous Volunteers	false	16.32	19.215	20.364681
373_130974_000003_000000	THE FEDERALIST PAPERS	THE FEDERALIST PAPERS	true	19.215	20.79	21.699066
373_130974_000004_000000	By Alexander Hamilton, John Jay, and James Madison	By Alexander Hamilton, john Jay, and james Madison	false	20.79	22.68	-20
373_130974_000005_000000	FEDERALIST No. 1	FEDERALIST no one	false	22.68	24.49	19.922125
373_130974_000006_000000	General Introduction	General Introduction	true	25.01	26.68	23.153704
373_130974_000007_000000	For the Independent Journal.	For the Independent Journal.	true	28.16	29.95	20.4795
373_130974_000007_000001	Saturday, October 27, 1787	saturday october twenty seventh seventeen eighty seven	true	30.98	35.38	21.13316
373_130974_000008_000000	HAMILTON	HAMILTON	true	36.53	37.42	22.380358
373_130974_000009_000000	To the People of the State of New York:	To the People of the State of New York:	true	39.11	41.5	24.048885
373_130974_000010_000000	AFTER an unequivocal experience of the inefficacy of the subsisting federal government, you are called upon to deliberate on a new Constitution for the United States of America.	AFTER an unequivocal experience of the inefficacy of the subsisting federal government, you are called upon to deliberate on a new Constitution for the United States of America.	true	42.65	53.5	19
373_130974_000010_000001	The subject speaks its own importance; comprehending in its consequences nothing less than the existence of the UNION, the safety and welfare of the parts of which it is composed, the fate of an empire in many respects the most interesting in the world.	The subject speaks its own importance; comprehending in its consequences nothing less than the existence of the UNION, the safety and welfare of the parts of which it is composed, the fate of an empire in many respects the most interesting in the world.	false	54.05	68.8	21.959978
373_130974_000010_000002	It has been frequently remarked that it seems to have been reserved to the people of this country, by their conduct and example, to decide the important question, whether societies of men are really capable or not of establishing good government from reflection and choice, or whether they are forever destined to depend for their political constitutions on accident and force.	It has been frequently remarked that it seems to have been reserved to the people of this country, by their conduct and example, to decide the important question, whether societies of men are really capable or not of establishing good government from reflection and choice, or whether they are forever destined to depend for their political constitutions on accident and force.	true	69.47	93.73	21.932726
373_130974_000010_000003	If there be any truth in the remark, the crisis at which we are arrived may with propriety be regarded as the era in which that decision is to be made; and a wrong election of the part we shall act may, in this view, deserve to be considered as the general misfortune of mankind.	If there be any truth in the remark, the crisis at which we are arrived may with propriety be regarded as the era in which that decision is to be made; and a wrong election of the part we shall act may, in this view, deserve to be considered as the general misfortune of mankind.	true	94.52	113.17	22.44569
373_130974_000011_000000	This idea will add the inducements of philanthropy to those of patriotism, to heighten the solicitude which all considerate and good men must feel for the event.	This idea will add the inducements of philanthropy to those of patriotism, to heighten the solicitude which all considerate and good men must feel for the event.	true	114.74	124.93	20.832449
373_130974_000011_000001	Happy will it be if our choice should be directed by a judicious estimate of our true interests, unperplexed and unbiased by considerations not connected with the public good.	Happy will it be if our choice should be directed by a judicious estimate of our true interests, unperplexed and unbiased by considerations not connected with the public good.	true	125.51	136.6	23
373_130974_000011_000002	But this is a thing more ardently to be wished than seriously to be expected.	But this is a thing more ardently to be wished than seriously to be expected.	true	137.45	142.39	21
