6574_70756_000002_000000	The being finished speaking and fixed his looks upon me in the expectation of a reply.	The being finished speaking and fixed his looks upon me in the expectation of a reply.
6574_70756_000002_000001	But I was bewildered, perplexed, and unable to arrange my ideas sufficiently to understand the full extent of his proposition.	But I was bewildered, perplexed, and unable to arrange my ideas sufficiently to understand the full extent of his proposition.
6574_70756_000002_000002	He continued,	He continued,
6574_70756_000005_000000	"I do refuse it," I replied; "and no torture shall ever extort a consent from me.	"I do refuse it," I replied; "and no torture shall ever extort a consent from me.
6574_70756_000005_000002	Shall I create another like yourself, whose joint wickedness might desolate the world.	Shall I create another like yourself, whose joint wickedness might desolate the world.
6574_70756_000005_000004	I have answered you; you may torture me, but I will never consent."	I have answered you; you may torture me, but I will never consent."
6574_70756_000006_000000	"You are in the wrong," replied the fiend; "and instead of threatening, I am content to reason with you.	"You are in the wrong," replied the fiend; "and instead of threatening, I am content to reason with you.
6574_70756_000006_000002	Am I not shunned and hated by all mankind?	Am I not shunned and hated by all mankind?
6574_70756_000006_000005	Shall I respect man when he condemns me?	Shall I respect man when he condemns me?
6574_70756_000006_000006	Let him live with me in the interchange of kindness, and instead of injury I would bestow every benefit upon him with tears of gratitude at his acceptance.	Let him live with me in the interchange of kindness, and instead of injury I would bestow every benefit upon him with tears of gratitude at his acceptance.
6574_70756_000006_000009	I will revenge my injuries; if I cannot inspire love, I will cause fear, and chiefly towards you my arch-enemy, because my creator, do I swear inextinguishable hatred.	I will revenge my injuries; if I cannot inspire love, I will cause fear, and chiefly towards you my arch enemy, because my creator, do I swear inextinguishable hatred.
6574_70756_000007_000000	A fiendish rage animated him as he said this; his face was wrinkled into contortions too horrible for human eyes to behold; but presently he calmed himself and proceeded--	A fiendish rage animated him as he said this; his face was wrinkled into contortions too horrible for human eyes to behold; but presently he calmed himself and proceeded-
6574_70756_000008_000000	"I intended to reason.	"I intended to reason.
6574_70756_000008_000003	But I now indulge in dreams of bliss that cannot be realized.	But I now indulge in dreams of bliss that cannot be realized.
6574_70756_000008_000007	Oh!	Oh!
6574_70756_000008_000008	My creator, make me happy; let me feel gratitude towards you for one benefit!	My creator, make me happy; let me feel gratitude towards you for one benefit!
6574_70756_000008_000009	Let me see that I excite the sympathy of some existing thing; do not deny me my request!"	Let me see that I excite the sympathy of some existing thing; do not deny me my request!"
6574_70756_000009_000000	I was moved.	I was moved.
6574_70756_000009_000001	I shuddered when I thought of the possible consequences of my consent, but I felt that there was some justice in his argument. His tale and the feelings he now expressed proved him to be a creature of fine sensations, and did I not as his maker owe him all the portion of happiness that it was in my power to bestow?	I shuddered when I thought of the possible consequences of my consent, but I felt that there was some justice in his argument. His tale and the feelings he now expressed proved him to be a creature of fine sensations, and did I not as his maker owe him all the portion of happiness that it was in my power to bestow?
6574_70756_000009_000002	He saw my change of feeling and continued,	He saw my change of feeling and continued,
6574_70756_000010_000000	"If you consent, neither you nor any other human being shall ever see us again; I will go to the vast wilds of South America.	"If you consent, neither you nor any other human being shall ever see us again; I will go to the vast wilds of South America.
6574_70756_000010_000003	The picture I present to you is peaceful and human, and you must feel that you could deny it only in the wantonness of power and cruelty.	The picture I present to you is peaceful and human, and you must feel that you could deny it only in the wantonness of power and cruelty.
6574_70756_000011_000001	How can you, who long for the love and sympathy of man, persevere in this exile?	How can you, who long for the love and sympathy of man, persevere in this exile?
6574_70756_000011_000002	You will return and again seek their kindness, and you will meet with their detestation; your evil passions will be renewed, and you will then have a companion to aid you in the task of destruction.	You will return and again seek their kindness, and you will meet with their detestation; your evil passions will be renewed, and you will then have a companion to aid you in the task of destruction.
6574_70756_000011_000003	This may not be; cease to argue the point, for I cannot consent."	This may not be; cease to argue the point, for I cannot consent."
6574_70756_000012_000000	"How inconstant are your feelings!	"How inconstant are your feelings!
6574_70756_000012_000003	My evil passions will have fled, for I shall meet with sympathy!	My evil passions will have fled, for I shall meet with sympathy!
6574_70756_000013_000000	His words had a strange effect upon me.	His words had a strange effect upon me.
6574_70756_000013_000001	I compassionated him and sometimes felt a wish to console him, but when I looked upon him, when I saw the filthy mass that moved and talked, my heart sickened and my feelings were altered to those of horror and hatred.	I compassionated him and sometimes felt a wish to console him, but when I looked upon him, when I saw the filthy mass that moved and talked, my heart sickened and my feelings were altered to those of horror and hatred.
6574_70756_000013_000002	I tried to stifle these sensations; I thought that as I could not sympathize with him, I had no right to withhold from him the small portion of happiness which was yet in my power to bestow.	I tried to stifle these sensations; I thought that as I could not sympathize with him, I had no right to withhold from him the small portion of happiness which was yet in my power to bestow.
6574_70756_000014_000000	"You swear," I said, "to be harmless; but have you not already shown a degree of malice that should reasonably make me distrust you?	"You swear," I said, "to be harmless; but have you not already shown a degree of malice that should reasonably make me distrust you?
6574_70756_000014_000001	May not even this be a feint that will increase your triumph by affording a wider scope for your revenge?"	May not even this be a feint that will increase your triumph by affording a wider scope for your revenge?"
6574_70756_000015_000000	"How is this?	"How is this?
6574_70756_000015_000002	If I have no ties and no affections, hatred and vice must be my portion; the love of another will destroy the cause of my crimes, and I shall become a thing of whose existence everyone will be ignorant.	If I have no ties and no affections, hatred and vice must be my portion; the love of another will destroy the cause of my crimes, and I shall become a thing of whose existence everyone will be ignorant.
6574_70756_000016_000003	After a long pause of reflection I concluded that the justice due both to him and my fellow creatures demanded of me that I should comply with his request.	After a long pause of reflection I concluded that the justice due both to him and my fellow creatures demanded of me that I should comply with his request.
6574_70756_000016_000004	Turning to him, therefore, I said,	Turning to him, therefore, I said,
6574_70756_000017_000000	"I consent to your demand, on your solemn oath to quit Europe forever, and every other place in the neighbourhood of man, as soon as I shall deliver into your hands a female who will accompany you in your exile."	"I consent to your demand, on your solemn oath to quit Europe forever, and every other place in the neighbourhood of man, as soon as I shall deliver into your hands a female who will accompany you in your exile."
6574_70756_000018_000000	"I swear," he cried, "by the sun, and by the blue sky of heaven, and by the fire of love that burns my heart, that if you grant my prayer, while they exist you shall never behold me again.	"I swear," he cried, "by the sun, and by the blue sky of heaven, and by the fire of love that burns my heart, that if you grant my prayer, while they exist you shall never behold me again.
6574_70756_000019_000000	Saying this, he suddenly quitted me, fearful, perhaps, of any change in my sentiments.	Saying this, he suddenly quitted me, fearful, perhaps, of any change in my sentiments.
6574_70756_000019_000001	I saw him descend the mountain with greater speed than the flight of an eagle, and quickly lost among the undulations of the sea of ice.	I saw him descend the mountain with greater speed than the flight of an eagle, and quickly lost among the undulations of the sea of ice.
6574_70756_000020_000003	Night was far advanced when I came to the halfway resting-place and seated myself beside the fountain.	Night was far advanced when I came to the halfway resting place and seated myself beside the fountain.
6574_70756_000020_000004	The stars shone at intervals as the clouds passed from over them; the dark pines rose before me, and every here and there a broken tree lay on the ground; it was a scene of wonderful solemnity and stirred strange thoughts within me.	The stars shone at intervals as the clouds passed from over them; the dark pines rose before me, and every here and there a broken tree lay on the ground; it was a scene of wonderful solemnity and stirred strange thoughts within me.
6574_70756_000020_000005	I wept bitterly, and clasping my hands in agony, I exclaimed, "Oh!	I wept bitterly, and clasping my hands in agony, I exclaimed, "Oh!
6574_70756_000022_000001	Even in my own heart I could give no expression to my sensations--they weighed on me with a mountain's weight and their excess destroyed my agony beneath them. Thus I returned home, and entering the house, presented myself to the family.	Even in my own heart I could give no expression to my sensations-they weighed on me with a mountain's weight and their excess destroyed my agony beneath them. Thus I returned home, and entering the house, presented myself to the family.
