7460_92002_000000_000000	'O, George!'	'O, George!'	false	0	1.8	-20
7460_92002_000001_000000	'And why should she not have promised?'	'And why should she not have promised?'	false	1.8	8.16	29.15363
7460_92002_000002_000000	'But, George;--during all this time you have never mentioned it.'	'But, George;--during all this time you have never mentioned it.'	false	8.16	12	19.844786
7460_92002_000003_000000	'There are some things, Madame Faragon, which one doesn't mention. And I do not know why I should have mentioned it at all.	'There are some things, Madame Faragon, which one doesn't mention. And I do not know why I should have mentioned it at all.	false	12	12	
7460_92002_000003_000001	But you understand all about it now.	But you understand all about it now.	false	12	12	
7460_92002_000003_000002	Of course she will marry the man.	Of course she will marry the man.	false	12	12	
7460_92002_000003_000003	It is not likely that my father should fail to have his own way with a girl who is dependent on him.'	It is not likely that my father should fail to have his own way with a girl who is dependent on him.'	false	12	12.87	13
7460_92002_000004_000000	'But he--M.	'But he-M.	false	12.87	13.23	8
7460_92002_000004_000001	Urmand; he would give her up if he knew it all, would he not?'	Urmand; he would give her up if he knew it all, would he not?'	false	13.23	15.12	23.404121
7460_92002_000005_000000	To this George made no instant answer; but the idea was there, in his mind--that the linen merchant might perhaps be induced to abandon his purpose, if he could be made to understand that Marie wished it.	To this George made no instant answer; but the idea was there, in his mind-that the linen merchant might perhaps be induced to abandon his purpose, if he could be made to understand that Marie wished it.	false	15.12	16.65	13
7460_92002_000005_000001	'If he have any touch of manhood about him he would do so,' said he.	'If he have any touch of manhood about him he would do so,' said he.	false	16.65	17.07	11
7460_92002_000006_000000	'And what will you do, George?'	'And what will you do, George?'	false	17.07	17.22	6
7460_92002_000007_000000	'Do!	'Do!	false	17.22	17.25	4
7460_92002_000007_000001	I shall do nothing.	I shall do nothing.	false	17.25	17.34	4
7460_92002_000007_000002	What should I do?	What should I do?	false	17.34	17.43	14
7460_92002_000007_000003	My father has turned me out of the house.	My father has turned me out of the house.	false	17.43	17.64	-20
7460_92002_000007_000004	That is the whole of it.	That is the whole of it.	false	17.64	17.79	-20
7460_92002_000007_000005	I do not know that there is anything to be done.' Then he went out, and there was nothing more said upon the question.	I do not know that there is anything to be done.' Then he went out, and there was nothing more said upon the question.	false	17.79	18.375	6
7460_92002_000007_000006	For the next three or four days there was nothing said.	For the next three or four days there was nothing said.	false	18.375	20.34	18.532125
7460_92002_000007_000007	As he went in and out Madame Faragon would look at him with anxious eyes, questioning herself how far such a feeling of love might in truth make this young man forlorn and wretched.	As he went in and out Madame Faragon would look at him with anxious eyes, questioning herself how far such a feeling of love might in truth make this young man forlorn and wretched.	false	20.34	21.15	16
7460_92002_000007_000008	As far as she could judge by his manner he was very forlorn and very wretched.	As far as she could judge by his manner he was very forlorn and very wretched.	false	21.15	21.54	8
7460_92002_000007_000009	He did his work indeed, and was busy about the place, as was his wont.	He did his work indeed, and was busy about the place, as was his wont.	false	21.54	26.82	26.250084
7460_92002_000007_000010	But there was a look of pain in his face, which made her old heart grieve, and by degrees her good wishes for the object, which seemed to be so much to him, became eager and hot.	But there was a look of pain in his face, which made her old heart grieve, and by degrees her good wishes for the object, which seemed to be so much to him, became eager and hot.	false	26.82	28.86	19.770046
7460_92002_000008_000000	'Is there nothing to be done?' she asked at last, putting out her fat hand to take hold of his in sympathy.	'Is there nothing to be done?' she asked at last, putting out her fat hand to take hold of his in sympathy.	false	28.86	28.95	7
7460_92002_000009_000000	'There is nothing to be done,' said George, who, however, hated himself because he was doing nothing, and still thought occasionally of that plan of choking his rival.	'There is nothing to be done,' said George, who, however, hated himself because he was doing nothing, and still thought occasionally of that plan of choking his rival.	false	28.95	29.13	14
7460_92002_000010_000000	'If you were to go to Basle and see the man?'	'If you were to go to Basle and see the man?'	false	29.13	29.13	
7460_92002_000011_000000	'What could I say to him, if I did see him?	'What could I say to him, if I did see him?	false	29.13	29.13	
7460_92002_000011_000001	After all, it is not him that I can blame.	After all, it is not him that I can blame.	false	29.13	29.13	
7460_92002_000011_000002	I have no just ground of quarrel with him. He has done nothing that is not fair.	I have no just ground of quarrel with him. He has done nothing that is not fair.	false	29.13	29.31	12
7460_92002_000011_000003	Why should he not love her if it suits him?	Why should he not love her if it suits him?	false	29.31	29.43	11
7460_92002_000011_000004	Unless he were to fight me, indeed--'	Unless he were to fight me, indeed-'	false	29.43	29.52	3
7460_92002_000012_000000	'O, George! let there be no fighting.'	'O, George! let there be no fighting.'	false	29.52	29.61	17
7460_92002_000013_000000	'It would do no good, I fear.'	'It would do no good, I fear.'	false	29.61	29.7	13
7460_92002_000014_000000	'None, none, none,' said she.	'None, none, none,' said she.	false	29.7	29.76	7
7460_92002_000015_000000	'If I were to kill him, she could not be my wife then.'	'If I were to kill him, she could not be my wife then.'	false	29.76	29.94	-20
7460_92002_000016_000000	'No, no; certainly not.'	'No, no; certainly not.'	false	29.94	29.97	-20
7460_92002_000017_000000	'And if I wounded him, it would make her like him perhaps.	'And if I wounded him, it would make her like him perhaps.	false	29.97	30.15	-20
7460_92002_000017_000001	If he were to kill me, indeed, there might be some comfort in that.'	If he were to kill me, indeed, there might be some comfort in that.'	false	30.15	30.33	11
7460_92002_000018_000000	After this Madame Faragon made no farther suggestions that her young friend should go to Basle.	After this Madame Faragon made no farther suggestions that her young friend should go to Basle.	false	30.33	30.54	-4
7460_92002_000019_000000	CHAPTER XV.	CHAPTER fifteen.	true	30.54	31.84	30.410618
7460_92002_000020_000000	During the remainder of the day on which George had left Granpere, the hours did not fly very pleasantly at the Lion d'Or.	During the remainder of the day on which George had left Granpere, the hours did not fly very pleasantly at the Lion d'Or.	false	34.67	44.28	20.69225
7460_92002_000020_000001	Michel Voss had gone to his niece immediately upon his return from his walk, intending to obtain a renewed pledge from her that she would be true to her engagement.	Michel Voss had gone to his niece immediately upon his return from his walk, intending to obtain a renewed pledge from her that she would be true to her engagement.	true	44.28	54.01	20.688
