598_127704_000000_000000	The Upper Tuolumne Excursion	The Upper Tuolumne Excursion	false	5.19	25.24	20.894447
598_127704_000001_000000	We come now to the grandest of all the Yosemite excursions, one that requires at least two or three weeks.	We come now to the grandest of all the Yosemite excursions, one that requires at least two or three weeks.	true	25.73	32.95	22
598_127704_000001_000001	The best time to make it is from about the middle of July.	The best time to make it is from about the middle of July.	true	33.11	36.82	20
598_127704_000001_000002	The visitor entering the Yosemite in July has the advantage of seeing the falls not, perhaps, in their very flood prime but next thing to it; while the glacier-meadows will be in their glory and the snow on the mountains will be firm enough to make climbing safe.	The visitor entering the Yosemite in July has the advantage of seeing the falls not, perhaps, in their very flood prime but next thing to it; while the glacier meadows will be in their glory and the snow on the mountains will be firm enough to make climbing safe.	true	37.16	53.68	18
598_127704_000001_000003	Long ago I made these Sierra trips, carrying only a sackful of bread with a little tea and sugar and was thus independent and free, but now that trails or carriage roads lead out of the Valley in almost every direction it is easy to take a pack animal, so that the luxury of a blanket and a supply of food can easily be had.	Long ago I made these Sierra trips, carrying only a sackful of bread with a little tea and sugar and was thus independent and free, but now that trails or carriage roads lead out of the Valley in almost every direction it is easy to take a pack animal, so that the luxury of a blanket and a supply of food can easily be had.	false	54.29	75.58	21
598_127704_000002_000000	The best way to leave the Valley will be by the Yosemite Fall trail, camping the first night on the Tioga road opposite the east end of the Hoffman Range.	The best way to leave the Valley will be by the Yosemite Fall trail, camping the first night on the Tioga road opposite the east end of the Hoffman Range.	true	76.49	87.13	18
598_127704_000002_000001	Next morning climb Mount Hoffman; thence push on past Tenaya Lake into the Tuolumne Meadows and establish a central camp near the Soda Springs, from which glorious excursions can be made at your leisure.	Next morning climb Mount Hoffman; thence push on past Tenaya Lake into the Tuolumne Meadows and establish a central camp near the Soda Springs, from which glorious excursions can be made at your leisure.	true	87.47	100.96	20
598_127704_000002_000002	For here in this upper Tuolumne Valley is the widest, smoothest, most serenely spacious, and in every way the most delightful summer pleasure-park in all the High Sierra.	For here in this upper Tuolumne Valley is the widest, smoothest, most serenely spacious, and in every way the most delightful summer pleasure park in all the High Sierra.	true	101.6	113.44	18
598_127704_000002_000003	And since it is connected with Yosemite by two good trails, and a fairly good carriage road that passes between Yosemite and Mount Hoffman, it is also the most accessible.	And since it is connected with Yosemite by two good trails, and a fairly good carriage road that passes between Yosemite and Mount Hoffman, it is also the most accessible.	true	113.99	125.71	18
598_127704_000002_000004	It is in the heart of the High Sierra east of Yosemite, 8500 to 9000 feet above the level of the sea.	It is in the heart of the High Sierra east of Yosemite, eight thousand five hundred to nine thousand feet above the level of the sea.	true	126.62	135.79	21.003307
598_127704_000002_000005	The gray, picturesque Cathedral Range bounds it on the south; a similar range or spur, the highest peak of which is Mount Conness, on the north; the noble Mounts Dana, Gibbs, Mammoth, Lyell, McClure and others on the axis of the Range on the east; a heaving, billowing crowd of glacier-polished rocks and Mount Hoffman on the west.	The gray, picturesque Cathedral Range bounds it on the south; a similar range or spur, the highest peak of which is Mount Conness, on the north; the noble Mounts Dana, Gibbs, Mammoth, Lyell, McClure and others on the axis of the Range on the east; a heaving, billowing crowd of glacier polished rocks and Mount Hoffman on the west.	true	136.16	161.59	22.026789
598_127704_000002_000006	Down through the open sunny meadow-levels of the Valley flows the Tuolumne River, fresh and cool from its many glacial fountains, the highest of which are the glaciers that lie on the north sides of Mount Lyell and Mount McClure.	Down through the open sunny meadow levels of the Valley flows the Tuolumne River, fresh and cool from its many glacial fountains, the highest of which are the glaciers that lie on the north sides of Mount Lyell and Mount McClure.	true	162.02	177.25	19
598_127704_000003_000000	Along the river a series of beautiful glacier-meadows extend with but little interruption, from the lower end of the Valley to its head, a distance of about twelve miles, forming charming sauntering-grounds from which the glorious mountains may be enjoyed as they look down in divine serenity over the dark forests that clothe their bases.	Along the river a series of beautiful glacier meadows extend with but little interruption, from the lower end of the Valley to its head, a distance of about twelve miles, forming charming sauntering grounds from which the glorious mountains may be enjoyed as they look down in divine serenity over the dark forests that clothe their bases.	false	178.52	200.89	17
598_127704_000003_000001	Narrow strips of pine woods cross the meadow-carpet from side to side, and it is somewhat roughened here and there by moraine boulders and dead trees brought down from the heights by snow avalanches; but for miles and miles it is so smooth and level that a hundred horsemen may ride abreast over it.	Narrow strips of pine woods cross the meadow carpet from side to side, and it is somewhat roughened here and there by moraine boulders and dead trees brought down from the heights by snow avalanches; but for miles and miles it is so smooth and level that a hundred horsemen may ride abreast over it.	true	202.43	223.54	18
598_127704_000004_000000	The main lower portion of the meadows is about four miles long and from a quarter to half a mile wide, but the width of the Valley is, on an average, about eight miles.	The main lower portion of the meadows is about four miles long and from a quarter to half a mile wide, but the width of the Valley is, on an average, about eight miles.	true	225.26	236.38	19
598_127704_000004_000001	Tracing the river, we find that it forks a mile above the Soda Springs, the main fork turning southward to Mount Lyell, the other eastward to Mount Dana and Mount Gibbs.	Tracing the river, we find that it forks a mile above the Soda Springs, the main fork turning southward to Mount Lyell, the other eastward to Mount Dana and Mount Gibbs.	true	236.99	248.17	20.118382
598_127704_000004_000002	Along both forks strips of meadow extend almost to their heads.	Along both forks strips of meadow extend almost to their heads.	true	249.47	254.53	22
598_127704_000004_000003	The most beautiful portions of the meadows are spread over lake basins, which have been filled up by deposits from the river.	The most beautiful portions of the meadows are spread over lake basins, which have been filled up by deposits from the river.	true	255.05	263.68	23.76258
598_127704_000004_000004	A few of these river-lakes still exist, but they are now shallow and are rapidly approaching extinction. The sod in most places is exceedingly fine and silky and free from weeds and bushes; while charming flowers abound, especially gentians, dwarf daisies, potentillas, and the pink bells of dwarf vaccinium.	A few of these river lakes still exist, but they are now shallow and are rapidly approaching extinction. The sod in most places is exceedingly fine and silky and free from weeds and bushes; while charming flowers abound, especially gentians, dwarf daisies, potentillas, and the pink bells of dwarf vaccinium.	false	263.99	286.3	21
598_127704_000004_000005	On the banks of the river and its tributaries cassiope and bryanthus may be found, where the sod curls over stream banks and around boulders.	On the banks of the river and its tributaries cassiope and bryanthus may be found, where the sod curls over stream banks and around boulders.	true	287.15	296.29	17
598_127704_000004_000006	The principal grass of these meadows is a delicate calamagrostis with very slender filiform leaves, and when it is in flower the ground seems to be covered with a faint purple mist, the stems of the panicles being so fine that they are almost invisible, and offer no appreciable resistance in walking through them.	The principal grass of these meadows is a delicate calamagrostis with very slender filiform leaves, and when it is in flower the ground seems to be covered with a faint purple mist, the stems of the panicles being so fine that they are almost invisible, and offer no appreciable resistance in walking through them.	true	296.72	317.89	21
598_127704_000004_000007	Along the edges of the meadows beneath the pines and throughout the greater part of the Valley tall ribbon-leaved grasses grow in abundance, chiefly bromus, triticum and agrostis.	Along the edges of the meadows beneath the pines and throughout the greater part of the Valley tall ribbon leaved grasses grow in abundance, chiefly bromus, triticum and agrostis.	true	318.62	331.78	22.733028
598_127704_000005_000000	In October the nights are frosty, and then the meadows at sunrise, when every leaf is laden with crystals, are a fine sight.	In October the nights are frosty, and then the meadows at sunrise, when every leaf is laden with crystals, are a fine sight.	true	332.9	343.6	20.827316
598_127704_000005_000001	The days are still warm and calm, and bees and butterflies continue to waver and hum about the late-blooming flowers until the coming of the snow, usually in November.	The days are still warm and calm, and bees and butterflies continue to waver and hum about the late blooming flowers until the coming of the snow, usually in November.	true	344.09	355.9	18
598_127704_000005_000002	Storm then follows storm in quick succession, burying the meadows to a depth of from ten to twenty feet, while magnificent avalanches descend through the forests from the laden heights, depositing huge piles of snow mixed with uprooted trees and boulders.	Storm then follows storm in quick succession, burying the meadows to a depth of from ten to twenty feet, while magnificent avalanches descend through the forests from the laden heights, depositing huge piles of snow mixed with uprooted trees and boulders.	false	356.27	375.51	20.161833
598_127704_000005_000003	In the open sunshine the snow usually lasts until the end of June but the new season's vegetation is not generally in bloom until late in July. Perhaps the best all round excursion-time after winters of average snowfall is from the middle of July to the middle or end of August.	In the open sunshine the snow usually lasts until the end of June but the new season's vegetation is not generally in bloom until late in July. Perhaps the best all round excursion time after winters of average snowfall is from the middle of July to the middle or end of August.	true	375.51	394.75	18
598_127704_000005_000004	The snow is then melted from the woods and southern slopes of the mountains and the meadows and gardens are in their glory, while the weather is mostly all-reviving, exhilarating sunshine.	The snow is then melted from the woods and southern slopes of the mountains and the meadows and gardens are in their glory, while the weather is mostly all reviving, exhilarating sunshine.	true	394.91	407.11	18
598_127704_000005_000005	The few clouds that rise now and then and the showers they yield are only enough to keep everything fresh and fragrant.	The few clouds that rise now and then and the showers they yield are only enough to keep everything fresh and fragrant.	true	407.66	415.18	18
598_127704_000006_000000	The groves about the Soda Springs are favorite camping-grounds on account of the cold, pleasant-tasting water charged with carbonic acid, and because of the views of the mountains across the meadow--the Glacier Monument, Cathedral Peak, Cathedral Spires, Unicorn Peak and a series of ornamental nameless companions, rising in striking forms and nearness above a dense forest growing on the left lateral moraine of the ancient Tuolumne glacier, which, broad, deep, and far-reaching, exerted vast influence on the scenery of this portion of the Sierra.	The groves about the Soda Springs are favorite camping grounds on account of the cold, pleasant tasting water charged with carbonic acid, and because of the views of the mountains across the meadow-the Glacier Monument, Cathedral Peak, Cathedral Spires, Unicorn Peak and a series of ornamental nameless companions, rising in striking forms and nearness above a dense forest growing on the left lateral moraine of the ancient Tuolumne glacier, which, broad, deep, and far reaching, exerted vast influence on the scenery of this portion of the Sierra.	true	416.21	454.99	20.798344
598_127704_000006_000001	But there are fine camping-grounds all along the meadows, and one may move from grove to grove every day all summer, enjoying new homes and new beauty to satisfy every roving desire for change.	But there are fine camping grounds all along the meadows, and one may move from grove to grove every day all summer, enjoying new homes and new beauty to satisfy every roving desire for change.	true	455.51	470.68	18
