2093_143271_000000_000000	CHAPTER THIRTY NINE.	CHAPTER THIRTY NINE.	true	20.805	22.39	21.504616
2093_143271_000001_000000	HOW WE TOOK A LAST LOOK ROUND, AND FOUND IT WAS TIME TO GO.	HOW WE TOOK A LAST LOOK ROUND, AND FOUND IT WAS TIME TO GO.	true	22.76	27.19	18.90763
2093_143271_000002_000000	That next evening seemed as it would never come, and I lay tossing feverishly from side to side vainly trying to obtain the rest my friend recommended.	That next evening seemed as it would never come, and I lay tossing feverishly from side to side vainly trying to obtain the rest my friend recommended.	false	28.67	40.03	18
2093_143271_000003_000000	At last, though, the time came, and we were making our final preparations, when the doctor decided that we would just take a look round first by way of a scout.	At last, though, the time came, and we were making our final preparations, when the doctor decided that we would just take a look round first by way of a scout.	true	40.82	52.21	19.78955
2093_143271_000004_000000	It was fortunate that we did, for just as it was growing dusk, after a good look round we were about to cross the rivulet, and go through the cavern and up the rift back into camp, when I caught the doctor's arm without a word.	It was fortunate that we did, for just as it was growing dusk, after a good look round we were about to cross the rivulet, and go through the cavern and up the rift back into camp, when I caught the doctor's arm without a word.	true	53.06	68.77	18
2093_143271_000005_000000	He started and looked in the same direction as I did which was right down the gully, and saw what had taken my attention, namely, the stooping bodies of a couple of blacks hurrying away through the bushes at a pretty good rate.	He started and looked in the same direction as I did which was right down the gully, and saw what had taken my attention, namely, the stooping bodies of a couple of blacks hurrying away through the bushes at a pretty good rate.	true	69.11	84.25	20
2093_143271_000006_000000	The doctor clapped his piece to his shoulder, and then dropped it once more.	The doctor clapped his piece to his shoulder, and then dropped it once more.	false	84.77	89.47	20
2093_143271_000007_000000	"No!" he said.	"No!" he said.	true	89.96	91.27	20.12095
2093_143271_000007_000001	"I might kill one, but the other would bear the news. Fortunately they are going the other way and not ours.	"I might kill one, but the other would bear the news. Fortunately they are going the other way and not ours.	true	91.4	98.83	18.112455
2093_143271_000007_000002	Quick, my lad! let's get back to camp and start."	Quick, my lad! let's get back to camp and start."	true	99.29	103	18
2093_143271_000008_000000	"And they'll come back with a lot of their warriors to attack us to-night and find us gone!"	"And they'll come back with a lot of their warriors to attack us to night and find us gone!"	true	104.42	109.24	19
2093_143271_000009_000000	"And while they are gone, Joe, we will attack their place and carry off our prize!"	"And while they are gone, Joe, we will attack their place and carry off our prize!"	true	109.58	116.44	19
2093_143271_000010_000000	"If we only could!" I cried fervently.	"If we only could!" I cried fervently.	false	117.11	120.19	20
2093_143271_000011_000000	"No _ifs_, Joe," he said smiling; "we _will_!"	"No underscore ifs underscore, Joe," he said smiling; "we underscore will underscore!"	false	120.65	126	18.260223
2093_143271_000012_000000	It did not take us many minutes to reach the mouth of the cave, and as we entered I looked round again, to catch sight of another black figure crouching far up the opposite bank, at the foot of a great tree.	It did not take us many minutes to reach the mouth of the cave, and as we entered I looked round again, to catch sight of another black figure crouching far up the opposite bank, at the foot of a great tree.	true	126	139.06	19
2093_143271_000013_000000	I did not speak, for it was better that the black should not think he had been seen, so followed the doctor into the cave, climbed the rift with him, and found all ready for the start.	I did not speak, for it was better that the black should not think he had been seen, so followed the doctor into the cave, climbed the rift with him, and found all ready for the start.	false	139.58	152.02	20.30311
2093_143271_000014_000000	"Black fellow all 'bout over there way!" said Jimmy to me in a whisper.	"Black fellow all 'bout over there way!" said Jimmy to me in a whisper.	true	152.87	157.24	16
2093_143271_000015_000000	"How do you know?" I said quickly.	"How do you know?" I said quickly.	true	157.7	159.79	18
2093_143271_000016_000000	"Jimmy smell am!" he replied seriously.	"Jimmy smell am!" he replied seriously.	true	160.04	162.85	18
2093_143271_000016_000001	"Jimmy go look 'bout.	"Jimmy go look 'bout.	true	163.22	164.775	20.086699
2093_143271_000016_000002	Smell um black fellow, one eye peeping round um trees."	Smell um black fellow, one eye peeping round um trees."	true	164.775	168.28	16
2093_143271_000017_000000	"Yes, we have seen them too," I said; and signing to him to follow, I found the doctor.	"Yes, we have seen them too," I said; and signing to him to follow, I found the doctor.	false	168.83	173.95	17
