2004_147981_000000_000000	IX	IX	false	17.22	17.64	-7
2004_147981_000001_000000	THERE was a curious social situation in Black Hawk.	THERE was a curious social situation in Black Hawk.	true	17.64	20.895	22
2004_147981_000001_000001	All the young men felt the attraction of the fine, well-set-up country girls who had come to town to earn a living, and, in nearly every case, to help the father struggle out of debt, or to make it possible for the younger children of the family to go to school.	All the young men felt the attraction of the fine, well set-up country girls who had come to town to earn a living, and, in nearly every case, to help the father struggle out of debt, or to make it possible for the younger children of the family to go to school.	true	20.895	35.56	21.363735
2004_147981_000002_000000	Those girls had grown up in the first bitter-hard times, and had got little schooling themselves.	Those girls had grown up in the first bitter hard times, and had got little schooling themselves.	true	36.35	42.28	23.033754
2004_147981_000002_000001	But the younger brothers and sisters, for whom they made such sacrifices and who have had "advantages," never seem to me, when I meet them now, half as interesting or as well educated.	But the younger brothers and sisters, for whom they made such sacrifices and who have had "advantages," never seem to me, when I meet them now, half as interesting or as well educated.	false	42.62	53.86	21.389383
2004_147981_000002_000002	The older girls, who helped to break up the wild sod, learned so much from life, from poverty, from their mothers and grandmothers; they had all, like Antonia, been early awakened and made observant by coming at a tender age from an old country to a new.	The older girls, who helped to break up the wild sod, learned so much from life, from poverty, from their mothers and grandmothers; they had all, like Antonia, been early awakened and made observant by coming at a tender age from an old country to a new.	true	54.17	70.03	21.784992
2004_147981_000002_000003	I can remember a score of these country girls who were in service in Black Hawk during the few years I lived there, and I can remember something unusual and engaging about each of them.	I can remember a score of these country girls who were in service in Black Hawk during the few years I lived there, and I can remember something unusual and engaging about each of them.	true	71.06	81.4	19
2004_147981_000002_000004	Physically they were almost a race apart, and out-of-door work had given them a vigor which, when they got over their first shyness on coming to town, developed into a positive carriage and freedom of movement, and made them conspicuous among Black Hawk women.	Physically they were almost a race apart, and out of door work had given them a vigor which, when they got over their first shyness on coming to town, developed into a positive carriage and freedom of movement, and made them conspicuous among Black Hawk women.	true	81.86	97.09	23.59752
2004_147981_000003_000000	That was before the day of High-School athletics.	That was before the day of high-school athletics.	true	98.18	100.93	21.049017
2004_147981_000003_000001	Girls who had to walk more than half a mile to school were pitied.	Girls who had to walk more than half a mile to school were pitied.	true	101	104.56	23
2004_147981_000003_000002	There was not a tennis court in the town; physical exercise was thought rather inelegant for the daughters of well-to-do families.	There was not a tennis court in the town; physical exercise was thought rather inelegant for the daughters of well to do families.	true	104.72	111.97	22
2004_147981_000003_000003	Some of the High-School girls were jolly and pretty, but they stayed indoors in winter because of the cold, and in summer because of the heat.	Some of the high-school girls were jolly and pretty, but they stayed indoors in winter because of the cold, and in summer because of the heat.	true	112.4	120.34	23.683174
2004_147981_000003_000004	When one danced with them their bodies never moved inside their clothes; their muscles seemed to ask but one thing--not to be disturbed.	When one danced with them their bodies never moved inside their clothes; their muscles seemed to ask but one thing-not to be disturbed.	true	120.74	129.52	22.68299
2004_147981_000003_000005	I remember those girls merely as faces in the schoolroom, gay and rosy, or listless and dull, cut off below the shoulders, like cherubs, by the ink-smeared tops of the high desks that were surely put there to make us round-shouldered and hollow-chested.	I remember those girls merely as faces in the schoolroom, gay and rosy, or listless and dull, cut off below the shoulders, like cherubs, by the ink smeared tops of the high desks that were surely put there to make us round shouldered and hollow chested.	true	129.8	145.63	22.339731
