2004_147981_000001_000000	THERE was a curious social situation in Black Hawk.	THERE was a curious social situation in Black Hawk.
2004_147981_000001_000001	All the young men felt the attraction of the fine, well-set-up country girls who had come to town to earn a living, and, in nearly every case, to help the father struggle out of debt, or to make it possible for the younger children of the family to go to school.	All the young men felt the attraction of the fine, well set-up country girls who had come to town to earn a living, and, in nearly every case, to help the father struggle out of debt, or to make it possible for the younger children of the family to go to school.
2004_147981_000002_000000	Those girls had grown up in the first bitter-hard times, and had got little schooling themselves.	Those girls had grown up in the first bitter hard times, and had got little schooling themselves.
2004_147981_000002_000002	The older girls, who helped to break up the wild sod, learned so much from life, from poverty, from their mothers and grandmothers; they had all, like Antonia, been early awakened and made observant by coming at a tender age from an old country to a new.	The older girls, who helped to break up the wild sod, learned so much from life, from poverty, from their mothers and grandmothers; they had all, like Antonia, been early awakened and made observant by coming at a tender age from an old country to a new.
2004_147981_000002_000004	Physically they were almost a race apart, and out-of-door work had given them a vigor which, when they got over their first shyness on coming to town, developed into a positive carriage and freedom of movement, and made them conspicuous among Black Hawk women.	Physically they were almost a race apart, and out of door work had given them a vigor which, when they got over their first shyness on coming to town, developed into a positive carriage and freedom of movement, and made them conspicuous among Black Hawk women.
2004_147981_000003_000000	That was before the day of High-School athletics.	That was before the day of high-school athletics.
2004_147981_000003_000001	Girls who had to walk more than half a mile to school were pitied.	Girls who had to walk more than half a mile to school were pitied.
2004_147981_000003_000002	There was not a tennis court in the town; physical exercise was thought rather inelegant for the daughters of well-to-do families.	There was not a tennis court in the town; physical exercise was thought rather inelegant for the daughters of well to do families.
2004_147981_000003_000003	Some of the High-School girls were jolly and pretty, but they stayed indoors in winter because of the cold, and in summer because of the heat.	Some of the high-school girls were jolly and pretty, but they stayed indoors in winter because of the cold, and in summer because of the heat.
2004_147981_000003_000004	When one danced with them their bodies never moved inside their clothes; their muscles seemed to ask but one thing--not to be disturbed.	When one danced with them their bodies never moved inside their clothes; their muscles seemed to ask but one thing-not to be disturbed.
2004_147981_000003_000005	I remember those girls merely as faces in the schoolroom, gay and rosy, or listless and dull, cut off below the shoulders, like cherubs, by the ink-smeared tops of the high desks that were surely put there to make us round-shouldered and hollow-chested.	I remember those girls merely as faces in the schoolroom, gay and rosy, or listless and dull, cut off below the shoulders, like cherubs, by the ink smeared tops of the high desks that were surely put there to make us round shouldered and hollow chested.
2004_147981_000004_000000	The daughters of Black Hawk merchants had a confident, uninquiring belief that they were "refined," and that the country girls, who "worked out," were not.	The daughters of Black Hawk merchants had a confident, uninquiring belief that they were "refined," and that the country girls, who "worked out," were not.
2004_147981_000004_000001	The American farmers in our county were quite as hard-pressed as their neighbors from other countries.	The American farmers in our county were quite as hard pressed as their neighbors from other countries.
2004_147981_000004_000002	All alike had come to Nebraska with little capital and no knowledge of the soil they must subdue.	All alike had come to Nebraska with little capital and no knowledge of the soil they must subdue.
2004_147981_000004_000003	All had borrowed money on their land.	All had borrowed money on their land.
2004_147981_000004_000004	But no matter in what straits the Pennsylvanian or Virginian found himself, he would not let his daughters go out into service.	But no matter in what straits the Pennsylvanian or Virginian found himself, he would not let his daughters go out into service.
2004_147981_000004_000005	Unless his girls could teach a country school, they sat at home in poverty.	Unless his girls could teach a country school, they sat at home in poverty.
2004_147981_000004_000007	Determined to help in the struggle to clear the homestead from debt, they had no alternative but to go into service.	Determined to help in the struggle to clear the homestead from debt, they had no alternative but to go into service.
2004_147981_000004_000009	Others, like the three Bohemian Marys, tried to make up for the years of youth they had lost.	Others, like the three Bohemian Marys, tried to make up for the years of youth they had lost.
2004_147981_000004_000010	But every one of them did what she had set out to do, and sent home those hard-earned dollars.	But every one of them did what she had set out to do, and sent home those hard earned dollars.
2004_147981_000005_000000	One result of this family solidarity was that the foreign farmers in our county were the first to become prosperous.	One result of this family solidarity was that the foreign farmers in our county were the first to become prosperous.
2004_147981_000005_000001	After the fathers were out of debt, the daughters married the sons of neighbors,--usually of like nationality,--and the girls who once worked in Black Hawk kitchens are to-day managing big farms and fine families of their own; their children are better off than the children of the town women they used to serve.	After the fathers were out of debt, the daughters married the sons of neighbors,--usually of like nationality,--and the girls who once worked in Black Hawk kitchens are to day managing big farms and fine families of their own; their children are better off than the children of the town women they used to serve.
2004_147981_000006_000001	What did it matter?	What did it matter?
2004_147981_000006_000002	All foreigners were ignorant people who could n't speak English. There was not a man in Black Hawk who had the intelligence or cultivation, much less the personal distinction, of Antonia's father.	All foreigners were ignorant people who could n't speak English. There was not a man in Black Hawk who had the intelligence or cultivation, much less the personal distinction, of Antonia's father.
2004_147981_000007_000000	I always knew I should live long enough to see my country girls come into their own, and I have.	I always knew I should live long enough to see my country girls come into their own, and I have.
2004_147981_000007_000001	To-day the best that a harassed Black Hawk merchant can hope for is to sell provisions and farm machinery and automobiles to the rich farms where that first crop of stalwart Bohemian and Scandinavian girls are now the mistresses.	To day the best that a harassed Black Hawk merchant can hope for is to sell provisions and farm machinery and automobiles to the rich farms where that first crop of stalwart Bohemian and Scandinavian girls are now the mistresses.
2004_147981_000008_000000	The Black Hawk boys looked forward to marrying Black Hawk girls, and living in a brand-new little house with best chairs that must not be sat upon, and hand-painted china that must not be used.	The Black Hawk boys looked forward to marrying Black Hawk girls, and living in a brand new little house with best chairs that must not be sat upon, and hand painted china that must not be used.
