6215_68888_000000_000000	I am glad that I have always remembered that day of family consecration.	I am glad that I have always remembered that day of family consecration.	false	0	2.01	19.211954
6215_68888_000000_000001	As I look back, it seems as if the horizons of heaven and earth met and were blended then.	As I look back, it seems as if the horizons of heaven and earth met and were blended then.	false	2.01	6.93	20.542582
6215_68888_000000_000002	And who can tell whether the fragrance of that day's atmosphere may not enter into the freshness of some new childhood in the life which is to come?	And who can tell whether the fragrance of that day's atmosphere may not enter into the freshness of some new childhood in the life which is to come?	false	6.93	16.71	19.128113
6215_68888_000001_000000	III.	three.	true	16.71	17.175	22
6215_68888_000002_000000	THE HYMN-BOOK.	THE HYMN BOOK.	true	17.175	18.22	22.955158
6215_68888_000003_000000	ALMOST the first decided taste in my life was the love of hymns. Committing them to memory was as natural to me as breathing.	ALMOST the first decided taste in my life was the love of hymns. Committing them to memory was as natural to me as breathing.	true	18.98	27.34	22.487822
6215_68888_000003_000001	I followed my mother about with the hymn-book ("Watts' and Select"), reading or repeating them to her, while she was busy with her baking or ironing, and she was always a willing listener.	I followed my mother about with the hymn book ("Watts' and Select"), reading or repeating them to her, while she was busy with her baking or ironing, and she was always a willing listener.	true	27.68	38.83	20.378881
6215_68888_000003_000002	She was fond of devotional reading, but had little time for it, and it pleased her to know that so small a child as I really cared for the hymns she loved.	She was fond of devotional reading, but had little time for it, and it pleased her to know that so small a child as I really cared for the hymns she loved.	false	38.99	48.04	20.321712
6215_68888_000004_000000	I learned most of them at meeting.	I learned most of them at meeting.	true	49.43	51.61	18.573866
6215_68888_000004_000001	I was told to listen to the minister; but as I did not understand a word he was saying, I gave it up, and took refuge in the hymn-book, with the conscientious purpose of trying to sit still.	I was told to listen to the minister; but as I did not understand a word he was saying, I gave it up, and took refuge in the hymn book, with the conscientious purpose of trying to sit still.	false	51.8	63.04	20.237186
6215_68888_000004_000002	I turned the leaves over as noiselessly as possible, to avoid the dreaded reproof of my mother's keen blue eyes; and sometimes I learned two or three hymns in a forenoon or an afternoon.	I turned the leaves over as noiselessly as possible, to avoid the dreaded reproof of my mother's keen blue eyes; and sometimes I learned two or three hymns in a forenoon or an afternoon.	true	63.8	75.13	19.085825
6215_68888_000004_000003	Finding it so easy, I thought I would begin at the beginning, and learn the whole.	Finding it so easy, I thought I would begin at the beginning, and learn the whole.	true	75.68	80.26	20.441986
6215_68888_000004_000004	There were about a thousand of them included in the Psalms, the First, Second, and Third Books, and the Select Hymns.	There were about a thousand of them included in the Psalms, the First, Second, and Third Books, and the Select Hymns.	true	80.45	86.71	19.930979
6215_68888_000004_000005	But I had learned to read before I had any knowledge of counting up numbers, and so was blissfully ignorant of the magnitude of my undertaking.	But I had learned to read before I had any knowledge of counting up numbers, and so was blissfully ignorant of the magnitude of my undertaking.	true	87.32	94.72	18.720638
6215_68888_000004_000006	I did not, I think, change my resolution because there were so many, but because, little as I was, I discovered that there were hymns and hymns.	I did not, I think, change my resolution because there were so many, but because, little as I was, I discovered that there were hymns and hymns.	true	95.18	104.74	20.568853
6215_68888_000004_000007	Some of them were so prosy that the words would not stay in my memory at all, so I concluded that I would learn only those I liked.	Some of them were so prosy that the words would not stay in my memory at all, so I concluded that I would learn only those I liked.	true	105.11	113.32	19.825218
6215_68888_000005_000000	I had various reasons for my preferences.	I had various reasons for my preferences.	true	115.19	117.7	18.537611
6215_68888_000005_000001	With some, I was caught by a melodious echo, or a sonorous ring; with others by the hint of a picture, or a story, or by some sacred suggestion that attracted me, I knew not why.	With some, I was caught by a melodious echo, or a sonorous ring; with others by the hint of a picture, or a story, or by some sacred suggestion that attracted me, I knew not why.	false	118.04	131.58	19.92769
6215_68888_000005_000002	Of some I was fond just because I misunderstood them; and of these I made a free version in my mind, as I murmured them over.	Of some I was fond just because I misunderstood them; and of these I made a free version in my mind, as I murmured them over.	true	131.58	139.93	19
