7833_102239_000000_000000	CHAPTER IX	CHAPTER nine	false	0	25.8	23.353811
7833_102239_000001_000000	COLLAPSE OF THE SYSTEM	COLLAPSE OF THE SYSTEM	true	25.8	27.43	28
7833_102239_000002_000000	Mr. Lincoln had made thus far very little money--nothing more, in fact, than a subsistence of the most modest character.	mr Lincoln had made thus far very little money-nothing more, in fact, than a subsistence of the most modest character.	true	28.79	35.95	22.63777
7833_102239_000002_000001	But he had made some warm friends, and this meant much among the early Illinoisans.	But he had made some warm friends, and this meant much among the early Illinoisans.	true	36.56	41.23	21
7833_102239_000002_000002	He had become intimately acquainted, at Vandalia, with William Butler, who was greatly interested in the removal of the capital to Springfield, and who urged the young legislator to take up his residence at the new seat of government.	He had become intimately acquainted, at Vandalia, with William Butler, who was greatly interested in the removal of the capital to Springfield, and who urged the young legislator to take up his residence at the new seat of government.	false	41.78	53.83	22.644625
7833_102239_000002_000003	Lincoln readily fell in with this suggestion, and accompanied his friend home when the Legislature adjourned, sharing the lodging of Joshua F. Speed, a young Kentucky merchant, and taking his meals at the house of Mr. Butler for several years.	Lincoln readily fell in with this suggestion, and accompanied his friend home when the Legislature adjourned, sharing the lodging of joshua f Speed, a young Kentucky merchant, and taking his meals at the house of mr Butler for several years.	false	54.5	68.55	23.492428
7833_102239_000003_000000	[Sidenote: "Sangamon Journal," November 7, 1835.]	[Sidenote: "Sangamon Journal," november seventh eighteen thirty five.]	false	68.55	68.82	-20
7833_102239_000004_000000	[Sidenote: Reynolds, "Life and Times" p. 237.]	[Sidenote: Reynolds, "Life and Times" p. two hundred thirty seven.]	false	68.82	69.18	-20
7833_102239_000005_000000	In this way began Mr. Lincoln's residence in Springfield, where he was to remain until called to one of the highest of destinies intrusted to men, and where his ashes were to rest forever in monumental marble.	In this way began mr Lincoln's residence in Springfield, where he was to remain until called to one of the highest of destinies intrusted to men, and where his ashes were to rest forever in monumental marble.	true	69.18	80.29	21.387033
7833_102239_000005_000001	It would have seemed a dreary village to any one accustomed to the world, but in a letter written about this time, Lincoln speaks of it as a place where there was a "good deal of flourishing about in carriages" --a town of some pretentious to elegance.	It would have seemed a dreary village to any one accustomed to the world, but in a letter written about this time, Lincoln speaks of it as a place where there was a "good deal of flourishing about in carriages" --a town of some pretentious to elegance.	false	80.84	94.15	23.571451
7833_102239_000005_000002	It had a population of 1500. The county contained nearly 18,000 souls, of whom 78 were free negroes, 20 registered indentured servants, and six slaves.	It had a population of fifteen hundred. The county contained nearly eighteen thousand souls, of whom seventy eight were free negroes, twenty registered indentured servants, and six slaves.	true	94.7	106.15	25.736681
7833_102239_000005_000003	Scarcely a perceptible trace of color, one would say, yet we find in the Springfield paper a leading article beginning with the startling announcement, "Our State is threatened to be overrun with free negroes." The county was one of the richest in Illinois, possessed of a soil of inexhaustible fertility, and divided to the best advantage between prairie and forest.	Scarcely a perceptible trace of color, one would say, yet we find in the Springfield paper a leading article beginning with the startling announcement, "Our State is threatened to be overrun with free negroes." The county was one of the richest in Illinois, possessed of a soil of inexhaustible fertility, and divided to the best advantage between prairie and forest.	true	106.52	126.82	22.74372
7833_102239_000005_000004	It was settled early in the history of the State, and the country was held in high esteem by the aborigines.	It was settled early in the history of the State, and the country was held in high esteem by the aborigines.	true	127.13	132.64	21.040144
7833_102239_000005_000005	The name of Sangamon is said to mean in the Pottawatomie language "land of plenty." Its citizens were of an excellent class of people, a large majority of them from Kentucky, though representatives were not wanting from the Eastern States, men of education and character.	The name of Sangamon is said to mean in the Pottawatomie language "land of plenty." Its citizens were of an excellent class of people, a large majority of them from Kentucky, though representatives were not wanting from the Eastern States, men of education and character.	false	133.1	149.23	21.236841
