7833_102239_000001_000000	COLLAPSE OF THE SYSTEM	COLLAPSE OF THE SYSTEM
7833_102239_000002_000000	Mr. Lincoln had made thus far very little money--nothing more, in fact, than a subsistence of the most modest character.	mr Lincoln had made thus far very little money-nothing more, in fact, than a subsistence of the most modest character.
7833_102239_000002_000001	But he had made some warm friends, and this meant much among the early Illinoisans.	But he had made some warm friends, and this meant much among the early Illinoisans.
7833_102239_000005_000000	In this way began Mr. Lincoln's residence in Springfield, where he was to remain until called to one of the highest of destinies intrusted to men, and where his ashes were to rest forever in monumental marble.	In this way began mr Lincoln's residence in Springfield, where he was to remain until called to one of the highest of destinies intrusted to men, and where his ashes were to rest forever in monumental marble.
7833_102239_000005_000002	It had a population of 1500. The county contained nearly 18,000 souls, of whom 78 were free negroes, 20 registered indentured servants, and six slaves.	It had a population of fifteen hundred. The county contained nearly eighteen thousand souls, of whom seventy eight were free negroes, twenty registered indentured servants, and six slaves.
7833_102239_000005_000003	Scarcely a perceptible trace of color, one would say, yet we find in the Springfield paper a leading article beginning with the startling announcement, "Our State is threatened to be overrun with free negroes." The county was one of the richest in Illinois, possessed of a soil of inexhaustible fertility, and divided to the best advantage between prairie and forest.	Scarcely a perceptible trace of color, one would say, yet we find in the Springfield paper a leading article beginning with the startling announcement, "Our State is threatened to be overrun with free negroes." The county was one of the richest in Illinois, possessed of a soil of inexhaustible fertility, and divided to the best advantage between prairie and forest.
7833_102239_000005_000004	It was settled early in the history of the State, and the country was held in high esteem by the aborigines.	It was settled early in the history of the State, and the country was held in high esteem by the aborigines.
7833_102239_000006_000000	There had been very little of what might be called pioneer life in Springfield.	There had been very little of what might be called pioneer life in Springfield.
7833_102239_000006_000001	Civilization came in with a reasonably full equipment at the beginning.	Civilization came in with a reasonably full equipment at the beginning.
7833_102239_000006_000003	With a population like this, the town had, from the beginning, a more settled and orderly type than was usual in the South and West.	With a population like this, the town had, from the beginning, a more settled and orderly type than was usual in the South and West.
7833_102239_000009_000000	The taste for civilization had sometimes a whimsical manifestation. Mr. Stuart said the members of the Legislature bitterly complained of the amount of game--venison and grouse of the most delicious quality-- which was served them at the taverns in Vandalia; they clamored for bacon--they were starving, they said, "for something civilized." There was plenty of civilized nourishment in Springfield.	The taste for civilization had sometimes a whimsical manifestation. mr Stuart said the members of the Legislature bitterly complained of the amount of game-venison and grouse of the most delicious quality- which was served them at the taverns in Vandalia; they clamored for bacon-they were starving, they said, "for something civilized." There was plenty of civilized nourishment in Springfield.
7833_102239_000009_000001	Wheat was fifty cents a bushel, rye thirty-three; corn and oats were twenty-five, potatoes twenty-five; butter was eight cents a pound, and eggs were eight cents a dozen; pork was two and a half cents a pound.	Wheat was fifty cents a bushel, rye thirty three; corn and oats were twenty five, potatoes twenty five; butter was eight cents a pound, and eggs were eight cents a dozen; pork was two and a half cents a pound.
7833_102239_000010_000000	The town was built on the edge of the woods, the north side touching the timber, the south encroaching on the prairie.	The town was built on the edge of the woods, the north side touching the timber, the south encroaching on the prairie.
7833_102239_000010_000001	The richness of the soil was seen in the mud of the streets, black as ink, and of an unfathomable depth in time of thaw.	The richness of the soil was seen in the mud of the streets, black as ink, and of an unfathomable depth in time of thaw.
7833_102239_000011_000000	Lincoln did not gain any immediate eminence at the bar.	Lincoln did not gain any immediate eminence at the bar.
7833_102239_000011_000001	His preliminary studies had been cursory and slight, and Stuart was then too much engrossed in politics to pay the unremitting attention to the law which that jealous mistress requires.	His preliminary studies had been cursory and slight, and Stuart was then too much engrossed in politics to pay the unremitting attention to the law which that jealous mistress requires.
7833_102239_000011_000002	He had been a candidate for Congress the year before, and had been defeated by W. L. May.	He had been a candidate for Congress the year before, and had been defeated by w l May.
7833_102239_000011_000003	He was a candidate again in 1838, and was elected over so agile an adversary as Stephen Arnold Douglas.	He was a candidate again in eighteen thirty eight, and was elected over so agile an adversary as Stephen Arnold Douglas.
7833_102239_000011_000004	His paramount interest in these canvasses necessarily prevented him from setting to his junior partner the example which Lincoln so greatly needed, of close and steady devotion to their profession.	His paramount interest in these canvasses necessarily prevented him from setting to his junior partner the example which Lincoln so greatly needed, of close and steady devotion to their profession.
7833_102239_000011_000005	It was several years later that Lincoln found with Judge Logan the companionship and inspiration which he required, and began to be really a lawyer.	It was several years later that Lincoln found with Judge Logan the companionship and inspiration which he required, and began to be really a lawyer.
7833_102239_000011_000006	During the first year or two he is principally remembered in Springfield as an excellent talker, the life and soul of the little gatherings about the county offices, a story- teller of the first rank, a good-natured, friendly fellow whom everybody liked and trusted.	During the first year or two he is principally remembered in Springfield as an excellent talker, the life and soul of the little gatherings about the county offices, a story teller of the first rank, a good-natured, friendly fellow whom everybody liked and trusted.
7833_102239_000012_000000	Lincoln was not yet done with Vandalia, its dinners of game, and its political intrigue.	Lincoln was not yet done with Vandalia, its dinners of game, and its political intrigue.
7833_102239_000012_000001	The archives of the State were not removed to Springfield until 1839, and Lincoln remained a member of the Legislature by successive reelections from 1834 to 1842.	The archives of the State were not removed to Springfield until eighteen thirty nine, and Lincoln remained a member of the Legislature by successive reelections from eighteen thirty four to eighteen forty two.
7833_102239_000012_000002	His campaigns were carried on almost entirely without expense.	His campaigns were carried on almost entirely without expense.
7833_102239_000012_000003	Joshua Speed told the writers that on one occasion some of the Whigs contributed a purse of two hundred dollars which Speed handed to Lincoln to pay his personal expenses in the canvass.	joshua Speed told the writers that on one occasion some of the Whigs contributed a purse of two hundred dollars which Speed handed to Lincoln to pay his personal expenses in the canvass.
7833_102239_000012_000004	After the election was over, the successful candidate handed Speed $199.25, with the request that he return it to the subscribers.	After the election was over, the successful candidate handed Speed one hundred ninety nine dollars and twenty five cents, with the request that he return it to the subscribers.
7833_102239_000012_000005	"I did not need the money," he said.	"I did not need the money," he said.
7833_102239_000012_000006	"I made the canvass on my own horse; my entertainment, being at the houses of friends, cost me nothing; and my only outlay was seventy-five cents for a barrel of cider, which some farm-hands insisted I should treat them to." He was called down to Vandalia in the summer of 1837, by a special session of the Legislature.	"I made the canvass on my own horse; my entertainment, being at the houses of friends, cost me nothing; and my only outlay was seventy five cents for a barrel of cider, which some farm hands insisted I should treat them to." He was called down to Vandalia in the summer of eighteen thirty seven, by a special session of the Legislature.
7833_102239_000012_000007	The magnificent schemes of the foregoing winter required some repairing.	The magnificent schemes of the foregoing winter required some repairing.
7833_102239_000012_000008	The banks throughout the United States had suspended specie payments in the spring, and as the State banks in Illinois were the fiscal agents of the railroads and canals, the Governor called upon the law-makers to revise their own work, to legalize the suspension, and bring their improvement system within possible bounds.	The banks throughout the United States had suspended specie payments in the spring, and as the State banks in Illinois were the fiscal agents of the railroads and canals, the Governor called upon the law makers to revise their own work, to legalize the suspension, and bring their improvement system within possible bounds.
7833_102239_000012_000009	They acted as might have been expected: complied with the former suggestion, but flatly refused to touch their masterpiece.	They acted as might have been expected: complied with the former suggestion, but flatly refused to touch their masterpiece.
7833_102239_000012_000010	They had been glorifying their work too energetically to destroy it in its infancy.	They had been glorifying their work too energetically to destroy it in its infancy.
7833_102239_000012_000013	The whole State was excited to the highest pitch of frenzy and expectation.	The whole State was excited to the highest pitch of frenzy and expectation.
7833_102239_000012_000014	Money was as plenty as dirt. Industry, instead of being stimulated, actually languished.	Money was as plenty as dirt. Industry, instead of being stimulated, actually languished.
7833_102239_000012_000015	We exported nothing," says Governor Ford, "and everything from abroad was paid for by the borrowed money expended among us." Not only upon the railroads, but on the canal as well, the work was begun on a magnificent scale.	We exported nothing," says Governor Ford, "and everything from abroad was paid for by the borrowed money expended among us." Not only upon the railroads, but on the canal as well, the work was begun on a magnificent scale.
