7945_112011_000002_000000	CHAPTER IV	CHAPTER four
7945_112011_000003_000000	The table was set on the terrace; breakfast was served and the company was gathered.	The table was set on the terrace; breakfast was served and the company was gathered.
7945_112011_000003_000002	There were four persons present, though there should have been five.	There were four persons present, though there should have been five.
7945_112011_000003_000003	The two guests were an Englishman and his wife, whom the chances of travel had brought over night to Valedolmo.	The two guests were an Englishman and his wife, whom the chances of travel had brought over night to Valedolmo.
7945_112011_000004_000003	This morning she was very business-like in her short skirt, belted jacket, and green felt Alpine hat with a feather in the side.	This morning she was very business like in her short skirt, belted jacket, and green felt Alpine hat with a feather in the side.
7945_112011_000005_000003	Her father had finished his egg and hers too, before she appeared, as nonchalant and smiling as if she were out the earliest of all.	Her father had finished his egg and hers too, before she appeared, as nonchalant and smiling as if she were out the earliest of all.
7945_112011_000008_000000	'I am sorry not to wear my own Alpine hat, Aunt Hazel; I look so deliciously German in it, but I simply can't afford to burn all the skin off my nose.'	'I am sorry not to wear my own Alpine hat, Aunt Hazel; I look so deliciously German in it, but I simply can't afford to burn all the skin off my nose.'
7945_112011_000009_000000	'You can't make us believe that,' said her father.	'You can't make us believe that,' said her father.
7945_112011_000009_000001	'The reason is, that Lieutenant di Ferara and Captain Coroloni are going with us to-day, and that this hat is more becoming than the other.'	'The reason is, that Lieutenant di Ferara and Captain Coroloni are going with us to day, and that this hat is more becoming than the other.'
7945_112011_000012_000000	'And the driver?'	'And the driver?'
7945_112011_000013_000001	There are two of him.'	There are two of him.'
7945_112011_000014_000001	I only ordered one.'	I only ordered one.'
7945_112011_000016_000000	Constance eyed her father sharply.	Constance eyed her father sharply.
7945_112011_000016_000001	There was something at once guilty and triumphant about his expression.	There was something at once guilty and triumphant about his expression.
7945_112011_000019_000000	'Really?	'Really?
7945_112011_000020_000000	'I don't know about his Italian, but he talks uncommonly good English.'	'I don't know about his Italian, but he talks uncommonly good English.'
7945_112011_000021_000000	'English!' There was reproach, disgust, disillusionment, in her tone. 'Not really, father?'	'English!' There was reproach, disgust, disillusionment, in her tone. 'Not really, father?'
