7945_112011_000000_000000	At the gate the young man paused to light another cigarette.	At the gate the young man paused to light another cigarette.	false	6.15	11.13	19.106043
7945_112011_000001_000000	'_Addio_, Gustavo,' he called over his shoulder, '_don't_ forget the earrings!'	'underscore Addio underscore, Gustavo,' he called over his shoulder, 'underscore don't underscore forget the earrings!'	false	11.13	18.585	21.116344
7945_112011_000002_000000	CHAPTER IV	CHAPTER four	true	18.585	19.78	21.557678
7945_112011_000003_000000	The table was set on the terrace; breakfast was served and the company was gathered.	The table was set on the terrace; breakfast was served and the company was gathered.	true	20.48	25.54	20.74551
7945_112011_000003_000001	Breakfast consisted of the usual caffe-latte, rolls and strained honey, and--since a journey was to the fore and something sustaining needed--a soft-boiled egg apiece.	Breakfast consisted of the usual caffe latte, rolls and strained honey, and-since a journey was to the fore and something sustaining needed-a soft boiled egg apiece.	true	25.82	37	19
7945_112011_000003_000002	There were four persons present, though there should have been five.	There were four persons present, though there should have been five.	true	37.49	40.9	20.481236
7945_112011_000003_000003	The two guests were an Englishman and his wife, whom the chances of travel had brought over night to Valedolmo.	The two guests were an Englishman and his wife, whom the chances of travel had brought over night to Valedolmo.	true	40.97	47.41	20.310354
7945_112011_000004_000000	Between them, presiding over the coffee machine, was Mr. Wilder's sister, 'Miss Hazel'--never 'Miss Wilder' except to the butcher and baker.	Between them, presiding over the coffee machine, was mr Wilder's sister, 'Miss Hazel'--never 'Miss Wilder' except to the butcher and baker.	true	47.9	56.65	19.429766
7945_112011_000004_000001	It was the cross of her life, she had always affirmed, that her name was not Mary or Jane or Rebecca. 'Hazel' does well enough when one is eighteen and beautiful, but when one is fifty and no longer beautiful, it is little short of absurd.	It was the cross of her life, she had always affirmed, that her name was not Mary or Jane or Rebecca. 'Hazel' does well enough when one is eighteen and beautiful, but when one is fifty and no longer beautiful, it is little short of absurd.	true	56.93	71.8	18.532127
7945_112011_000004_000002	But if any one at fifty could carry such a name gracefully, it was Miss Hazel Wilder; her fifty years sat as jauntily as Constance's twenty-two.	But if any one at fifty could carry such a name gracefully, it was Miss Hazel Wilder; her fifty years sat as jauntily as Constance's twenty two.	true	72.02	81.73	19.766073
7945_112011_000004_000003	This morning she was very business-like in her short skirt, belted jacket, and green felt Alpine hat with a feather in the side.	This morning she was very business like in her short skirt, belted jacket, and green felt Alpine hat with a feather in the side.	true	82.31	90.28	20.811222
7945_112011_000004_000004	No one would mistake her for a cyclist or a golfer or a motorist or anything in the world but an Alpine climber; whatever Miss Hazel was or was not, she was always _game_.	No one would mistake her for a cyclist or a golfer or a motorist or anything in the world but an Alpine climber; whatever Miss Hazel was or was not, she was always underscore game underscore.	false	90.47	102.21	19.713934
