3328_168638_000000_000000	When darkness came on, he descended and carefully scrutinized both sides of the boulevard.	When darkness came on, he descended and carefully scrutinized both sides of the boulevard.	false	2.73	11.94	21.37832
3328_168638_000000_000001	He saw no one.	He saw no one.	false	11.94	12.54	10
3328_168638_000000_000002	The boulevard appeared to be absolutely deserted.	The boulevard appeared to be absolutely deserted.	false	12.54	15.81	20
3328_168638_000000_000003	It is true that a person can conceal himself behind trees.	It is true that a person can conceal himself behind trees.	false	15.81	20.13	24.228062
3328_168638_000001_000000	He went up stairs again.	He went up stairs again.	false	20.13	22.11	26.42499
3328_168638_000002_000000	"Come." he said to Cosette.	"Come." he said to Cosette.	false	22.11	23.55	10
3328_168638_000003_000000	He took her by the hand, and they both went out.	He took her by the hand, and they both went out.	false	23.55	25.83	19
3328_168638_000004_000000	BOOK FIFTH.--FOR A BLACK HUNT, A MUTE PACK	BOOK FIFTH.--FOR A BLACK HUNT, A MUTE PACK	false	25.83	31.23	19.560263
3328_168638_000005_000000	CHAPTER I--THE ZIGZAGS OF STRATEGY	CHAPTER one-THE ZIGZAGS OF STRATEGY	true	31.23	35.17	21.812243
3328_168638_000006_000000	An observation here becomes necessary, in view of the pages which the reader is about to peruse, and of others which will be met with further on.	An observation here becomes necessary, in view of the pages which the reader is about to peruse, and of others which will be met with further on.	true	35.96	44.65	13
3328_168638_000007_000000	The author of this book, who regrets the necessity of mentioning himself, has been absent from Paris for many years.	The author of this book, who regrets the necessity of mentioning himself, has been absent from Paris for many years.	true	45.26	52.36	20
3328_168638_000007_000001	Paris has been transformed since he quitted it.	Paris has been transformed since he quitted it.	true	52.64	55.78	20.17499
3328_168638_000007_000002	A new city has arisen, which is, after a fashion, unknown to him.	A new city has arisen, which is, after a fashion, unknown to him.	true	56.12	61.24	19.580431
3328_168638_000007_000003	There is no need for him to say that he loves Paris: Paris is his mind's natal city.	There is no need for him to say that he loves Paris: Paris is his mind's natal city.	true	61.52	68.11	20
3328_168638_000007_000004	In consequence of demolitions and reconstructions, the Paris of his youth, that Paris which he bore away religiously in his memory, is now a Paris of days gone by.	In consequence of demolitions and reconstructions, the Paris of his youth, that Paris which he bore away religiously in his memory, is now a Paris of days gone by.	true	68.9	80.86	17
3328_168638_000007_000005	He must be permitted to speak of that Paris as though it still existed.	He must be permitted to speak of that Paris as though it still existed.	true	81.62	85.75	22
3328_168638_000007_000006	It is possible that when the author conducts his readers to a spot and says, "In such a street there stands such and such a house," neither street nor house will any longer exist in that locality.	It is possible that when the author conducts his readers to a spot and says, "In such a street there stands such and such a house," neither street nor house will any longer exist in that locality.	false	86.21	99.28	15
3328_168638_000007_000007	Readers may verify the facts if they care to take the trouble.	Readers may verify the facts if they care to take the trouble.	true	99.65	103.63	18.010399
3328_168638_000007_000008	For his own part, he is unacquainted with the new Paris, and he writes with the old Paris before his eyes in an illusion which is precious to him.	For his own part, he is unacquainted with the new Paris, and he writes with the old Paris before his eyes in an illusion which is precious to him.	true	103.91	113.74	19
3328_168638_000007_000009	It is a delight to him to dream that there still lingers behind him something of that which he beheld when he was in his own country, and that all has not vanished. So long as you go and come in your native land, you imagine that those streets are a matter of indifference to you; that those windows, those roofs, and those doors are nothing to you; that those walls are strangers to you; that those trees are merely the first encountered haphazard; that those houses, which you do not enter, are useless to you; that the pavements which you tread are merely stones.	It is a delight to him to dream that there still lingers behind him something of that which he beheld when he was in his own country, and that all has not vanished. So long as you go and come in your native land, you imagine that those streets are a matter of indifference to you; that those windows, those roofs, and those doors are nothing to you; that those walls are strangers to you; that those trees are merely the first encountered haphazard; that those houses, which you do not enter, are useless to you; that the pavements which you tread are merely stones.	false	114.71	151.24	18
3328_168638_000007_000010	Later on, when you are no longer there, you perceive that the streets are dear to you; that you miss those roofs, those doors; and that those walls are necessary to you, those trees are well beloved by you; that you entered those houses which you never entered, every day, and that you have left a part of your heart, of your blood, of your soul, in those pavements. All those places which you no longer behold, which you may never behold again, perchance, and whose memory you have cherished, take on a melancholy charm, recur to your mind with the melancholy of an apparition, make the holy land visible to you, and are, so to speak, the very form of France, and you love them; and you call them up as they are, as they were, and you persist in this, and you will submit to no change: for you are attached to the figure of your fatherland as to the face of your mother.	Later on, when you are no longer there, you perceive that the streets are dear to you; that you miss those roofs, those doors; and that those walls are necessary to you, those trees are well beloved by you; that you entered those houses which you never entered, every day, and that you have left a part of your heart, of your blood, of your soul, in those pavements. All those places which you no longer behold, which you may never behold again, perchance, and whose memory you have cherished, take on a melancholy charm, recur to your mind with the melancholy of an apparition, make the holy land visible to you, and are, so to speak, the very form of France, and you love them; and you call them up as they are, as they were, and you persist in this, and you will submit to no change: for you are attached to the figure of your fatherland as to the face of your mother.	false	152	211.15	18.795689
3328_168638_000008_000000	May we, then, be permitted to speak of the past in the present?	May we, then, be permitted to speak of the past in the present?	true	212.27	216.19	21
3328_168638_000008_000001	That said, we beg the reader to take note of it, and we continue.	That said, we beg the reader to take note of it, and we continue.	true	216.53	221.38	20.306234
3328_168638_000009_000000	Jean Valjean instantly quitted the boulevard and plunged into the streets, taking the most intricate lines which he could devise, returning on his track at times, to make sure that he was not being followed.	Jean Valjean instantly quitted the boulevard and plunged into the streets, taking the most intricate lines which he could devise, returning on his track at times, to make sure that he was not being followed.	true	222.08	236.43	21.35525
3328_168638_000010_000000	[Illustration: The Black Hunt 2b5-1-black-hunt]	[Illustration: The Black Hunt two b five to one-black hunt]	false	236.43	237.06	-4
3328_168638_000011_000000	This manoeuvre is peculiar to the hunted stag.	This manoeuvre is peculiar to the hunted stag.	true	237.06	239.97	21
3328_168638_000011_000001	On soil where an imprint of the track may be left, this manoeuvre possesses, among other advantages, that of deceiving the huntsmen and the dogs, by throwing them on the wrong scent.	On soil where an imprint of the track may be left, this manoeuvre possesses, among other advantages, that of deceiving the huntsmen and the dogs, by throwing them on the wrong scent.	false	239.97	251.62	15
3328_168638_000011_000002	In venery this is called false re-imbushment.	In venery this is called false re imbushment.	true	252.05	256.75	19.297617
3328_168638_000012_000000	The moon was full that night.	The moon was full that night.	true	257.48	259.3	23.36402
3328_168638_000012_000001	Jean Valjean was not sorry for this.	Jean Valjean was not sorry for this.	true	259.31	261.85	13
3328_168638_000012_000002	The moon, still very close to the horizon, cast great masses of light and shadow in the streets.	The moon, still very close to the horizon, cast great masses of light and shadow in the streets.	false	262.28	268.96	13
3328_168638_000012_000003	Jean Valjean could glide along close to the houses on the dark side, and yet keep watch on the light side.	Jean Valjean could glide along close to the houses on the dark side, and yet keep watch on the light side.	true	269.84	276.91	12
3328_168638_000012_000004	He did not, perhaps, take sufficiently into consideration the fact that the dark side escaped him.	He did not, perhaps, take sufficiently into consideration the fact that the dark side escaped him.	true	277.37	283.63	20
3328_168638_000012_000005	Still, in the deserted lanes which lie near the Rue Poliveau, he thought he felt certain that no one was following him.	Still, in the deserted lanes which lie near the Rue Poliveau, he thought he felt certain that no one was following him.	false	283.97	291.43	20
3328_168638_000013_000000	Cosette walked on without asking any questions.	Cosette walked on without asking any questions.	true	292.43	295.39	20
3328_168638_000013_000001	The sufferings of the first six years of her life had instilled something passive into her nature.	The sufferings of the first six years of her life had instilled something passive into her nature.	true	295.43	301	12
