6538_81858_000000_000000	Bragg was preparing to hurl his entire force upon Sherman and the battery.	Bragg was preparing to hurl his entire force upon Sherman and the battery.	false	0	2.7	19.586401
6538_81858_000000_000001	At that moment Beauregard, now his chief, arrived.	At that moment Beauregard, now his chief, arrived.	false	2.7	4.26	17.461061
6538_81858_000000_000002	But a few minutes of daylight were left and the swarthy Louisianian looked at the great losses in his own ranks.	But a few minutes of daylight were left and the swarthy Louisianian looked at the great losses in his own ranks.	false	4.26	7.47	21.723217
6538_81858_000000_000003	He believed that the army of Buell was so far away that it could not arrive that night and he withheld the charge.	He believed that the army of Buell was so far away that it could not arrive that night and he withheld the charge.	false	7.47	13.59	20.85921
6538_81858_000001_000000	The Southern army withdrew a little into the woods, the night rushed down, and Shiloh's terrible first day was over.	The Southern army withdrew a little into the woods, the night rushed down, and Shiloh's terrible first day was over.	false	13.59	16.305	19.354961
6538_81858_000002_000000	CHAPTER XVI.	CHAPTER sixteen.	true	16.305	17.64	24.667038
6538_81858_000002_000001	THE FIERCE FINISH OF SHILOH	THE FIERCE FINISH OF SHILOH	false	17.64	21.96	18.547733
6538_81858_000003_000000	Dick, who had been lying under cover just behind the crest of one of the low ridges, suddenly heard the loud beating of his heart.	Dick, who had been lying under cover just behind the crest of one of the low ridges, suddenly heard the loud beating of his heart.	true	21.96	28	18.722906
6538_81858_000003_000001	He did not know, for a moment or two, that the sound came so distinctly because the mighty tumult which had been raging around him all day had ceased, as if by a concerted signal.	He did not know, for a moment or two, that the sound came so distinctly because the mighty tumult which had been raging around him all day had ceased, as if by a concerted signal.	true	28.46	36.61	18
6538_81858_000003_000002	Those blinding flashes of flame no longer came from the forest before him, the shot and shell quit their horrible screaming, and the air was free from the unpleasant hiss of countless bullets.	Those blinding flashes of flame no longer came from the forest before him, the shot and shell quit their horrible screaming, and the air was free from the unpleasant hiss of countless bullets.	true	37.16	46.54	22
6538_81858_000004_000000	He stretched himself a little and stood up.	He stretched himself a little and stood up.	true	47.66	49.81	20.863281
6538_81858_000004_000001	The lads all around him were standing up, and were beginning to talk to each other in the high-pitched, shouting voices that they had been compelled to use all day long, not yet realizing to the full that the tumult of the battle had ceased.	The lads all around him were standing up, and were beginning to talk to each other in the high pitched, shouting voices that they had been compelled to use all day long, not yet realizing to the full that the tumult of the battle had ceased.	false	50.18	60.46	18
6538_81858_000004_000002	The boy felt stiff and sore in every bone and muscle, and, although the cannon and rifles were silent, there was still a hollow roaring in his ears.	The boy felt stiff and sore in every bone and muscle, and, although the cannon and rifles were silent, there was still a hollow roaring in his ears.	true	61.01	68.98	20.755661
6538_81858_000004_000003	His eyes were yet dim from the smoke, and his head felt heavy and dull.	His eyes were yet dim from the smoke, and his head felt heavy and dull.	false	69.59	73.39	20.159792
6538_81858_000004_000004	He gazed vacantly at the forest in front of him, and wondered dimly why the Southern army was not still there, attacking, as it had attacked for so many hours.	He gazed vacantly at the forest in front of him, and wondered dimly why the Southern army was not still there, attacking, as it had attacked for so many hours.	false	74.03	80.8	14
6538_81858_000005_000000	But the deep woods were silent and empty.	But the deep woods were silent and empty.	true	81.62	83.68	23.553314
6538_81858_000005_000001	Coils and streamers of smoke floated about among the trees, and suddenly a gray squirrel hopped out on a bough and began to chatter wildly.	Coils and streamers of smoke floated about among the trees, and suddenly a gray squirrel hopped out on a bough and began to chatter wildly.	true	84.2	91.21	22
6538_81858_000005_000002	Dick, despite himself, laughed, but the laugh was hysterical.	Dick, despite himself, laughed, but the laugh was hysterical.	true	91.76	95.08	25.14175
6538_81858_000005_000003	He could appreciate the feelings of the squirrel, which probably had been imprisoned in a hollow of the tree all day long, listening to this tremendous battle, and squirrels were not used to such battles.	He could appreciate the feelings of the squirrel, which probably had been imprisoned in a hollow of the tree all day long, listening to this tremendous battle, and squirrels were not used to such battles.	true	95.45	104.71	23.695684
6538_81858_000005_000004	It was a trifle that made him laugh, but everything was out of proportion now.	It was a trifle that made him laugh, but everything was out of proportion now.	true	105.23	108.64	23.190666
6538_81858_000005_000005	Life did not go on in the usual way at all.	Life did not go on in the usual way at all.	true	108.92	111.46	19.518574
6538_81858_000005_000006	The ordinary occupations were gone, and people spent most of their time trying to kill one another.	The ordinary occupations were gone, and people spent most of their time trying to kill one another.	true	111.92	116.41	21
6538_81858_000006_000000	He rubbed his hands across his eyes and cleared them of the smoke.	He rubbed his hands across his eyes and cleared them of the smoke.	true	117.65	120.88	22.693209
6538_81858_000006_000001	The battle was certainly over for the day at least, and neither he nor his comrades had sufficient vitality yet to think of the morrow.	The battle was certainly over for the day at least, and neither he nor his comrades had sufficient vitality yet to think of the morrow.	false	121.28	127.78	17
6538_81858_000006_000002	The twilight was fast deepening into night.	The twilight was fast deepening into night.	false	128.66	131.46	20.794424
6538_81858_000006_000003	The last rosy glow of the sun faded, and thick darkness enveloped the vast forest, in which twenty thousand men had fallen, and in which most of them yet lay, the wounded with the dead.	The last rosy glow of the sun faded, and thick darkness enveloped the vast forest, in which twenty thousand men had fallen, and in which most of them yet lay, the wounded with the dead.	true	131.46	141.7	22.607573
6538_81858_000007_000000	There was presently a deep boom from the river, and a shell fired by one of the gunboats curved far over their heads and dropped into the forest, where the Southern army was encamped.	There was presently a deep boom from the river, and a shell fired by one of the gunboats curved far over their heads and dropped into the forest, where the Southern army was encamped.	true	142.97	151.21	19.67917
6538_81858_000007_000001	All through the night and at short but regular intervals the gunboats maintained this warning fire, heartening the Union soldiers, and telling them at every discharge that however they might have to fight for the land, the water was always theirs.	All through the night and at short but regular intervals the gunboats maintained this warning fire, heartening the Union soldiers, and telling them at every discharge that however they might have to fight for the land, the water was always theirs.	true	151.88	163.33	18.758802
6538_81858_000008_000000	Dick saw Colonel Winchester going among his men, and pulling himself together he saluted his chief.	Dick saw Colonel Winchester going among his men, and pulling himself together he saluted his chief.	true	164.42	169.39	20.811874
6538_81858_000009_000000	"Any orders, sir?" he said.	"Any orders, sir?" he said.	true	170.15	172.36	17.031515
