5246_30101_000000_000000	"Went home this mornin', sir.	"Went home this mornin', sir.	false	2.85	4.44	22.166353
5246_30101_000000_000001	It were a great pleasure to her, she said, an' she hoped as how you'd like everything, an' be happy here."	It were a great pleasure to her, she said, an' she hoped as how you'd like everything, an' be happy here."	false	4.44	12.18	22.24948
5246_30101_000001_000000	Undo John nodded.	Undo john nodded.	false	12.18	13.23	20.91904
5246_30101_000002_000000	"We must call on that girl," he remarked.	"We must call on that girl," he remarked.	false	13.23	15.99	23.282312
5246_30101_000002_000001	"We owe her a good deal, I imagine, and she's entitled to our grateful thanks."	"We owe her a good deal, I imagine, and she's entitled to our grateful thanks."	false	15.99	21.195	20.725306
5246_30101_000003_000000	CHAPTER VI.	CHAPTER six.	true	21.195	22.39	19.21528
5246_30101_000004_000000	PEGGY PRESENTS HIS BILL.	PEGGY PRESENTS HIS BILL.	true	22.55	24.46	22.803123
5246_30101_000005_000000	Millville waited in agonized suspense for three days for tangible evidence that "the nabob was in their midst," as Nib Corkins poetically expressed it; but the city folks seemed glued to the farm and no one of them had yet appeared in the village.	Millville waited in agonized suspense for three days for tangible evidence that "the nabob was in their midst," as Nib Corkins poetically expressed it; but the city folks seemed glued to the farm and no one of them had yet appeared in the village.	true	25.4	40.84	20.954903
5246_30101_000005_000001	As a matter of fact, Patsy and Uncle John were enthusiastically fishing in the Little Bill, far up in the pine woods, and having "the time of their lives" in spite of their scant success in capturing trout.	As a matter of fact, Patsy and Uncle john were enthusiastically fishing in the Little Bill, far up in the pine woods, and having "the time of their lives" in spite of their scant success in capturing trout.	true	41.21	53.5	21.672047
5246_30101_000005_000002	Old Hucks could go out before breakfast and bring in an ample supply of speckled beauties for Mary to fry; but Uncle John's splendid outfit seemed scorned by the finny folk, and after getting her dress torn in sundry places and a hook in the fleshy part of her arm Patsy learned to seek shelter behind a tree whenever her uncle cast his fly.	Old Hucks could go out before breakfast and bring in an ample supply of speckled beauties for Mary to fry; but Uncle John's splendid outfit seemed scorned by the finny folk, and after getting her dress torn in sundry places and a hook in the fleshy part of her arm Patsy learned to seek shelter behind a tree whenever her uncle cast his fly.	true	53.93	75.67	20.859869
5246_30101_000005_000003	But they reveled in the woods, and would lie on the bank for hours listening to the murmur of the brook and the songs of the birds.	But they reveled in the woods, and would lie on the bank for hours listening to the murmur of the brook and the songs of the birds.	false	76.34	84.07	20.20277
5246_30101_000006_000000	The temper of the other two girls was different.	The temper of the other two girls was different.	true	85.31	87.91	18.988106
5246_30101_000006_000001	Beth De Graf had brought along an archery outfit, and she set up her target on the ample green the day following her arrival.	Beth De Graf had brought along an archery outfit, and she set up her target on the ample green the day following her arrival.	false	88.04	95.74	21.65681
5246_30101_000006_000002	Here she practiced persistently, shooting at sixty yards with much skill.	Here she practiced persistently, shooting at sixty yards with much skill.	true	96.08	101.35	22.489542
5246_30101_000006_000003	But occasionally, when Louise tired of her novel and her cushions in the hammock, the two girls would play tennis or croquet together--Beth invariably winning.	But occasionally, when Louise tired of her novel and her cushions in the hammock, the two girls would play tennis or croquet together-Beth invariably winning.	true	101.81	110.53	20.200216
5246_30101_000007_000000	Such delightful laziness could brook no interference for the first days of their arrival, and it was not until Peggy McNutt ventured over on Monday morning for a settlement with Mr. Merrick that any from the little world around them dared intrude upon the dwellers at the Wegg farm.	Such delightful laziness could brook no interference for the first days of their arrival, and it was not until Peggy McNutt ventured over on Monday morning for a settlement with mr Merrick that any from the little world around them dared intrude upon the dwellers at the Wegg farm.	true	111.08	128.5	20.743134
5246_30101_000008_000000	Although the agent had been late in starting from Millville and Nick Thorne's sorrel mare had walked every step of the way, Peggy was obliged to wait in the yard a good half hour for the "nabob" to finish his breakfast.	Although the agent had been late in starting from Millville and Nick Thorne's sorrel mare had walked every step of the way, Peggy was obliged to wait in the yard a good half hour for the "nabob" to finish his breakfast.	true	129.98	143.38	20.607607
5246_30101_000008_000001	During that time he tried to decide which of the two statements of accounts that he had prepared he was most justified in presenting.	During that time he tried to decide which of the two statements of accounts that he had prepared he was most justified in presenting.	true	143.99	151.51	22.502506
5246_30101_000008_000002	He had learned from the liveryman at the Junction that Mr. Merrick had paid five dollars for a trip that was usually made for two, and also that the extravagant man had paid seventy-five cents more to Lucky Todd, the hotel keeper, than his bill came to.	He had learned from the liveryman at the Junction that mr Merrick had paid five dollars for a trip that was usually made for two, and also that the extravagant man had paid seventy five cents more to Lucky Todd, the hotel keeper, than his bill came to.	true	152.15	166.75	21.844746
5246_30101_000008_000003	The knowledge of such reckless expenditures had fortified little McNutt in "marking up" the account of the money he had received, and instead of charging two dollars a day for his own services, as he had at first intended, he put them down at three dollars a day--and made the days stretch as much as possible.	The knowledge of such reckless expenditures had fortified little McNutt in "marking up" the account of the money he had received, and instead of charging two dollars a day for his own services, as he had at first intended, he put them down at three dollars a day-and made the days stretch as much as possible.	false	167.72	187.6	20.47427
5246_30101_000008_000004	Also he charged a round commission on the wages of Lon Taft and Ned Long, and doubled the liveryman's bill for hauling the goods over from the Junction.	Also he charged a round commission on the wages of Lon Taft and Ned Long, and doubled the liveryman's bill for hauling the goods over from the Junction.	true	188.06	197.17	20.84697
5246_30101_000008_000005	Ethel Thompson had refused to accept any payment for what she had done, but Peggy bravely charged it up at good round figures.	Ethel Thompson had refused to accept any payment for what she had done, but Peggy bravely charged it up at good round figures.	false	197.93	205.87	21.03251
5246_30101_000008_000006	When the bill was made out and figured up it left him a magnificent surplus for his private account; but at the last his heart failed him, and he made out another bill more modest in its extortions. He had brought them both along, though, one in each pocket, vacillating between them as he thought first of the Merrick millions and then of the righteous anger he might incur.	When the bill was made out and figured up it left him a magnificent surplus for his private account; but at the last his heart failed him, and he made out another bill more modest in its extortions. He had brought them both along, though, one in each pocket, vacillating between them as he thought first of the Merrick millions and then of the righteous anger he might incur.	true	206.33	230.38	20.747469
5246_30101_000008_000007	By the time Uncle John came out to him, smiling and cordial, he had not thoroughly made up his mind which account to present.	By the time Uncle john came out to him, smiling and cordial, he had not thoroughly made up his mind which account to present.	true	230.9	238.57	23.658243
