3717_21498_000002_000000	Once upon a time there lived a man with one daughter and he made her work hard all the day.	Once upon a time there lived a man with one daughter and he made her work hard all the day.
3717_21498_000003_000000	The girl went out, and soon collected a large bundle, and then she plucked at a sprig of sweet-smelling rosemary for herself.	The girl went out, and soon collected a large bundle, and then she plucked at a sprig of sweet smelling rosemary for herself.
3717_21498_000003_000001	But the harder she pulled the firmer seemed the plant, and at last, determined not to be beaten, she gave one great tug, and the rosemary remained in her hands.	But the harder she pulled the firmer seemed the plant, and at last, determined not to be beaten, she gave one great tug, and the rosemary remained in her hands.
3717_21498_000004_000000	Then she heard a voice close to her saying, 'Well?' and turning she saw before her a handsome young man, who asked why she had come to steal his firewood.	Then she heard a voice close to her saying, 'Well?' and turning she saw before her a handsome young man, who asked why she had come to steal his firewood.
3717_21498_000005_000000	The girl, who felt much confused, only managed to stammer out as an excuse that her father had sent her.	The girl, who felt much confused, only managed to stammer out as an excuse that her father had sent her.
3717_21498_000006_000000	'Very well,' replied the young man; 'then come with me.'	'Very well,' replied the young man; 'then come with me.'
3717_21498_000007_000000	So he took her through the opening made by the torn-up root, and they travelled till they reached a beautiful palace, splendidly furnished, but only lighted from the top.	So he took her through the opening made by the torn up root, and they travelled till they reached a beautiful palace, splendidly furnished, but only lighted from the top.
3717_21498_000007_000001	And when they had entered he told her that he was a great lord, and that never had he seen a maiden so beautiful as she, and that if she would give him her heart they would be married and live happy for ever after.	And when they had entered he told her that he was a great lord, and that never had he seen a maiden so beautiful as she, and that if she would give him her heart they would be married and live happy for ever after.
3717_21498_000008_000000	And the maiden said 'yes, she would,' and so they were married.	And the maiden said 'yes, she would,' and so they were married.
3717_21498_000009_000000	The next day the old dame who looked after the house handed her all the keys, but pointed her out one that she would do well never to use, for if she did the whole palace would fall to the ground, and the grass would grow over it, and the damsel herself would be remembered no more.	The next day the old dame who looked after the house handed her all the keys, but pointed her out one that she would do well never to use, for if she did the whole palace would fall to the ground, and the grass would grow over it, and the damsel herself would be remembered no more.
3717_21498_000010_000000	The bride promised to be careful, but in a little while, when there was nothing left for her to do, she began to wonder what could be in the chest, which was opened by the key.	The bride promised to be careful, but in a little while, when there was nothing left for her to do, she began to wonder what could be in the chest, which was opened by the key.
3717_21498_000010_000002	But the lock was stiff and resisted all her efforts, and in the end she had to break it.	But the lock was stiff and resisted all her efforts, and in the end she had to break it.
3717_21498_000010_000003	And what was inside after all?	And what was inside after all?
3717_21498_000010_000005	She burst into a flood of bitter tears, partly at her own folly, but more for the loss of her husband, whom she dearly loved.	She burst into a flood of bitter tears, partly at her own folly, but more for the loss of her husband, whom she dearly loved.
3717_21498_000010_000006	Then, breaking a sprig of rosemary off a bush hard by, she resolved, cost what it might, to seek him through the world till she found him.	Then, breaking a sprig of rosemary off a bush hard by, she resolved, cost what it might, to seek him through the world till she found him.
3717_21498_000010_000007	So she walked and she walked and she walked, till she arrived at a house built of straw.	So she walked and she walked and she walked, till she arrived at a house built of straw.
3717_21498_000010_000008	And she knocked at the door, and asked if they wanted a servant.	And she knocked at the door, and asked if they wanted a servant.
3717_21498_000010_000009	The mistress said she did, and if the girl was willing she might stay.	The mistress said she did, and if the girl was willing she might stay.
3717_21498_000010_000010	But day by day the poor maiden grew more and more sad, till at last her mistress begged her to say what was the matter.	But day by day the poor maiden grew more and more sad, till at last her mistress begged her to say what was the matter.
3717_21498_000010_000011	Then she told her story--how she was going through the world seeking after her husband.	Then she told her story-how she was going through the world seeking after her husband.
3717_21498_000012_000000	On hearing these words the damsel set forth once more, and walked till she reached the Golden Castle, where lived the Sun.	On hearing these words the damsel set forth once more, and walked till she reached the Golden Castle, where lived the sun
3717_21498_000012_000001	And she knocked boldly at the door, saying, 'All hail, O Sun!	And she knocked boldly at the door, saying, 'All hail, O Sun!
3717_21498_000012_000002	I have come to ask if, of your charity, you will help me in my need.	I have come to ask if, of your charity, you will help me in my need.
3717_21498_000013_000000	'Indeed!' spoke the Sun.	'Indeed!' spoke the sun
3717_21498_000013_000001	'Do you, rich as you are, need help?	'Do you, rich as you are, need help?
3717_21498_000013_000002	But though you live in a palace without windows, the Sun enters everywhere, and he knows you.'	But though you live in a palace without windows, the Sun enters everywhere, and he knows you.'
