2397_162239_000000_000000	"Seven to three--Shame!"	"Seven to three-Shame!"	false	9.33	19.815	20.608559
2397_162239_000001_000000	CHAPTER VIII	CHAPTER eight	true	19.815	20.83	26.096327
2397_162239_000002_000000	MORE STRANGE DISCOVERIES	MORE STRANGE DISCOVERIES	true	20.84	23.08	14
2397_162239_000003_000000	But Frayne was far from done with excitement for the day.	But Frayne was far from done with excitement for the day.	true	23.87	26.74	16
2397_162239_000003_000001	For a while all eyes seemed centred on the chase, now scattered miles toward the east, and, save for two of the number left behind, blown, spent and hopelessly out of the race, soon lost to view among the distant swales and ravines.	For a while all eyes seemed centred on the chase, now scattered miles toward the east, and, save for two of the number left behind, blown, spent and hopelessly out of the race, soon lost to view among the distant swales and ravines.	false	26.93	40.72	13
2397_162239_000003_000002	Then everyone turned to welcome the coming harbinger, to congratulate him on his escape, to demand the reason for his daring essay.	Then everyone turned to welcome the coming harbinger, to congratulate him on his escape, to demand the reason for his daring essay.	true	40.82	48.28	15
2397_162239_000003_000003	Gregg and his men were first to reach him, and while one of them was seen through the levelled glasses to dismount and give the courier his fresh horse, thereby showing that the gray was well nigh exhausted, the whole party turned slowly toward the post.	Gregg and his men were first to reach him, and while one of them was seen through the levelled glasses to dismount and give the courier his fresh horse, thereby showing that the gray was well nigh exhausted, the whole party turned slowly toward the post.	false	48.71	63.64	17
2397_162239_000003_000004	Then one of their number suddenly darted forth from the group and came spurring at top speed straight for the ford.	Then one of their number suddenly darted forth from the group and came spurring at top speed straight for the ford.	true	63.65	70.18	15
2397_162239_000004_000000	"That means news of importance," said Webb, at the instant.	"That means news of importance," said Webb, at the instant.	true	70.19	73.81	21.115026
2397_162239_000004_000001	"And Gregg and all of his squad are coming in,--not following Blake.	"And Gregg and all of his squad are coming in,--not following Blake.	true	73.91	77.595	13
2397_162239_000004_000002	That means he and they are more needed elsewhere.	That means he and they are more needed elsewhere.	true	77.595	80.59	6
2397_162239_000004_000003	Come on, Mr. Ross.	Come on, mr Ross.	true	80.84	81.9	16.365158
