3008_164328_000000_000000	"The deuce!" exclaimed Rouletabille.	"The deuce!" exclaimed Rouletabille.	false	0	0.27	100
3008_164328_000001_000000	He, also, appeared to be deeply concerned.	He, also, appeared to be deeply concerned.	false	0.27	0.75	16
3008_164328_000001_000001	From his pocket-book he took a piece of white paper as I had seen him do before, and with his scissors, cut out the shape of the neat bootmarks that were on the ground.	From his pocket book he took a piece of white paper as I had seen him do before, and with his scissors, cut out the shape of the neat bootmarks that were on the ground.	false	0.75	4.86	23.29432
3008_164328_000001_000002	Then he fitted the new paper pattern with the one he had previously made--the two were exactly alike.	Then he fitted the new paper pattern with the one he had previously made-the two were exactly alike.	false	4.86	10.53	22.581053
3008_164328_000001_000003	Rising, Rouletabille exclaimed again: "The deuce!" Presently he added: "Yet I believe Monsieur Robert Darzac to be an honest man." He then led me on the road to the Donjon Inn, which we could see on the highway, by the side of a small clump of trees.	Rising, Rouletabille exclaimed again: "The deuce!" Presently he added: "Yet I believe Monsieur Robert Darzac to be an honest man." He then led me on the road to the Donjon Inn, which we could see on the highway, by the side of a small clump of trees.	false	10.53	24.45	22.052034
3008_164328_000002_000000	CHAPTER X. "We Shall Have to Eat Red Meat--Now"	CHAPTER ten "We Shall Have to Eat Red Meat-Now"	true	24.45	28.51	22.607317
3008_164328_000003_000000	The Donjon Inn was of no imposing appearance; but I like these buildings with their rafters blackened with age and the smoke of their hearths--these inns of the coaching-days, crumbling erections that will soon exist in the memory only.	The Donjon Inn was of no imposing appearance; but I like these buildings with their rafters blackened with age and the smoke of their hearths-these inns of the coaching days, crumbling erections that will soon exist in the memory only.	true	29.57	42.52	23
3008_164328_000003_000001	They belong to the bygone days, they are linked with history.	They belong to the bygone days, they are linked with history.	true	43.52	46.9	21.846897
3008_164328_000003_000002	They make us think of the Road, of those days when highwaymen rode.	They make us think of the Road, of those days when highwaymen rode.	true	47.18	51.1	23.92998
3008_164328_000004_000000	I saw at once that the Donjon Inn was at least two centuries old--perhaps older.	I saw at once that the Donjon Inn was at least two centuries old-perhaps older.	true	51.98	57.1	22.847672
3008_164328_000004_000001	Under its sign-board, over the threshold, a man with a crabbed-looking face was standing, seemingly plunged in unpleasant thought, if the wrinkles on his forehead and the knitting of his brows were any indication.	Under its sign board, over the threshold, a man with a crabbed looking face was standing, seemingly plunged in unpleasant thought, if the wrinkles on his forehead and the knitting of his brows were any indication.	false	57.83	69.82	21.657623
3008_164328_000005_000000	When we were close to him, he deigned to see us and asked us, in a tone anything but engaging, whether we wanted anything.	When we were close to him, he deigned to see us and asked us, in a tone anything but engaging, whether we wanted anything.	true	71.12	78.37	22
3008_164328_000005_000001	He was, no doubt, the not very amiable landlord of this charming dwelling-place.	He was, no doubt, the not very amiable landlord of this charming dwelling place.	true	79.04	83.83	20
3008_164328_000005_000002	As we expressed a hope that he would be good enough to furnish us with a breakfast, he assured us that he had no provisions, regarding us, as he said this, with a look that was unmistakably suspicious.	As we expressed a hope that he would be good enough to furnish us with a breakfast, he assured us that he had no provisions, regarding us, as he said this, with a look that was unmistakably suspicious.	true	84.74	97	21.86007
3008_164328_000006_000000	"You may take us in," Rouletabille said to him, "we are not policemen."	"You may take us in," Rouletabille said to him, "we are not policemen."	false	97.91	101.98	23.547737
3008_164328_000007_000000	"I'm not afraid of the police--I'm not afraid of anyone!" replied the man.	"I'm not afraid of the police-I'm not afraid of anyone!" replied the man.	true	102.8	107.95	20.688557
3008_164328_000008_000000	I had made my friend understand by a sign that we should do better not to insist; but, being determined to enter the inn, he slipped by the man on the doorstep and was in the common room.	I had made my friend understand by a sign that we should do better not to insist; but, being determined to enter the inn, he slipped by the man on the doorstep and was in the common room.	true	109.22	119.98	21
3008_164328_000009_000000	"Come on," he said, "it is very comfortable here."	"Come on," he said, "it is very comfortable here."	true	120.38	123.46	22.892252
3008_164328_000010_000000	A good fire was blazing in the chimney, and we held our hands to the warmth it sent out; it was a morning in which the approach of winter was unmistakable.	A good fire was blazing in the chimney, and we held our hands to the warmth it sent out; it was a morning in which the approach of winter was unmistakable.	true	124.4	133.33	19.73426
3008_164328_000010_000001	The room was a tolerably large one, furnished with two heavy tables, some stools, a counter decorated with rows of bottles of syrup and alcohol.	The room was a tolerably large one, furnished with two heavy tables, some stools, a counter decorated with rows of bottles of syrup and alcohol.	true	134.09	143.35	22.892723
3008_164328_000010_000002	Three windows looked out on to the road.	Three windows looked out on to the road.	true	144.08	146.56	18.984324
3008_164328_000010_000003	A coloured advertisement lauded the many merits of a new vermouth.	A coloured advertisement lauded the many merits of a new vermouth.	true	147.14	151.12	21.115847
3008_164328_000010_000004	On the mantelpiece was arrayed the innkeeper's collection of figured earthenware pots and stone jugs.	On the mantelpiece was arrayed the innkeeper's collection of figured earthenware pots and stone jugs.	true	151.64	157.84	21
