122_129752_000000_000000	~BALTIMORE CAKE~--Beat one cupful of butter to a cream, using a wood cake spoon.	~ BALTIMORE CAKE ~--Beat one cupful of butter to a cream, using a wood cake spoon.	false	107.79	114.01	19.123404
122_129752_000000_000001	Add gradually while beating constantly two cupfuls fine granulated sugar.	Add gradually while beating constantly two cupfuls fine granulated sugar.	true	114.35	118.99	10
122_129752_000000_000002	When creamy add a cupful of milk, alternating with three and one-half cupfuls pastry flour that has been mixed and sifted with two teaspoonfuls of baking powder.	When creamy add a cupful of milk, alternating with three and one half cupfuls pastry flour that has been mixed and sifted with two teaspoonfuls of baking powder.	false	119.15	130.66	18
122_129752_000000_000003	Add a teaspoonful of vanilla and the whites of six eggs beaten stiff and dry.	Add a teaspoonful of vanilla and the whites of six eggs beaten stiff and dry.	false	130.7	136.21	14
122_129752_000000_000004	Bake in three buttered and floured shallow cake tins, and spread between the layers and on top the following icing: Put in a saucepan three cups sugar, one cup water.	Bake in three buttered and floured shallow cake tins, and spread between the layers and on top the following icing: Put in a saucepan three cups sugar, one cup water.	false	136.64	147.97	16
122_129752_000000_000005	Heat gradually to the boiling point, and cook without stirring until the syrup will thread.	Heat gradually to the boiling point, and cook without stirring until the syrup will thread.	false	148.19	153.4	14
122_129752_000000_000006	Pour the hot syrup gradually over the well beaten whites of three eggs and continue beating until of the right consistency for spreading.	Pour the hot syrup gradually over the well beaten whites of three eggs and continue beating until of the right consistency for spreading.	false	153.77	160.9	10
122_129752_000000_000007	Then add one cupful chopped and seeded raisins, one cup chopped pecan meats and five figs cut in strips.	Then add one cupful chopped and seeded raisins, one cup chopped pecan meats and five figs cut in strips.	false	161.27	170.37	17
122_129752_000001_000000	~BALTIMORE CAKE--~For this cake use one cupful butter, two cupfuls sugar, three and one-half cupfuls flour, one cupful sweet milk, two teaspoonfuls baking powder, the whites of six eggs and a teaspoonful of rose water.	~ BALTIMORE CAKE-~ For this cake use one cupful butter, two cupfuls sugar, three and one half cupfuls flour, one cupful sweet milk, two teaspoonfuls baking powder, the whites of six eggs and a teaspoonful of rose water.	false	170.37	187.09	19
122_129752_000001_000001	Cream the butter, add the sugar gradually, beating steadily, then the milk and flavoring, next the flour sifted with the baking powder, and lastly the stiffly beaten whites folded in at the last.	Cream the butter, add the sugar gradually, beating steadily, then the milk and flavoring, next the flour sifted with the baking powder, and lastly the stiffly beaten whites folded in at the last.	false	187.34	200.74	18.870066
122_129752_000001_000002	Bake in three layer cake tins in an oven hotter than for loaf cake.	Bake in three layer cake tins in an oven hotter than for loaf cake.	true	200.96	205.66	17.596197
122_129752_000001_000003	While baking prepare the filling.	While baking prepare the filling.	true	206.18	208.18	21
122_129752_000001_000004	Dissolve three cupfuls sugar in one cupful boiling water, and cook until it spins a thread.	Dissolve three cupfuls sugar in one cupful boiling water, and cook until it spins a thread.	true	208.31	214.69	16
122_129752_000001_000005	Pour over the stiffly beaten whites of three eggs, stirring constantly.	Pour over the stiffly beaten whites of three eggs, stirring constantly.	true	215	219.79	15
122_129752_000001_000006	Add to this icing one cupful chopped raisins, one cupful chopped nut meats, preferably pecans or walnuts, and a half dozen figs cut in fine strips.	Add to this icing one cupful chopped raisins, one cupful chopped nut meats, preferably pecans or walnuts, and a half dozen figs cut in fine strips.	false	220.37	232.24	19
122_129752_000001_000007	Use this for filling and also ice the top and sides with it.	Use this for filling and also ice the top and sides with it.	true	232.61	236.64	17
122_129752_000002_000000	~BREAD CAKE--~Cream one cup of sugar and one-half cup of butter, add one-half cup of milk, two cups of flour sifted with three teaspoons of baking powder and last the stiffly beaten whites of three eggs and half a teaspoon of vanilla flavoring.	~ BREAD CAKE-~ Cream one cup of sugar and one half cup of butter, add one half cup of milk, two cups of flour sifted with three teaspoons of baking powder and last the stiffly beaten whites of three eggs and half a teaspoon of vanilla flavoring.	false	236.64	256.96	19.580412
122_129752_000002_000001	Bake in one loaf.	Bake in one loaf.	true	257.39	259.08	21.601133
