2827_170438_000000_000000	THE DEATH OF STONEWALL JACKSON	THE DEATH OF STONEWALL JACKSON	false	1.38	31.725	22.05253
2827_170438_000001_000000	Like a servant of the Lord, with his bible and his sword, Our general rode along us, to form us for the fight. --Macaulay.	Like a servant of the Lord, with his bible and his sword, Our general rode along us, to form us for the fight. --Macaulay.	true	31.725	40.9	23.35921
2827_170438_000002_000000	The Civil War has left, as all wars of brother against brother must leave, terrible and heartrending memories; but there remains as an offset the glory which has accrued to the nation by the countless deeds of heroism performed by both sides in the struggle.	The Civil War has left, as all wars of brother against brother must leave, terrible and heartrending memories; but there remains as an offset the glory which has accrued to the nation by the countless deeds of heroism performed by both sides in the struggle.	true	43.22	59.91	19.616863
2827_170438_000002_000001	The captains and the armies that, after long years of dreary campaigning and bloody, stubborn fighting, brought the war to a close, have left us more than a reunited realm.	The captains and the armies that, after long years of dreary campaigning and bloody, stubborn fighting, brought the war to a close, have left us more than a reunited realm.	true	59.91	70.665	23.35929
2827_170438_000002_000002	North and South, all Americans, now have a common fund of glorious memories.	North and South, all Americans, now have a common fund of glorious memories.	true	70.665	76.36	24.60652
2827_170438_000002_000003	We are the richer for each grim campaign, for each hard-fought battle.	We are the richer for each grim campaign, for each hard fought battle.	true	76.58	81.22	23.110142
2827_170438_000002_000004	We are the richer for valor displayed alike by those who fought so valiantly for the right, and by those who, no less valiantly, fought for what they deemed the right.	We are the richer for valor displayed alike by those who fought so valiantly for the right, and by those who, no less valiantly, fought for what they deemed the right.	true	81.29	91.9	23.297503
2827_170438_000002_000005	We have in us nobler capacities for what is great and good because of the infinite woe and suffering, and because of the splendid ultimate triumph.	We have in us nobler capacities for what is great and good because of the infinite woe and suffering, and because of the splendid ultimate triumph.	true	92.21	102.1	22.947702
2827_170438_000002_000006	We hold that it was vital to the welfare, not only of our people on this continent, but of the whole human race, that the Union should be preserved and slavery abolished; that one flag should fly from the Great Lakes to the Rio Grande; that we should all be free in fact as well as in name, and that the United States should stand as one nation--the greatest nation on the earth.	We hold that it was vital to the welfare, not only of our people on this continent, but of the whole human race, that the Union should be preserved and slavery abolished; that one flag should fly from the Great Lakes to the Rio Grande; that we should all be free in fact as well as in name, and that the United States should stand as one nation-the greatest nation on the earth.	true	102.29	127.155	22.295597
2827_170438_000002_000007	But we recognize gladly that, South as well as North, when the fight was once on, the leaders of the armies, and the soldiers whom they led, displayed the same qualities of daring and steadfast courage, of disinterested loyalty and enthusiasm, and of high devotion to an ideal.	But we recognize gladly that, South as well as North, when the fight was once on, the leaders of the armies, and the soldiers whom they led, displayed the same qualities of daring and steadfast courage, of disinterested loyalty and enthusiasm, and of high devotion to an ideal.	true	127.155	146.59	22.452408
2827_170438_000003_000000	The greatest general of the South was Lee, and his greatest lieutenant was Jackson.	The greatest general of the South was Lee, and his greatest lieutenant was Jackson.	true	147.17	152.115	22.833092
