7647_102250_000001_000000	CHAPTER XX	CHAPTER twenty
7647_102250_000002_000000	THE DRIFT OF POLITICS	THE DRIFT OF POLITICS
7647_102250_000003_000001	The boasted finality was a broken reed; the life-boat of compromise a hopeless wreck.	The boasted finality was a broken reed; the life boat of compromise a hopeless wreck.
7647_102250_000003_000002	If the agreement of a generation could be thus annulled in a breath, was there any safety even in the Constitution itself?	If the agreement of a generation could be thus annulled in a breath, was there any safety even in the Constitution itself?
7647_102250_000003_000005	Men were for or against the bill--every other political subject was left in abeyance.	Men were for or against the bill-every other political subject was left in abeyance.
7647_102250_000003_000006	The measure once passed, and the Compromise repealed, the first natural impulse was to combine, organize, and agitate for its restoration.	The measure once passed, and the Compromise repealed, the first natural impulse was to combine, organize, and agitate for its restoration.
7647_102250_000003_000007	This was the ready-made, common ground of cooperation.	This was the ready made, common ground of cooperation.
7647_102250_000004_000001	If there were demagogues here and there among them, seeking merely to create a balance of power for bargain and sale, they were unimportant in number, and only of local influence, and soon became deserters. There was no mistaking the earnestness of the body of this faction.	If there were demagogues here and there among them, seeking merely to create a balance of power for bargain and sale, they were unimportant in number, and only of local influence, and soon became deserters. There was no mistaking the earnestness of the body of this faction.
7647_102250_000004_000002	A few fanatical men, who had made it the vehicle of violent expressions, had kept it under the ban of popular prejudice.	A few fanatical men, who had made it the vehicle of violent expressions, had kept it under the ban of popular prejudice.
7647_102250_000004_000004	Despite objurgation and contempt, it had become since 1840 a constant and growing factor in politics.	Despite objurgation and contempt, it had become since eighteen forty a constant and growing factor in politics.
7647_102250_000005_000000	This small party of antislavery veterans, over 158,000 voters in the aggregate, and distributed in detachments of from 3000 to 30,000 in twelve of the free States, now came to the front, and with its newspapers and speakers trained in the discussion of the subject, and its committees and affiliations already in action and correspondence, bore the brunt of the fight against the repeal.	This small party of antislavery veterans, over one hundred fifty eight thousand voters in the aggregate, and distributed in detachments of from three thousand to thirty thousand in twelve of the free States, now came to the front, and with its newspapers and speakers trained in the discussion of the subject, and its committees and affiliations already in action and correspondence, bore the brunt of the fight against the repeal.
7647_102250_000005_000002	Now, combining wisdom with opportunity, it became conciliatory, and, abating something of its abstractions, made itself the exponent of a demand for a present and practical reform--a simple return to the ancient faith and landmarks.	Now, combining wisdom with opportunity, it became conciliatory, and, abating something of its abstractions, made itself the exponent of a demand for a present and practical reform-a simple return to the ancient faith and landmarks.
7647_102250_000005_000003	It labored specially to bring about the dissolution of the old party organizations and the formation of a new one, based upon the general policy of resisting the extension of slavery.	It labored specially to bring about the dissolution of the old party organizations and the formation of a new one, based upon the general policy of resisting the extension of slavery.
7647_102250_000005_000004	Since, however, the repeal had shaken but not obliterated old party lines, this effort succeeded only in favorable localities.	Since, however, the repeal had shaken but not obliterated old party lines, this effort succeeded only in favorable localities.
