1392_128240_000003_000000	XVII.	seventeen.
1392_128240_000004_000002	Tarry yet a little and hearken unto me.	Tarry yet a little and hearken unto me.
1392_128240_000005_000000	"He who seeketh may easily get lost himself.	"He who seeketh may easily get lost himself.
1392_128240_000005_000001	All isolation is wrong": so say the herd.	All isolation is wrong": so say the herd.
1392_128240_000005_000002	And long didst thou belong to the herd.	And long didst thou belong to the herd.
1392_128240_000006_000000	The voice of the herd will still echo in thee.	The voice of the herd will still echo in thee.
1392_128240_000006_000001	And when thou sayest, "I have no longer a conscience in common with you," then will it be a plaint and a pain.	And when thou sayest, "I have no longer a conscience in common with you," then will it be a plaint and a pain.
1392_128240_000007_000000	Lo, that pain itself did the same conscience produce; and the last gleam of that conscience still gloweth on thine affliction.	Lo, that pain itself did the same conscience produce; and the last gleam of that conscience still gloweth on thine affliction.
1392_128240_000008_000001	Then show me thine authority and thy strength to do so!	Then show me thine authority and thy strength to do so!
1392_128240_000009_000000	Art thou a new strength and a new authority?	Art thou a new strength and a new authority?
1392_128240_000009_000001	A first motion?	A first motion?
1392_128240_000009_000002	A self-rolling wheel?	A self rolling wheel?
1392_128240_000009_000003	Canst thou also compel stars to revolve around thee?	Canst thou also compel stars to revolve around thee?
1392_128240_000010_000000	Alas! there is so much lusting for loftiness!	Alas! there is so much lusting for loftiness!
1392_128240_000010_000001	There are so many convulsions of the ambitions!	There are so many convulsions of the ambitions!
1392_128240_000010_000002	Show me that thou art not a lusting and ambitious one!	Show me that thou art not a lusting and ambitious one!
1392_128240_000011_000000	Alas! there are so many great thoughts that do nothing more than the bellows: they inflate, and make emptier than ever.	Alas! there are so many great thoughts that do nothing more than the bellows: they inflate, and make emptier than ever.
1392_128240_000012_000000	Free, dost thou call thyself?	Free, dost thou call thyself?
1392_128240_000012_000001	Thy ruling thought would I hear of, and not that thou hast escaped from a yoke.	Thy ruling thought would I hear of, and not that thou hast escaped from a yoke.
1392_128240_000013_000000	Art thou one ENTITLED to escape from a yoke?	Art thou one ENTITLED to escape from a yoke?
1392_128240_000013_000001	Many a one hath cast away his final worth when he hath cast away his servitude.	Many a one hath cast away his final worth when he hath cast away his servitude.
1392_128240_000014_000000	Free from what?	Free from what?
1392_128240_000014_000002	Clearly, however, shall thine eye show unto me: free FOR WHAT?	Clearly, however, shall thine eye show unto me: free FOR WHAT?
1392_128240_000015_000000	Canst thou give unto thyself thy bad and thy good, and set up thy will as a law over thee?	Canst thou give unto thyself thy bad and thy good, and set up thy will as a law over thee?
