8791_291101_000000_000000	'I forgot to tell you,' she said slowly.	'I forgot to tell you,' she said slowly.	false	0	2.01	20.74881
8791_291101_000000_000001	'I asked Julia Norris over for Sunday dinner.	'I asked Julia Norris over for Sunday dinner.	false	2.01	4.02	22.42054
8791_291101_000000_000002	She's so awfully stuffed up in that horrible hotel.'	She's so awfully stuffed up in that horrible hotel.'	false	4.02	6.27	13
8791_291101_000001_000000	Her bravery smote him more than tears could have.	Her bravery smote him more than tears could have.	false	6.27	8.55	23.208654
8791_291101_000001_000001	He did not answer, but he just put out his hand and touched her hair caressingly, as she finished,--	He did not answer, but he just put out his hand and touched her hair caressingly, as she finished,--	false	8.55	13.32	21.068932
8791_291101_000002_000000	'It's very grand, I know, and all that.	'It's very grand, I know, and all that.	false	13.32	15.33	20
8791_291101_000002_000001	But, after all, it isn't home, Johnny, is it?'	But, after all, it isn't home, Johnny, is it?'	false	15.33	19.065	22.336557
8791_291101_000003_000000	BUSINESS IS BUSINESS	BUSINESS IS BUSINESS	true	19.065	20.41	22.3123
8791_291101_000004_000000	BY HENRY SEIDEL CANBY	BY HENRY SEIDEL CANBY	false	20.51	24.39	22.155064
8791_291101_000005_000000	I	I	false	24.39	31.59	19.96723
8791_291101_000006_000000	Six hours on the train had nearly exhausted Joseph Cargan.	Six hours on the train had nearly exhausted Joseph Cargan.	true	31.59	35.26	15
8791_291101_000006_000001	He had read all the available magazines, looked up his connections twice in the railway guide, and even gazed for an hour out of the window.	He had read all the available magazines, looked up his connections twice in the railway guide, and even gazed for an hour out of the window.	true	35.72	43.69	19.670887
8791_291101_000006_000002	But there were only woods and farms to be seen, scarcely a bill-board, and no automobiles.	But there were only woods and farms to be seen, scarcely a bill board, and no automobiles.	false	43.97	50.11	18.605492
8791_291101_000006_000003	He dropped his cigar wearily into the spittoon by his chair in the club car and relapsed into lethargy.	He dropped his cigar wearily into the spittoon by his chair in the club car and relapsed into lethargy.	true	50.51	56.32	18
8791_291101_000006_000004	With dull iteration he ran over the plans for the deal in prairie land that he hoped to put through to-morrow, and guessed lazily at whether $6000 would purchase the tract of which they had written him.	With dull iteration he ran over the plans for the deal in prairie land that he hoped to put through to morrow, and guessed lazily at whether six thousand dollars would purchase the tract of which they had written him.	true	56.54	66.885	15
8791_291101_000006_000005	He thought of his wife, and hoped that his telegram would be telephoned over to the Runkles' so that she might meet him at the station with the clean shirt he had asked for. Afterwards he cut his nails, yawned loudly, and was just going to sleep when they stopped at Joline and a boy came in with papers.	He thought of his wife, and hoped that his telegram would be telephoned over to the Runkles' so that she might meet him at the station with the clean shirt he had asked for. Afterwards he cut his nails, yawned loudly, and was just going to sleep when they stopped at Joline and a boy came in with papers.	true	66.885	82	17
8791_291101_000007_000000	Cargan turned first, as usual, to the stock-market reports.	Cargan turned first, as usual, to the stock market reports.	true	82.4	85.93	20
8791_291101_000007_000001	There were only two items of interest since he had left the tape.	There were only two items of interest since he had left the tape.	true	86.21	89.5	19.714113
8791_291101_000007_000002	Montana Pacific had gone off a little more.	Montana Pacific had gone off a little more.	true	89.75	92.32	19
8791_291101_000007_000003	But 200 shares of Benningham Common had sold at 17, a drop of ten points!	But two hundred shares of Benningham Common had sold at seventeen, a drop of ten points!	true	92.54	98.05	16
8791_291101_000007_000004	His eye caught an explanatory note: the dividend on the preferred had been cut; the surplus was heavily reduced. His mind, searching rapidly over their business, fixed upon two marginal accounts--Jim Smith's and Waldron's.	His eye caught an explanatory note: the dividend on the preferred had been cut; the surplus was heavily reduced. His mind, searching rapidly over their business, fixed upon two marginal accounts-Jim Smith's and Waldron's.	true	98.12	112.9	20.745695
8791_291101_000007_000005	In each case the collateral deposited had already been insufficient.	In each case the collateral deposited had already been insufficient.	true	113.39	117.73	20
8791_291101_000007_000006	Drawing out his note-book he swiftly figured.	Drawing out his note book he swiftly figured.	true	118.01	120.52	20.237568
8791_291101_000007_000007	'That old gambler Smith's always on the edge,' he reflected.	'That old gambler Smith's always on the edge,' he reflected.	true	120.56	123.88	19.360617
8791_291101_000007_000008	'We can hold him a little longer.	'We can hold him a little longer.	true	124.04	125.8	18.812319
8791_291101_000007_000009	Gotta sell Waldron out. Must have made a thousand dollars out of that account first and last. Too bad.' A momentary sense of Waldron's calamity swept over him, but quickly evaporated.	Gotta sell Waldron out. Must have made a thousand dollars out of that account first and last. Too bad.' A momentary sense of Waldron's calamity swept over him, but quickly evaporated.	true	125.87	137.08	20.001963
8791_291101_000007_000010	'Business is business,' he thought, and remembered, with a little angry satisfaction, Anita Waldron's coming-out dance and how the Runkles, who were invited, kept talking about it all winter. 'Old Waldron won't be so darn particular next year.'	'Business is business,' he thought, and remembered, with a little angry satisfaction, Anita Waldron's coming out dance and how the Runkles, who were invited, kept talking about it all winter. 'Old Waldron won't be so darn particular next year.'	true	137.24	151.84	20.92097
8791_291101_000008_000000	As the train pulled into his home town he hurried out upon the station platform, and saw with pride and pleasure that his wife was just stepping out of the Runkles' motor.	As the train pulled into his home town he hurried out upon the station platform, and saw with pride and pleasure that his wife was just stepping out of the Runkles' motor.	true	152.51	160.89	16
8791_291101_000008_000001	Looking about to see who might be there to note the company she was keeping, his eye fell on a tall and stooping gentleman with a trimmed beard and eyeglasses, who was searching with weary eyes the train windows; but even while he frowned at the recognition, his wife had seized him by the shoulder, caroling, 'Hello, Jimmy.	Looking about to see who might be there to note the company she was keeping, his eye fell on a tall and stooping gentleman with a trimmed beard and eyeglasses, who was searching with weary eyes the train windows; but even while he frowned at the recognition, his wife had seized him by the shoulder, caroling, 'Hello, Jimmy.	true	160.89	178.005	18
8791_291101_000008_000002	Give me a kiss, dear, and take your old shirt.' She was a graceful woman, stiffened by an obvious corset, and faintly powdered.	Give me a kiss, dear, and take your old shirt.' She was a graceful woman, stiffened by an obvious corset, and faintly powdered.	true	178.005	185.29	21.37155
8791_291101_000008_000003	A long yellow feather dangled from her orange hat, big pearls were set in her ears, and her shoe-buckles glittered as she walked.	A long yellow feather dangled from her orange hat, big pearls were set in her ears, and her shoe buckles glittered as she walked.	true	185.45	193.12	21.505936
8791_291101_000009_000000	He kissed her admiringly.	He kissed her admiringly.	true	193.49	195.07	20.905867
8791_291101_000009_000001	'Say, Martha, you look great,' he chuckled.	'Say, Martha, you look great,' he chuckled.	true	195.26	197.7	20.182846
8791_291101_000009_000002	'I hate to have to go right on.	'I hate to have to go right on.	true	197.7	199.32	16
8791_291101_000009_000003	You tell the kids I'll bring 'em something when I get back.'	You tell the kids I'll bring 'em something when I get back.'	false	199.32	201.94	21.628912
8791_291101_000010_000000	The train was starting; indeed he had just time to dash up the steps of his car.	The train was starting; indeed he had just time to dash up the steps of his car.	true	202.31	207.22	21.53069
8791_291101_000010_000001	'Good-bye, dear,' she caroled.	'Good bye, dear,' she caroled.	true	207.56	209.2	20.833698
