497_129325_000000_000000	CHAPTER XLII	CHAPTER forty two	true	20.475	21.91	26.753473
497_129325_000001_000000	AN OLD ACQUAINTANCE OF OLIVER'S, EXHIBITING DECIDED MARKS OF GENIUS, BECOMES A PUBLIC CHARACTER IN THE METROPOLIS	AN OLD ACQUAINTANCE OF OLIVER'S, EXHIBITING DECIDED MARKS OF GENIUS, BECOMES A PUBLIC CHARACTER IN THE METROPOLIS	true	23.18	30.01	25.215353
497_129325_000002_000000	Upon the night when Nancy, having lulled Mr. Sikes to sleep, hurried on her self-imposed mission to Rose Maylie, there advanced towards London, by the Great North Road, two persons, upon whom it is expedient that this history should bestow some attention.	Upon the night when Nancy, having lulled mr Sikes to sleep, hurried on her self imposed mission to Rose Maylie, there advanced towards London, by the Great North Road, two persons, upon whom it is expedient that this history should bestow some attention.	true	32.51	50.14	25.02866
497_129325_000003_000000	They were a man and woman; or perhaps they would be better described as a male and female: for the former was one of those long-limbed, knock-kneed, shambling, bony people, to whom it is difficult to assign any precise age,--looking as they do, when they are yet boys, like undergrown men, and when they are almost men, like overgrown boys.	They were a man and woman; or perhaps they would be better described as a male and female: for the former was one of those long limbed, knock kneed, shambling, bony people, to whom it is difficult to assign any precise age,--looking as they do, when they are yet boys, like undergrown men, and when they are almost men, like overgrown boys.	false	50.45	74.5	24.455269
497_129325_000003_000001	The woman was young, but of a robust and hardy make, as she need have been to bear the weight of the heavy bundle which was strapped to her back. Her companion was not encumbered with much luggage, as there merely dangled from a stick which he carried over his shoulder, a small parcel wrapped in a common handkerchief, and apparently light enough.	The woman was young, but of a robust and hardy make, as she need have been to bear the weight of the heavy bundle which was strapped to her back. Her companion was not encumbered with much luggage, as there merely dangled from a stick which he carried over his shoulder, a small parcel wrapped in a common handkerchief, and apparently light enough.	true	75.71	97.66	24.75063
497_129325_000003_000002	This circumstance, added to the length of his legs, which were of unusual extent, enabled him with much ease to keep some half-dozen paces in advance of his companion, to whom he occasionally turned with an impatient jerk of the head: as if reproaching her tardiness, and urging her to greater exertion.	This circumstance, added to the length of his legs, which were of unusual extent, enabled him with much ease to keep some half dozen paces in advance of his companion, to whom he occasionally turned with an impatient jerk of the head: as if reproaching her tardiness, and urging her to greater exertion.	false	98.42	117.06	23.947523
497_129325_000004_000000	Thus, they had toiled along the dusty road, taking little heed of any object within sight, save when they stepped aside to allow a wider passage for the mail-coaches which were whirling out of town, until they passed through Highgate archway; when the foremost traveller stopped and called impatiently to his companion,	Thus, they had toiled along the dusty road, taking little heed of any object within sight, save when they stepped aside to allow a wider passage for the mail coaches which were whirling out of town, until they passed through Highgate archway; when the foremost traveller stopped and called impatiently to his companion,	false	117.06	138.13	22.907728
497_129325_000005_000000	'Come on, can't yer?	'Come on, can't yer?	false	139.22	140.94	22.045824
497_129325_000005_000001	What a lazybones yer are, Charlotte.'	What a lazybones yer are, Charlotte.'	true	140.94	143.08	21.437778
497_129325_000006_000000	'It's a heavy load, I can tell you,' said the female, coming up, almost breathless with fatigue.	'It's a heavy load, I can tell you,' said the female, coming up, almost breathless with fatigue.	true	144.47	151.47	23.446861
497_129325_000007_000000	'Heavy!	'Heavy!	true	151.47	152.17	20.829838
497_129325_000007_000001	What are yer talking about?	What are yer talking about?	true	152.84	154	33.813026
497_129325_000007_000002	What are yer made for?' rejoined the male traveller, changing his own little bundle as he spoke, to the other shoulder.	What are yer made for?' rejoined the male traveller, changing his own little bundle as he spoke, to the other shoulder.	true	154.1	161.5	22.144547
497_129325_000007_000003	'Oh, there yer are, resting again!	'Oh, there yer are, resting again!	false	162.29	164.68	22.20604
497_129325_000007_000004	Well, if yer ain't enough to tire anybody's patience out, I don't know what is!'	Well, if yer ain't enough to tire anybody's patience out, I don't know what is!'	true	165.02	170.05	24.644213
497_129325_000008_000000	'Is it much farther?' asked the woman, resting herself against a bank, and looking up with the perspiration streaming from her face.	'Is it much farther?' asked the woman, resting herself against a bank, and looking up with the perspiration streaming from her face.	false	172.16	180.16	24.783821
497_129325_000009_000000	'Much farther!	'Much farther!	true	181.28	182.28	22.600563
497_129325_000009_000001	Yer as good as there,' said the long-legged tramper, pointing out before him.	Yer as good as there,' said the long legged tramper, pointing out before him.	false	182.28	187.09	26.358847
497_129325_000009_000002	'Look there!	'Look there!	true	187.73	188.5	50.131756
497_129325_000009_000003	Those are the lights of London.'	Those are the lights of London.'	true	188.93	190.29	24.86778
497_129325_000010_000000	'They're a good two mile off, at least,' said the woman despondingly.	'They're a good two mile off, at least,' said the woman despondingly.	false	190.29	198.54	25.307787
497_129325_000011_000000	'Never mind whether they're two mile off, or twenty,' said Noah Claypole; for he it was; 'but get up and come on, or I'll kick yer, and so I give yer notice.'	'Never mind whether they're two mile off, or twenty,' said Noah Claypole; for he it was; 'but get up and come on, or I'll kick yer, and so I give yer notice.'	false	198.54	208.3	22.766314
497_129325_000012_000000	As Noah's red nose grew redder with anger, and as he crossed the road while speaking, as if fully prepared to put his threat into execution, the woman rose without any further remark, and trudged onward by his side.	As Noah's red nose grew redder with anger, and as he crossed the road while speaking, as if fully prepared to put his threat into execution, the woman rose without any further remark, and trudged onward by his side.	false	210.71	223.9	23.085567
497_129325_000013_000000	'Where do you mean to stop for the night, Noah?' she asked, after they had walked a few hundred yards.	'Where do you mean to stop for the night, Noah?' she asked, after they had walked a few hundred yards.	true	225.56	231.34	31.162743
497_129325_000014_000000	'How should I know?' replied Noah, whose temper had been considerably impaired by walking.	'How should I know?' replied Noah, whose temper had been considerably impaired by walking.	true	232.58	238.09	25.738152
497_129325_000015_000000	'Near, I hope,' said Charlotte.	'Near, I hope,' said Charlotte.	true	239.39	241.81	23.497982
497_129325_000016_000000	'No, not near,' replied Mr. Claypole. 'There!	'No, not near,' replied mr Claypole. 'There!	true	241.94	245.625	22.383379
