497_129325_000000_000000	CHAPTER XLII	CHAPTER forty two
497_129325_000001_000000	AN OLD ACQUAINTANCE OF OLIVER'S, EXHIBITING DECIDED MARKS OF GENIUS, BECOMES A PUBLIC CHARACTER IN THE METROPOLIS	AN OLD ACQUAINTANCE OF OLIVER'S, EXHIBITING DECIDED MARKS OF GENIUS, BECOMES A PUBLIC CHARACTER IN THE METROPOLIS
497_129325_000002_000000	Upon the night when Nancy, having lulled Mr. Sikes to sleep, hurried on her self-imposed mission to Rose Maylie, there advanced towards London, by the Great North Road, two persons, upon whom it is expedient that this history should bestow some attention.	Upon the night when Nancy, having lulled mr Sikes to sleep, hurried on her self imposed mission to Rose Maylie, there advanced towards London, by the Great North Road, two persons, upon whom it is expedient that this history should bestow some attention.
497_129325_000003_000001	The woman was young, but of a robust and hardy make, as she need have been to bear the weight of the heavy bundle which was strapped to her back. Her companion was not encumbered with much luggage, as there merely dangled from a stick which he carried over his shoulder, a small parcel wrapped in a common handkerchief, and apparently light enough.	The woman was young, but of a robust and hardy make, as she need have been to bear the weight of the heavy bundle which was strapped to her back. Her companion was not encumbered with much luggage, as there merely dangled from a stick which he carried over his shoulder, a small parcel wrapped in a common handkerchief, and apparently light enough.
497_129325_000005_000001	What a lazybones yer are, Charlotte.'	What a lazybones yer are, Charlotte.'
497_129325_000006_000000	'It's a heavy load, I can tell you,' said the female, coming up, almost breathless with fatigue.	'It's a heavy load, I can tell you,' said the female, coming up, almost breathless with fatigue.
497_129325_000007_000000	'Heavy!	'Heavy!
497_129325_000007_000001	What are yer talking about?	What are yer talking about?
497_129325_000007_000002	What are yer made for?' rejoined the male traveller, changing his own little bundle as he spoke, to the other shoulder.	What are yer made for?' rejoined the male traveller, changing his own little bundle as he spoke, to the other shoulder.
497_129325_000007_000004	Well, if yer ain't enough to tire anybody's patience out, I don't know what is!'	Well, if yer ain't enough to tire anybody's patience out, I don't know what is!'
497_129325_000009_000000	'Much farther!	'Much farther!
497_129325_000009_000002	'Look there!	'Look there!
497_129325_000009_000003	Those are the lights of London.'	Those are the lights of London.'
497_129325_000013_000000	'Where do you mean to stop for the night, Noah?' she asked, after they had walked a few hundred yards.	'Where do you mean to stop for the night, Noah?' she asked, after they had walked a few hundred yards.
497_129325_000014_000000	'How should I know?' replied Noah, whose temper had been considerably impaired by walking.	'How should I know?' replied Noah, whose temper had been considerably impaired by walking.
497_129325_000015_000000	'Near, I hope,' said Charlotte.	'Near, I hope,' said Charlotte.
497_129325_000016_000000	'No, not near,' replied Mr. Claypole. 'There!	'No, not near,' replied mr Claypole. 'There!
497_129325_000017_000000	'Why not?'	'Why not?'
497_129325_000020_000000	'A pretty thing it would be, wouldn't it to go and stop at the very first public-house outside the town, so that Sowerberry, if he come up after us, might poke in his old nose, and have us taken back in a cart with handcuffs on,' said Mr. Claypole in a jeering tone.	'A pretty thing it would be, wouldn't it to go and stop at the very first public house outside the town, so that Sowerberry, if he come up after us, might poke in his old nose, and have us taken back in a cart with handcuffs on,' said mr Claypole in a jeering tone.
497_129325_000020_000003	And serve yer right for being a fool.'	And serve yer right for being a fool.'
497_129325_000021_000000	'I know I ain't as cunning as you are,' replied Charlotte; 'but don't put all the blame on me, and say I should have been locked up.	'I know I ain't as cunning as you are,' replied Charlotte; 'but don't put all the blame on me, and say I should have been locked up.
497_129325_000021_000001	You would have been if I had been, any way.'	You would have been if I had been, any way.'
497_129325_000025_000000	'No; you trusted in me, and let me carry it like a dear, and so you are,' said the lady, chucking him under the chin, and drawing her arm through his.	'No; you trusted in me, and let me carry it like a dear, and so you are,' said the lady, chucking him under the chin, and drawing her arm through his.
497_129325_000026_000001	Of course, he entered at this juncture, into no explanation of his motives, and they walked on very lovingly together.	Of course, he entered at this juncture, into no explanation of his motives, and they walked on very lovingly together.
497_129325_000027_000000	In pursuance of this cautious plan, Mr. Claypole went on, without halting, until he arrived at the Angel at Islington, where he wisely judged, from the crowd of passengers and numbers of vehicles, that London began in earnest.	In pursuance of this cautious plan, mr Claypole went on, without halting, until he arrived at the Angel at Islington, where he wisely judged, from the crowd of passengers and numbers of vehicles, that London began in earnest.
497_129325_000027_000001	Just pausing to observe which appeared the most crowded streets, and consequently the most to be avoided, he crossed into Saint John's Road, and was soon deep in the obscurity of the intricate and dirty ways, which, lying between Gray's Inn Lane and Smithfield, render that part of the town one of the lowest and worst that improvement has left in the midst of London.	Just pausing to observe which appeared the most crowded streets, and consequently the most to be avoided, he crossed into Saint John's Road, and was soon deep in the obscurity of the intricate and dirty ways, which, lying between Gray's Inn Lane and Smithfield, render that part of the town one of the lowest and worst that improvement has left in the midst of London.
497_129325_000028_000000	Through these streets, Noah Claypole walked, dragging Charlotte after him; now stepping into the kennel to embrace at a glance the whole external character of some small public-house; now jogging on again, as some fancied appearance induced him to believe it too public for his purpose.	Through these streets, Noah Claypole walked, dragging Charlotte after him; now stepping into the kennel to embrace at a glance the whole external character of some small public house; now jogging on again, as some fancied appearance induced him to believe it too public for his purpose.
497_129325_000030_000000	'Cripples,' said Charlotte.	'Cripples,' said Charlotte.
497_129325_000031_000001	Now, then! Keep close at my heels, and come along.' With these injunctions, he pushed the rattling door with his shoulder, and entered the house, followed by his companion.	Now, then! Keep close at my heels, and come along.' With these injunctions, he pushed the rattling door with his shoulder, and entered the house, followed by his companion.
497_129325_000032_000000	There was nobody in the bar but a young Jew, who, with his two elbows on the counter, was reading a dirty newspaper.	There was nobody in the bar but a young Jew, who, with his two elbows on the counter, was reading a dirty newspaper.
497_129325_000032_000001	He stared very hard at Noah, and Noah stared very hard at him.	He stared very hard at Noah, and Noah stared very hard at him.
497_129325_000033_000000	If Noah had been attired in his charity-boy's dress, there might have been some reason for the Jew opening his eyes so wide; but as he had discarded the coat and badge, and wore a short smock-frock over his leathers, there seemed no particular reason for his appearance exciting so much attention in a public-house.	If Noah had been attired in his charity boy's dress, there might have been some reason for the Jew opening his eyes so wide; but as he had discarded the coat and badge, and wore a short smock frock over his leathers, there seemed no particular reason for his appearance exciting so much attention in a public house.
497_129325_000039_000000	Barney complied by ushering them into a small back-room, and setting the required viands before them; having done which, he informed the travellers that they could be lodged that night, and left the amiable couple to their refreshment.	Barney complied by ushering them into a small back room, and setting the required viands before them; having done which, he informed the travellers that they could be lodged that night, and left the amiable couple to their refreshment.
497_129325_000042_000000	'Strangers!' repeated the old man in a whisper.	'Strangers!' repeated the old man in a whisper.
497_129325_000044_000000	Fagin appeared to receive this communication with great interest.	Fagin appeared to receive this communication with great interest.
497_129325_000046_000000	'Aha!' he whispered, looking round to Barney, 'I like that fellow's looks.	'Aha!' he whispered, looking round to Barney, 'I like that fellow's looks.
497_129325_000047_000000	He again applied his eye to the glass, and turning his ear to the partition, listened attentively: with a subtle and eager look upon his face, that might have appertained to some old goblin.	He again applied his eye to the glass, and turning his ear to the partition, listened attentively: with a subtle and eager look upon his face, that might have appertained to some old goblin.
497_129325_000048_000001	'No more jolly old coffins, Charlotte, but a gentleman's life for me: and, if yer like, yer shall be a lady.'	'No more jolly old coffins, Charlotte, but a gentleman's life for me: and, if yer like, yer shall be a lady.'
497_129325_000050_000000	'Tills be blowed!' said Mr. Claypole; 'there's more things besides tills to be emptied.'	'Tills be blowed!' said mr Claypole; 'there's more things besides tills to be emptied.'
497_129325_000051_000000	'What do you mean?' asked his companion.	'What do you mean?' asked his companion.
497_129325_000052_000000	'Pockets, women's ridicules, houses, mail-coaches, banks!' said Mr. Claypole, rising with the porter.	'Pockets, women's ridicules, houses, mail coaches, banks!' said mr Claypole, rising with the porter.
