7384_84010_000000_000000	JACQUELINE OF HOLLAND: THE GIRL OF THE LAND OF FOGS, A.D. 1414.	JACQUELINE OF HOLLAND: THE GIRL OF THE LAND OF FOGS, a d fourteen fourteen.	true	24.165	28.6	26.51855
7384_84010_000001_000000	Count William of Hainault, of Zealand and Friesland, Duke of Bavaria and Sovereign Lord of Holland, held his court in the great, straggling castle which he called his "hunting lodge," near to the German Ocean, and since known by the name of "The Hague."(1)	Count William of Hainault, of Zealand and Friesland, Duke of Bavaria and Sovereign Lord of Holland, held his court in the great, straggling castle which he called his "hunting lodge," near to the German Ocean, and since known by the name of "The Hague."(one)	false	30.32	45.63	22.298069
7384_84010_000002_000000	(1) "The Hague" is a contraction of the Dutch's Gravenhage--the haag, or "hunting lodge," of the Graf, or count.	(one) "The Hague" is a contraction of the Dutch's Gravenhage-the haag, or "hunting lodge," of the Graf, or count.	false	45.63	52.27	24.81499
7384_84010_000003_000000	Count William was a gallant and courtly knight, learned in all the ways of chivalry, the model of the younger cavaliers, handsome in person, noble in bearing, the surest lance in the tilting-yard, and the stoutest arm in the foray.	Count William was a gallant and courtly knight, learned in all the ways of chivalry, the model of the younger cavaliers, handsome in person, noble in bearing, the surest lance in the tilting yard, and the stoutest arm in the foray.	true	52.94	66.13	22.852896
7384_84010_000004_000000	Like "Jephtha, Judge of Israel," of whom the mock-mad Hamlet sang to Polonius, Count William had	Like "Jephtha, Judge of Israel," of whom the mock mad Hamlet sang to Polonius, Count William had	true	66.68	72.61	23.36044
7384_84010_000005_000000	"One fair daughter, and no more, The which he loved passing well;"	"One fair daughter, and no more, The which he loved passing well;"	true	72.65	76.27	26.03752
7384_84010_000006_000000	and, truth to tell, this fair young Jacqueline, the little "Lady of Holland," as men called her,--but whom Count William, because of her fearless antics and boyish ways, called "Dame Jacob,"(1)--loved her knightly father with equal fervor.	and, truth to tell, this fair young Jacqueline, the little "Lady of Holland," as men called her,--but whom Count William, because of her fearless antics and boyish ways, called "Dame Jacob,"(one)--loved her knightly father with equal fervor.	false	76.82	90.33	24.848173
7384_84010_000007_000000	(1) Jaqueline is the French rendering of the Dutch Jakobine--the feminine of Jakob, or James.	(one) Jaqueline is the French rendering of the Dutch Jakobine-the feminine of Jakob, or james.	false	90.33	92.1	5
7384_84010_000008_000000	As she sat, that day, in the great Hall of the Knights in the massive castle at The Hague, she could see, among all the knights and nobles who came from far and near to join in the festivities at Count William's court, not one that approached her father in nobility of bearing or manly strength--not even her husband.	As she sat, that day, in the great Hall of the Knights in the massive castle at The Hague, she could see, among all the knights and nobles who came from far and near to join in the festivities at Count William's court, not one that approached her father in nobility of bearing or manly strength-not even her husband.	true	92.1	109.72	24.878899
7384_84010_000009_000000	Her husband?	Her husband?	true	110.24	111.31	21.798737
7384_84010_000009_000001	Yes.	Yes.	true	111.53	112.33	27.89417
