8534_216567_000000_000000	O God of liberty!	O God of liberty!	false	0	0.54	-20
8534_216567_000000_000001	God of equality!	God of equality!	false	0.54	0.96	1
8534_216567_000000_000002	Thou who didst place in my heart the sentiment of justice, before my reason could comprehend it, hear my ardent prayer!	Thou who didst place in my heart the sentiment of justice, before my reason could comprehend it, hear my ardent prayer!	false	0.96	4.71	21.648588
8534_216567_000000_000003	Thou hast dictated all that I have written; Thou hast shaped my thought; Thou hast directed my studies; Thou hast weaned my mind from curiosity and my heart from attachment, that I might publish Thy truth to the master and the slave.	Thou hast dictated all that I have written; Thou hast shaped my thought; Thou hast directed my studies; Thou hast weaned my mind from curiosity and my heart from attachment, that I might publish Thy truth to the master and the slave.	false	4.71	6.21	22.0357
8534_216567_000000_000004	I have spoken with what force and talent Thou hast given me: it is Thine to finish the work.	I have spoken with what force and talent Thou hast given me: it is Thine to finish the work.	false	6.21	6.99	8
8534_216567_000000_000005	Thou knowest whether I seek my welfare or Thy glory, O God of liberty!	Thou knowest whether I seek my welfare or Thy glory, O God of liberty!	false	6.99	10.38	21.881485
8534_216567_000000_000006	Ah! perish my memory, and let humanity be free!	Ah! perish my memory, and let humanity be free!	false	10.38	11.94	25.404743
8534_216567_000000_000007	Let me see from my obscurity the people at last instructed; let noble teachers enlighten them; let generous spirits guide them!	Let me see from my obscurity the people at last instructed; let noble teachers enlighten them; let generous spirits guide them!	false	11.94	15.6	27.266113
8534_216567_000000_000008	Abridge, if possible, the time of our trial; stifle pride and avarice in equality; annihilate this love of glory which enslaves us; teach these poor children that in the bosom of liberty there are neither heroes nor great men!	Abridge, if possible, the time of our trial; stifle pride and avarice in equality; annihilate this love of glory which enslaves us; teach these poor children that in the bosom of liberty there are neither heroes nor great men!	false	15.6	18.87	17
8534_216567_000000_000009	Inspire the powerful man, the rich man, him whose name my lips shall never pronounce in Thy presence, with a horror of his crimes; let him be the first to apply for admission to the redeemed society; let the promptness of his repentance be the ground of his forgiveness!	Inspire the powerful man, the rich man, him whose name my lips shall never pronounce in Thy presence, with a horror of his crimes; let him be the first to apply for admission to the redeemed society; let the promptness of his repentance be the ground of his forgiveness!	false	18.87	20.7	15.924766
8534_216567_000000_000010	Then, great and small, wise and foolish, rich and poor, will unite in an ineffable fraternity; and, singing in unison a new hymn, will rebuild Thy altar, O God of liberty and equality!	Then, great and small, wise and foolish, rich and poor, will unite in an ineffable fraternity; and, singing in unison a new hymn, will rebuild Thy altar, O God of liberty and equality!	false	20.7	21.96	26.25229
8534_216567_000001_000000	END OF FIRST MEMOIR.	END OF FIRST MEMOIR.	false	21.96	24.57	27.266918
8534_216567_000002_000000	WHAT IS PROPERTY?	WHAT IS PROPERTY?	true	24.57	25.54	27.919777
8534_216567_000002_000001	SECOND MEMOIR	SECOND MEMOIR	true	25.64	26.59	20.568094
8534_216567_000003_000000	A LETTER TO M. BLANQUI.	A LETTER TO m b l a n q u i.	false	26.99	29.28	24.593578
8534_216567_000004_000000	SECOND MEMOIR.	SECOND MEMOIR.	false	29.28	29.7	-20
8534_216567_000005_000000	PARIS, April 1, 1841.	PARIS, april first eighteen forty one.	true	29.7	31.99	22
8534_216567_000006_000000	MONSIEUR,--	MONSIEUR,--	true	32.54	33.25	21.491924
8534_216567_000007_000000	Before resuming my "Inquiries into Government and Property," it is fitting, for the satisfaction of some worthy people, and also in the interest of order, that I should make to you a plain, straightforward explanation.	Before resuming my "Inquiries into Government and Property," it is fitting, for the satisfaction of some worthy people, and also in the interest of order, that I should make to you a plain, straightforward explanation.	true	33.65	43.92	19
8534_216567_000007_000001	In a much-governed State, no one would be allowed to attack the external form of the society, and the groundwork of its institutions, until he had established his right to do so,--first, by his morality; second, by his capacity; and, third, by the purity of his intentions.	In a much governed State, no one would be allowed to attack the external form of the society, and the groundwork of its institutions, until he had established his right to do so,--first, by his morality; second, by his capacity; and, third, by the purity of his intentions.	false	43.92	59.02	23.339998
8534_216567_000007_000002	Any one who, wishing to publish a treatise upon the constitution of the country, could not satisfy this threefold condition, would be obliged to procure the endorsement of a responsible patron possessing the requisite qualifications.	Any one who, wishing to publish a treatise upon the constitution of the country, could not satisfy this threefold condition, would be obliged to procure the endorsement of a responsible patron possessing the requisite qualifications.	true	59.36	71.53	21
8534_216567_000008_000000	But we Frenchmen have the liberty of the press.	But we Frenchmen have the liberty of the press.	true	72.14	74.59	22
8534_216567_000008_000001	This grand right--the sword of thought, which elevates the virtuous citizen to the rank of legislator, and makes the malicious citizen an agent of discord--frees us from all preliminary responsibility to the law; but it does not release us from our internal obligation to render a public account of our sentiments and thoughts.	This grand right-the sword of thought, which elevates the virtuous citizen to the rank of legislator, and makes the malicious citizen an agent of discord-frees us from all preliminary responsibility to the law; but it does not release us from our internal obligation to render a public account of our sentiments and thoughts.	true	74.87	91.93	21.653639
8534_216567_000008_000002	I have used, in all its fulness, and concerning an important question, the right which the charter grants us.	I have used, in all its fulness, and concerning an important question, the right which the charter grants us.	true	92.63	98.14	24.23682
8534_216567_000008_000003	I come to-day, sir, to submit my conscience to your judgment, and my feeble insight to your discriminating reason.	I come to day, sir, to submit my conscience to your judgment, and my feeble insight to your discriminating reason.	true	98.63	104.05	17
8534_216567_000008_000004	You have criticised in a kindly spirit--I had almost said with partiality for the writer--a work which teaches a doctrine that you thought it your duty to condemn.	You have criticised in a kindly spirit-I had almost said with partiality for the writer-a work which teaches a doctrine that you thought it your duty to condemn.	true	104.81	112.66	24
8534_216567_000008_000005	"The Academy of Moral and Political Sciences," said you in your report, "can accept the conclusions of the author only as far as it likes." I venture to hope, sir, that, after you have read this letter, if your prudence still restrains you, your fairness will induce you to do me justice.	"The Academy of Moral and Political Sciences," said you in your report, "can accept the conclusions of the author only as far as it likes." I venture to hope, sir, that, after you have read this letter, if your prudence still restrains you, your fairness will induce you to do me justice.	false	113.33	129.13	22.542242
8534_216567_000009_000000	MEN, EQUAL IN THE DIGNITY OF THEIR PERSONS AND EQUAL BEFORE THE LAW, SHOULD BE EQUAL IN THEIR CONDITIONS,--such is the thesis which I maintained and developed in a memoir bearing the title, "What is Property? or, An Inquiry into the Principle of Right and of Government."	MEN, EQUAL IN THE DIGNITY OF THEIR PERSONS AND EQUAL BEFORE THE LAW, SHOULD BE EQUAL IN THEIR CONDITIONS,--such is the thesis which I maintained and developed in a memoir bearing the title, "What is Property? or, An Inquiry into the Principle of Right and of Government."	false	130.37	143.65	22
8534_216567_000010_000000	The idea of social equality, even in individual fortunes, has in all ages besieged, like a vague presentiment, the human imagination.	The idea of social equality, even in individual fortunes, has in all ages besieged, like a vague presentiment, the human imagination.	true	144.68	152.32	19.010096
8534_216567_000010_000001	Poets have sung of it in their hymns; philosophers have dreamed of it in their Utopias; priests teach it, but only for the spiritual world.	Poets have sung of it in their hymns; philosophers have dreamed of it in their Utopias; priests teach it, but only for the spiritual world.	true	152.69	159.85	21.609472
8534_216567_000010_000002	The people, governed by it, never have had faith in it; and the civil power is never more disturbed than by the fables of the age of gold and the reign of Astrea.	The people, governed by it, never have had faith in it; and the civil power is never more disturbed than by the fables of the age of gold and the reign of Astrea.	false	160.46	169.11	21.922134
8534_216567_000010_000003	A year ago, however, this idea received a scientific demonstration, which has not yet been satisfactorily answered, and, permit me to add, never will be.	A year ago, however, this idea received a scientific demonstration, which has not yet been satisfactorily answered, and, permit me to add, never will be.	true	169.11	176.77	19
8534_216567_000010_000004	This demonstration, owing to its slightly impassioned style, its method of reasoning,--which was so at variance with that employed by the generally recognized authorities,--and the importance and novelty of its conclusions, was of a nature to cause some alarm; and might have been dangerous, had it not been--as you, sir, so well said--a sealed letter, so far as the general public was concerned, addressed only to men of intelligence.	This demonstration, owing to its slightly impassioned style, its method of reasoning,--which was so at variance with that employed by the generally recognized authorities,--and the importance and novelty of its conclusions, was of a nature to cause some alarm; and might have been dangerous, had it not been-as you, sir, so well said-a sealed letter, so far as the general public was concerned, addressed only to men of intelligence.	true	177.95	199.51	18
8534_216567_000010_000005	I was glad to see that through its metaphysical dress you recognized the wise foresight of the author; and I thank you for it.	I was glad to see that through its metaphysical dress you recognized the wise foresight of the author; and I thank you for it.	true	200.21	206.02	18
8534_216567_000010_000006	May God grant that my intentions, which are wholly peaceful, may never be charged upon me as treasonable!	May God grant that my intentions, which are wholly peaceful, may never be charged upon me as treasonable!	true	206.45	211.54	18
8534_216567_000011_000000	Like a stone thrown into a mass of serpents, the First Memoir on Property excited intense animosity, and aroused the passions of many. But, while some wished the author and his work to be publicly denounced, others found in them simply the solution of the fundamental problems of society; a few even basing evil speculations upon the new light which they had obtained.	Like a stone thrown into a mass of serpents, the First Memoir on Property excited intense animosity, and aroused the passions of many. But, while some wished the author and his work to be publicly denounced, others found in them simply the solution of the fundamental problems of society; a few even basing evil speculations upon the new light which they had obtained.	true	212.72	231.91	20
8534_216567_000011_000001	It was not to be expected that a system of inductions abstractly gathered together, and still more abstractly expressed, would be understood with equal accuracy in its ensemble and in each of its parts.	It was not to be expected that a system of inductions abstractly gathered together, and still more abstractly expressed, would be understood with equal accuracy in its ensemble and in each of its parts.	true	232.37	242.26	22
