7478_98644_000000_000000	CHAPTER X.	CHAPTER ten	false	11.16	23.19	22.802221
7478_98644_000001_000000	LIFE IN THE CITIES.	LIFE IN THE CITIES.	false	23.19	26.31	20.921858
7478_98644_000002_000000	The great cities of Japan afford remarkable opportunities for seeing the life of the common people, for the little houses and shops, with their open fronts, reveal the _penetralia_ in a way not known in our more secluded homes.	The great cities of Japan afford remarkable opportunities for seeing the life of the common people, for the little houses and shops, with their open fronts, reveal the underscore penetralia underscore in a way not known in our more secluded homes.	false	26.31	37.9	21
7478_98644_000002_000001	The employment of the merchant being formerly the lowest of respectable callings, one does not find even yet in Japan many great stores or a very high standard of business morality, for the business of the country was left in the hands of those who were too stupid or too unambitious to raise themselves above that social class.	The employment of the merchant being formerly the lowest of respectable callings, one does not find even yet in Japan many great stores or a very high standard of business morality, for the business of the country was left in the hands of those who were too stupid or too unambitious to raise themselves above that social class.	false	38.18	54.76	22.948374
7478_98644_000002_000002	Hence English and American merchants, who only see Japan from the business side, continually speak of the Japanese as dishonest, tricky, and altogether unreliable, and greatly prefer to deal with the Chinese, who have much of the business virtue that is characteristic of the English as a nation.	Hence English and American merchants, who only see Japan from the business side, continually speak of the Japanese as dishonest, tricky, and altogether unreliable, and greatly prefer to deal with the Chinese, who have much of the business virtue that is characteristic of the English as a nation.	true	54.92	70.81	22.497599
7478_98644_000002_000003	Only within a few years have the samurai, or indeed any one who was capable of figuring in any higher occupation in life, been willing to adopt the calling of the merchant; but many of the abler Japanese of to-day have begun to see that trade is one of the most important factors of a nation's well-being, and that the business of buying and selling, if wisely and honestly done, is an employment that nobody need be ashamed to enter.	Only within a few years have the samurai, or indeed any one who was capable of figuring in any higher occupation in life, been willing to adopt the calling of the merchant; but many of the abler Japanese of to day have begun to see that trade is one of the most important factors of a nation's well-being, and that the business of buying and selling, if wisely and honestly done, is an employment that nobody need be ashamed to enter.	true	71.18	92.8	20
7478_98644_000002_000004	There are in Japan a few great merchants whose word may be trusted, and whose obligations will be fulfilled with absolute honesty; but a large part of the buying and selling is still in the hands of mercantile freebooters, who will take an advantage wherever it is possible to get one, in whose morality honesty has no place, and who have not yet discovered the efficacy of that virtue simply as a matter of policy.	There are in Japan a few great merchants whose word may be trusted, and whose obligations will be fulfilled with absolute honesty; but a large part of the buying and selling is still in the hands of mercantile freebooters, who will take an advantage wherever it is possible to get one, in whose morality honesty has no place, and who have not yet discovered the efficacy of that virtue simply as a matter of policy.	true	93.14	113.74	22.361359
7478_98644_000002_000005	Their trade, conducted in a small way upon small means, is more of the nature of a game, in which one person is the winner and the other the loser, than a fair exchange, in which both parties obtain what they want.	Their trade, conducted in a small way upon small means, is more of the nature of a game, in which one person is the winner and the other the loser, than a fair exchange, in which both parties obtain what they want.	true	114.5	125.95	22.119589
7478_98644_000002_000006	It is the mediaeval, not the modern idea of business, that is still held among Japanese merchants.	It is the mediaeval, not the modern idea of business, that is still held among Japanese merchants.	false	126.2	131.11	17.642412
7478_98644_000002_000007	With them, trade is a warfare between buyer and seller, in which every man must take all possible advantage for himself, and it is the lookout of the other party if he is cheated.	With them, trade is a warfare between buyer and seller, in which every man must take all possible advantage for himself, and it is the lookout of the other party if he is cheated.	true	131.45	141.21	23.268883
7478_98644_000003_000000	In T[=o]ky[=o], the greatest and most modernized of the cities of the empire, the shops are not the large city stores that one sees in European and American cities, but little open-fronted rooms, on the edge of which one sits to make one's purchases, while the proprietor smiles and bows and dickers; setting his price by the style of his customer's dress, or her apparent ignorance of the value of the desired article. Some few large dry-goods stores there are, where prices are set and dickering is unnecessary;[*264] and in the _kwankoba_, or bazaars, one may buy almost anything needed by Japanese of all classes, from house furnishings to foreign hats, at prices plainly marked upon them, and from which there is no variation.	In T[equals o]kentucky[equals o], the greatest and most modernized of the cities of the empire, the shops are not the large city stores that one sees in European and American cities, but little open fronted rooms, on the edge of which one sits to make one's purchases, while the proprietor smiles and bows and dickers; setting his price by the style of his customer's dress, or her apparent ignorance of the value of the desired article. Some few large dry goods stores there are, where prices are set and dickering is unnecessary;[asterisk two hundred sixty four] and in the underscore kwankoba underscore, or bazaars, one may buy almost anything needed by Japanese of all classes, from house furnishings to foreign hats, at prices plainly marked upon them, and from which there is no variation.	false	141.21	180.58	21.86883
